Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABQ,1051,4850,5366,2425,178,1431,17,378
ABR,15,98,132,90,0,9,0,0
ABY,87,800,815,740,0,56,0,0
ACT,30,326,370,77,0,33,0,235
ACY,628,3754,5166,1127,87,3293,0,105
AEX,116,1135,1473,124,88,1118,0,0
AGS,138,517,538,269,77,133,0,0
ALB,426,1877,2365,835,286,829,0,0
AMA,177,760,1042,107,210,615,0,0
ANC,843,2008,3393,1194,287,738,0,22
ASE,665,5999,7564,2973,432,3378,27,99
ATL,12844,70111,76555,40618,1408,16629,2,5716
ATW,192,1032,1353,580,95,210,0,244
AUS,3844,21238,22963,12816,1633,3666,108,1494
AVL,444,4695,5345,3712,0,883,22,241
AVP,144,271,737,67,0,436,0,0
AZO,152,750,852,642,19,125,0,0
BDL,2221,14697,17715,9494,840,4370,34,846
BGR,58,501,485,455,0,19,0,0
BHM,287,1797,1893,1451,0,271,0,46
BIL,271,520,893,297,0,527,0,0
BIS,4,0,0,,,,,
BJI,8,8,3,,,,,
BLI,10,255,312,235,0,64,0,0
BMI,68,187,261,156,0,59,0,0
BNA,3931,22628,25597,9523,2844,5489,33,4342
BOI,1473,8383,9960,6635,107,2259,0,1
BOS,11358,66349,76389,31436,5574,22940,248,6507
BQK,78,818,947,790,0,133,0,0
BQN,37,186,231,56,0,87,0,70
BRD,266,3504,3890,2517,748,329,7,0
BRO,18,289,317,0,286,0,0,0
BTM,11,170,168,0,157,0,0,0
BTR,416,7556,7178,6173,0,590,0,0
BTV,35,831,931,640,153,117,0,0
BUF,1484,9158,9353,3340,1259,1404,22,2460
BUR,3355,12173,14293,6359,1313,3637,0,517
BWI,6096,32696,36418,16945,2339,8763,0,2515
BZN,341,2798,2724,1591,174,384,0,385
CAE,829,10282,11238,8383,325,1532,0,262
CAK,476,3033,4481,1390,132,2408,0,0
CHA,608,7178,7597,6379,79,574,0,0
CHO,147,1384,1633,1320,0,216,0,0
CHS,1085,6092,6381,4223,278,1308,0,1
CID,363,2507,2978,606,871,1179,0,0
CLE,3554,38835,38338,21355,610,7948,25,5416
CLL,45,291,475,258,0,135,0,15
CLT,9699,35527,41987,16435,1668,11395,158,3893
CMH,1980,12610,15217,6273,565,4137,0,2219
CMX,1,0,0,,,,,
COD,61,1343,1439,1090,203,94,0,0
COS,313,3937,5285,2765,704,1317,0,8
CPR,74,108,243,91,0,98,0,0
CRP,116,299,294,253,0,0,0,0
CRW,174,1740,2044,1061,293,485,0,0
CSG,72,960,1020,924,0,23,0,0
CVG,1023,7972,8637,4776,219,2371,0,377
CWA,3,40,68,0,0,60,0,0
DAB,357,3757,4036,2958,240,415,0,214
DAL,5386,21852,26492,10188,1467,6856,210,1804
DAY,482,5427,5813,3446,0,2029,0,0
DCA,6175,35451,42944,19964,2830,12712,25,2036
DEN,10600,75042,79303,32369,4070,20124,20,13058
DFW,16454,113402,135910,56848,6503,32477,106,20886
DHN,43,249,328,231,0,34,0,0
DLH,41,1244,488,116,343,19,0,0
DRO,11,169,172,28,0,131,0,0
DSM,460,8396,8064,5098,529,1049,0,926
DTW,7841,55311,59802,28047,3579,17362,66,3324
ECP,448,1986,2084,1456,211,198,0,0
EGE,22,236,206,176,0,0,0,0
EKO,10,0,71,0,0,39,0,0
ELM,72,492,558,59,119,297,0,0
ELP,847,3209,3704,2133,145,500,0,188
EUG,62,2130,2138,625,0,1434,0,50
EVV,2,0,0,,,,,
EWN,89,1171,1248,1120,0,74,0,0
EWR,9036,64109,67716,34565,4122,14467,110,7288
EYW,364,3914,3933,3370,53,209,0,75
FAR,274,3357,3686,206,1642,1646,0,2
FAT,393,2712,3050,2039,27,628,0,0
FAY,19,83,118,54,0,7,0,0
FCA,16,16,59,0,0,21,0,0
FLG,287,3067,3239,2363,446,106,0,0
FLL,7993,48161,52409,20353,2010,16627,170,5424
FNT,296,392,872,377,0,349,0,0
FSD,175,4164,4826,1766,1646,1115,25,113
FSM,110,526,637,442,0,155,0,0
FWA,809,11716,12440,9397,198,1671,0,366
GCC,1,0,0,,,,,
GCK,63,657,716,406,0,58,0,186
GEG,856,4784,4878,3360,157,477,0,411
GFK,133,493,459,298,15,69,0,0
GJT,83,875,1082,860,0,135,0,0
GNV,268,4910,4838,4309,124,117,0,85
GPT,17,405,486,395,0,46,0,0
GRB,318,2654,2742,2047,58,414,0,0
GRI,171,2859,3690,2655,0,680,0,0
GRK,7,38,53,30,0,0,0,0
GRR,620,4007,4851,3208,424,942,0,0
GSO,599,5618,6356,4229,592,1109,0,13
GSP,234,741,1028,419,45,295,0,0
GTF,186,1080,1238,746,0,402,0,0
GTR,1,0,0,,,,,
GUC,53,605,623,519,0,59,0,0
GUM,127,1167,1136,296,0,113,0,600
HDN,137,1546,1739,471,82,1117,0,0
HIB,365,8360,9304,464,733,1040,0,6556
HLN,386,1561,1999,1024,49,627,0,0
HNL,3124,10911,12738,7020,4,1356,0,2256
HOB,1,0,0,,,,,
HOU,2512,7412,8486,3246,444,1754,0,675
HPN,729,4277,4336,2597,0,851,37,127
HRL,6,70,86,0,0,86,0,0
HSV,65,291,347,77,63,146,0,0
IAD,1705,14449,16737,8877,668,4332,0,1475
IAH,11488,73609,74368,30726,4063,18697,36,10847
ICT,310,2443,2398,1112,32,648,0,427
IDA,650,5656,6770,3735,762,1513,0,103
ILM,556,2968,3469,2461,155,475,0,0
IND,3102,19954,21484,11227,1467,4083,0,1710
ISN,5,387,356,356,0,0,0,0
ISP,524,2631,2996,1764,438,448,0,0
ITO,334,412,693,175,122,23,0,111
JAC,1042,8132,9034,5718,670,1685,0,206
JAN,493,4556,4847,3082,598,935,0,19
JAX,1146,3505,4437,1976,94,1248,0,193
JFK,7680,49121,56936,21214,4608,15672,562,7402
JNU,773,5617,5885,2979,390,458,8,1565
KOA,277,248,506,156,11,0,0,116
LAN,113,7,473,2,2,326,0,0
LAS,7572,36399,42532,18072,943,14542,113,2620
LAW,14,0,10,,,,,
LAX,10817,66779,72774,33183,1369,15676,69,11779
LBB,530,3080,3341,1631,109,1083,0,243
LBE,78,21,217,0,0,139,0,0
LCH,53,16,154,0,0,87,0,0
LEX,384,3493,3865,2744,110,491,0,213
LFT,1,24,12,,,,,
LGA,6752,36944,41820,20992,3084,11004,23,1715
LGB,1361,5546,6725,2709,503,2715,0,67
LIH,278,136,351,21,19,0,0,98
LIT,457,2011,2028,1364,173,281,0,0
LNK,338,3858,4216,1108,1844,711,0,279
LSE,175,841,1214,8,811,270,0,0
MAF,36,349,376,310,0,31,0,0
MBS,155,1424,1919,1288,0,405,0,20
MCI,3348,15416,18651,7265,2521,5248,119,596
MCO,10116,49725,56412,26614,1536,11955,174,7168
MDT,101,673,813,364,0,326,0,0
MDW,4672,23281,24489,9630,1234,4877,0,4140
MEI,242,5518,5727,1650,0,369,0,3400
MEM,1109,6656,7087,4425,196,1174,0,536
MFE,77,845,895,196,409,259,0,0
MFR,127,2473,2569,232,0,2253,0,5
MGM,95,575,461,270,0,86,0,0
MHT,461,1107,1606,612,283,483,0,0
MIA,7342,54549,63524,30687,2244,13865,3,7781
MKE,2612,22584,24705,14217,498,4718,0,2435
MLB,2,0,0,,,,,
MLI,3,0,0,,,,,
MOB,364,2653,2888,1977,0,622,0,0
MOT,99,1748,2178,1674,11,422,0,0
MSN,437,3286,3770,1756,148,1202,0,342
MSO,19,13,52,0,0,42,0,0
MSP,7350,42558,59718,22103,3177,21462,15,4729
MSY,2916,13904,16793,8035,816,3862,47,1527
MTJ,33,6,56,4,0,47,0,0
MYR,332,3590,3647,918,0,1164,0,1259
OAJ,43,711,745,667,0,40,0,1
OAK,3565,12257,17091,7104,569,5066,29,270
OGG,585,1433,2121,972,0,37,0,348
OKC,1554,8348,8886,5625,767,1295,16,195
OMA,1823,10649,12776,6841,1660,2465,0,93
ONT,1164,7301,7423,2916,351,3060,0,399
ORD,19754,166643,178481,72151,11969,38785,124,34359
ORF,833,6898,7678,5375,60,1439,0,68
PBI,1496,4764,6184,3175,361,1442,0,147
PDX,4095,21368,23925,9855,757,9147,0,878
PHF,1,3,3,,,,,
PHL,7786,46858,63439,26250,2158,23391,60,4392
PHX,8923,46059,57291,19873,946,20397,169,6945
PIA,90,193,496,166,0,105,0,0
PIB,95,1122,1616,1089,0,442,0,0
PIH,294,350,601,146,112,148,0,0
PIT,3340,15088,17011,9145,131,3784,0,1103
PNS,555,3343,3274,2806,131,91,0,0
PSC,360,4121,4310,3859,0,161,0,0
PSP,957,14624,17447,10695,243,4434,0,89
PVD,850,2051,3391,927,249,1468,0,0
PWM,136,2082,2131,1772,0,197,0,0
RAP,132,2444,2491,2083,0,327,0,1
RDU,3430,24049,27178,14367,589,6668,0,2470
RHI,366,4119,4936,655,661,604,20,2408
RIC,1404,8736,11207,6084,433,2981,6,37
RKS,1,0,0,,,,,
RNO,679,4202,5844,2048,407,2273,0,258
ROA,310,1880,2363,1075,0,1029,0,0
ROC,246,2884,3299,2125,8,520,0,439
RST,114,1343,1525,475,752,260,0,0
RSW,1536,9552,10620,7952,117,1353,24,0
SAN,5095,26399,32654,9957,518,13789,87,3136
SAT,2070,10310,12159,6311,1065,2476,0,343
SAV,502,3041,3384,2102,0,795,0,0
SBA,183,1469,1932,264,0,1141,0,328
SBN,604,8506,7670,6077,290,698,15,7
SBP,15,282,505,4,0,467,0,18
SCE,221,941,1287,173,349,534,0,0
SDF,1018,4701,5619,3528,234,1157,16,1
SEA,10746,72859,86975,33437,4165,29136,80,8594
SFO,10035,57079,66638,27834,2006,17376,0,10086
SGF,114,395,710,0,183,394,0,0
SGU,431,2906,3714,1755,276,933,19,0
SHV,672,10571,10463,6680,132,2947,0,163
SIT,3,0,0,,,,,
SJC,2939,15501,19304,8800,828,5095,305,1091
SJU,1553,5283,6425,3126,186,958,0,986
SLC,3644,16693,22336,10056,778,7066,22,136
SMF,2393,12452,13368,7810,349,2258,6,927
SNA,3060,11401,11808,4167,807,4337,0,132
SPI,4,0,0,,,,,
SPS,12,786,765,764,0,0,0,0
SRQ,307,1570,1679,894,425,89,0,0
STL,4049,27895,30812,15083,2034,6340,44,3367
STT,65,202,192,17,0,35,11,100
STX,1,0,0,,,,,
SUN,231,1527,1605,1079,143,270,0,0
SWF,136,692,1082,478,0,446,0,0
SYR,542,4581,5778,2440,871,2089,0,0
TLH,258,711,887,344,233,170,0,0
TPA,6332,27131,32821,14618,1314,7753,0,3957
TRI,348,2692,2906,1796,411,408,0,0
TTN,164,1485,1745,916,223,433,0,64
TUL,1087,7358,6992,4401,144,1772,0,0
TUS,1933,20571,22741,10729,343,9613,20,247
TVC,6,52,59,50,0,0,0,0
TWF,19,75,202,0,36,120,0,0
TXK,231,2743,3425,2564,0,393,0,0
TYR,6,36,46,32,0,1,0,0
TYS,559,2500,4016,1284,198,1856,0,51
VLD,73,237,291,215,0,51,0,0
VPS,442,4078,4442,3494,16,651,0,0
XNA,564,6579,6780,5265,21,825,0,136
YUM,169,169,235,70,0,78,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
