Origin,Monday.FlightCount,Monday.DepDly,Monday.ArrDly,Tuesday.FlightCount,Tuesday.DepDly,Tuesday.ArrDly,Wednesday.FlightCount,Wednesday.DepDly,Wednesday.ArrDly,Thursday.FlightCount,Thursday.DepDly,Thursday.ArrDly,Friday.FlightCount,Friday.DepDly,Friday.ArrDly,Saturday.FlightCount,Saturday.DepDly,Saturday.ArrDly,Sunday.FlightCount,Sunday.DepDly,Sunday.ArrDly
ABE,367,7032,6977,364,4691,4931,364,4762,4637,373,4149,4298,378,5618,5335,237,1768,1955,286,3542,3478
ABI,25,284,337,24,249,244,30,117,143,25,294,342,25,396,441,3,331,334,29,570,670
ABQ,2798,29390,29066,2800,24800,25361,2801,25432,24412,2799,31813,30620,2859,40770,40871,2243,21511,21261,2712,31060,31083
ABR,107,1397,1486,104,1858,1959,108,1363,1403,103,426,548,112,408,619,106,801,990,103,949,993
ABY,149,1497,1497,152,1694,1641,154,2611,2596,153,1886,1731,153,1734,1728,104,1615,1623,137,700,749
ACK,91,2614,2487,63,1284,1280,59,774,702,77,1313,1211,118,2256,2348,90,994,972,114,2223,2306
ACT,209,3075,3292,195,2382,2361,215,2836,2856,211,2033,2305,216,3277,3370,159,1889,2006,214,2007,2133
ACV,201,3326,3228,202,2894,3015,201,2285,2203,199,3403,3250,204,5067,5123,204,2667,2704,206,3989,3879
ACY,525,8471,8719,523,9421,9607,523,8832,9424,525,6946,7419,536,7552,7957,536,6680,6869,525,8095,8149
ADQ,78,347,456,84,185,301,78,987,1047,84,472,520,81,82,110,54,311,404,83,177,221
AEX,435,6796,7109,412,4195,4319,405,5593,5817,439,5004,5270,442,6092,6107,319,3320,3439,408,5721,6109
AGS,395,6330,6342,394,4240,3854,399,5707,5102,398,6546,5969,403,6274,5823,301,3496,3472,351,3825,3518
AKN,9,61,69,9,47,50,9,92,91,9,43,60,9,113,119,9,79,98,9,22,21
ALB,1354,15333,15085,1344,11430,10778,1369,12926,12815,1357,12593,12762,1385,13166,12356,1270,12225,11468,1299,11544,10162
AMA,450,3229,3514,457,2605,3033,462,3172,3133,463,3585,3890,464,3356,3139,327,1484,1612,452,4560,4986
ANC,2517,12921,14725,2434,12951,15291,2350,13533,15501,2511,13624,15528,2579,12638,14964,2454,14990,16176,2409,11896,13527
APN,104,1784,1625,104,1297,1145,104,2801,2342,104,1528,1444,106,1726,1610,61,630,694,59,903,892
ASE,655,7630,8423,568,8371,8137,597,8383,8966,638,10231,9848,679,11679,12702,739,13916,13631,732,12677,13867
