Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,378,5618,5335,1776,516,679,0,1948
ABI,25,396,441,62,0,72,0,274
ABQ,2859,40770,40871,10329,4027,5396,43,17731
ABR,112,408,619,129,0,181,13,141
ABY,153,1734,1728,165,0,216,0,1123
ACK,118,2256,2348,614,185,581,9,875
ACT,216,3277,3370,1578,0,165,0,1368
ACV,204,5067,5123,913,0,1362,114,2573
ACY,536,7552,7957,827,0,5324,0,1312
ADQ,81,82,110,16,35,0,0,0
AEX,442,6092,6107,1698,305,703,0,2945
AGS,403,6274,5823,1545,0,335,0,3635
AKN,9,113,119,9,0,8,20,81
ALB,1385,13166,12356,3567,580,2807,0,4364
AMA,464,3356,3139,800,109,815,0,992
ANC,2579,12638,14964,5260,675,2752,35,3163
APN,106,1726,1610,1158,173,33,0,158
ASE,679,11679,12702,1506,838,3323,0,6455
ATL,58372,641622,588391,234519,34536,107430,125,152410
ATW,519,6310,6615,2474,493,1222,0,1968
AUS,7041,84529,83460,17843,3559,17849,57,36358
AVL,510,8082,8216,3303,0,1503,0,2986
AVP,256,2277,2356,855,28,522,0,753
AZO,320,3248,3849,694,29,2038,0,840
BDL,3087,29095,29075,8367,515,6455,3,11366
BET,156,552,641,39,58,95,37,333
BFL,401,4668,4934,814,0,1189,14,2678
BGM,135,1680,1656,621,17,88,0,804
BGR,88,1447,1340,193,0,238,0,840
BHM,1909,21215,20528,6035,676,4466,0,7540
BIL,510,2856,3561,581,102,959,0,1605
BIS,336,4308,4646,2791,129,521,0,966
BJI,106,376,480,49,0,71,0,208
BLI,106,671,688,135,59,123,0,247
BMI,236,1772,1935,262,0,390,0,996
BNA,7903,99650,98839,21103,6216,16207,83,46014
BOI,2224,27306,29614,8115,596,8130,0,10707
BOS,18788,255073,252396,67578,16002,71685,331,78795
BPT,80,1644,1757,844,0,197,0,614
BQK,156,2335,2367,844,0,193,0,1200
BQN,260,3784,3612,169,57,578,0,2511
BRD,106,362,646,46,0,233,0,250
BRO,317,3464,3533,618,31,1377,0,1344
BRW,159,1071,1130,75,26,86,60,748
BTM,106,937,1002,388,71,45,0,414
BTR,1066,17829,18308,9137,185,2335,0,5653
BTV,594,9129,9302,2215,2,3669,0,2771
BUF,2686,28851,28798,8386,739,6957,0,10486
BUR,3466,48575,49790,7172,1505,10830,0,25551
BWI,14441,154103,148202,46203,5138,30154,311,49768
BZN,593,5299,5679,1406,5,1370,0,2415
CAE,707,10809,10644,4776,307,1500,0,3551
CAK,809,8435,8093,1440,0,2755,0,3093
CDC,105,492,575,7,17,147,0,279
CDV,104,588,648,284,0,34,7,252
CHA,720,12145,11876,4478,20,1556,0,5075
CHO,365,5578,5501,2289,0,1251,0,1599
CHS,2218,28151,26940,7057,269,6619,17,11128
CID,653,8369,8514,2962,415,1552,0,2934
CIU,105,2027,1811,1614,0,17,0,99
CLE,5244,71787,70501,23243,1270,19677,23,21587
CLL,184,2105,2177,790,0,424,0,866
CLT,17339,166803,180069,55486,4987,49493,627,49231
CMH,3545,36690,37833,10072,927,9246,6,14527
CMX,107,956,1097,417,114,287,0,171
COD,119,933,916,94,75,21,0,581
COS,1277,16499,17862,6635,779,3934,0,5218
CPR,226,1047,1302,91,146,531,1,416
CRP,463,3127,2944,379,132,518,0,1612
CRW,391,5235,5330,1255,38,1214,0,2454
CSG,197,2868,2720,453,0,174,0,1869
CVG,2514,27327,29210,6552,400,8669,0,11340
CWA,121,958,1166,259,51,468,0,331
DAB,292,2393,2082,759,0,358,0,775
DAL,10503,153269,150995,33437,9261,24734,3598,64773
DAY,1006,10599,10416,2867,351,3003,0,3361
DCA,12025,129708,140615,33651,3522,39654,28,51178
DEN,34143,429828,420549,107623,14163,97981,47,164859
DFW,30348,490682,505305,154128,30468,90138,224,194039
DHN,208,2433,2303,156,0,157,0,1833
DLG,12,144,176,116,14,20,0,0
DLH,374,4397,4870,1952,160,1220,0,1217
DRO,308,3269,4152,1063,102,1132,0,1361
DSM,1172,12409,12458,3980,62,3129,452,3692
DTW,19142,214413,213640,90683,5321,50136,56,50887
DVL,106,1144,1089,217,120,48,0,647
EAU,106,2025,2127,1346,0,355,0,368
ECP,655,5521,5759,1690,9,1198,0,2360
