Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,373,4149,4298,962,0,1466,0,1573
ABI,25,294,342,41,0,65,0,208
ABQ,2799,31813,30620,7708,979,5065,7,13511
ABR,103,426,548,59,7,114,12,163
ABY,153,1886,1731,716,0,40,0,887
ACK,77,1313,1211,441,78,219,18,403
ACT,211,2033,2305,572,0,313,0,1188
ACV,199,3403,3250,18,446,702,24,1911
ACY,525,6946,7419,864,67,3431,16,2423
ADK,52,386,382,39,103,88,47,61
ADQ,84,472,520,0,0,18,75,335
AEX,439,5004,5270,1670,0,708,0,2422
AGS,398,6546,5969,2200,0,466,0,3037
AKN,9,43,60,0,0,17,43,0
ALB,1357,12593,12762,2711,442,3332,0,5180
AMA,463,3585,3890,1122,166,807,0,1384
ANC,2511,13624,15528,3479,567,2828,0,5694
APN,104,1528,1444,1,428,103,0,798
ASE,638,10231,9848,2136,642,1598,0,4944
ATL,57375,619917,595279,217959,28542,130114,398,157761
ATW,517,4043,4591,858,234,958,0,2060
AUS,6842,82964,82361,20078,3381,15952,101,34419
AVL,502,7446,7795,1344,8,3140,22,2832
AVP,250,2554,2861,983,0,1054,0,489
AZO,315,4165,4764,1709,518,1062,0,1200
BDL,3021,28355,28981,8893,1204,6857,12,9335
BET,153,610,788,51,16,111,7,442
BFF,1,40,,,,,,
BFL,399,4708,4976,2290,40,945,0,1388
BGM,134,1601,1729,372,239,221,6,762
BGR,88,1677,1630,665,43,593,0,246
BHM,1872,20376,20125,5256,140,5393,14,7376
BIL,499,3739,4415,1447,540,744,0,1297
BIS,381,5508,5747,2010,176,741,0,2449
BJI,103,691,849,191,0,95,0,390
BLI,64,609,762,213,197,64,0,172
BMI,230,1908,2443,478,9,571,0,1145
BNA,7750,97881,97357,20615,2172,17470,76,47588
BOI,2182,27869,29163,12602,216,5364,16,8729
BOS,18519,225995,225494,58207,1978,73697,416,71975
BPT,78,1894,1957,652,0,218,0,1002
BQK,154,1404,1450,726,0,194,0,496
BQN,254,2672,2356,338,0,364,0,1448
BRD,103,893,1040,535,0,110,0,244
BRO,312,3302,3044,319,86,810,0,1675
BRW,103,459,519,94,2,71,12,281
BTM,102,776,834,516,0,82,0,171
BTR,1035,23472,23804,14469,672,2059,0,5686
BTV,584,10173,10625,2502,86,4376,0,3201
BUF,2663,30240,30441,7681,1125,7144,28,12335
BUR,3409,38312,38737,5268,1576,7440,0,20128
BWI,14210,171074,169487,49395,9670,37068,93,56730
BZN,602,7335,7313,2134,0,1499,0,3280
CAE,688,8194,8072,2973,0,1381,0,3141
CAK,789,10854,10434,2963,132,3644,0,2924
CDC,103,767,965,0,0,187,0,615
CDV,102,453,533,61,144,88,10,176
CHA,717,11452,11753,4293,106,1605,0,4857
CHO,360,7291,7567,3360,50,1258,0,2640
CHS,2125,27754,28794,5576,665,9907,0,10889
CID,683,8191,9074,1200,447,2503,0,4178
CIU,104,1924,1969,16,841,166,0,841
CLE,5209,71724,72812,19354,1522,24334,9,22585
