Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,364,4762,4637,1613,53,935,0,1757
ABI,30,117,143,10,0,32,0,50
ABQ,2801,25432,24412,7477,680,3451,14,9745
ABR,108,1363,1403,892,13,86,0,312
ABY,154,2611,2596,1463,0,134,0,897
ACK,59,774,702,68,127,149,0,286
ACT,215,2836,2856,757,0,204,0,1648
ACV,201,2285,2203,154,84,486,0,1348
ACY,523,8832,9424,864,0,5959,265,1817
ADQ,78,987,1047,506,8,42,13,403
AEX,405,5593,5817,1630,196,620,0,3096
AGS,399,5707,5102,2318,42,333,0,2183
AKN,9,92,91,32,0,2,0,57
ALB,1369,12926,12815,3264,316,3752,0,4304
AMA,462,3172,3133,702,0,693,0,1350
ANC,2350,13533,15501,6321,479,2384,0,3418
APN,104,2801,2342,951,0,144,13,1141
ASE,597,8383,8966,2213,686,2836,20,2768
ATL,56904,525331,489495,195033,17885,89675,341,134147
ATW,521,4754,5179,1632,66,1898,0,1146
AUS,6831,66458,64764,18826,2194,12007,21,24238
AVL,486,6354,6675,1689,645,1754,0,2244
AVP,252,2358,2594,680,0,866,0,787
AZO,312,3543,4088,311,775,1262,0,1571
BDL,2956,25273,23984,7487,728,5347,8,7890
BET,156,243,335,19,42,10,0,99
BFL,390,2944,3206,961,0,768,0,1162
BGM,134,1780,1789,910,29,98,0,591
BGR,88,936,893,11,0,320,0,501
BHM,1834,20129,19978,5731,154,4483,0,8149
BIL,490,2218,2313,318,19,779,0,929
BIS,333,2487,2741,1309,39,428,0,681
BJI,104,954,1096,416,0,139,0,407
BLI,103,802,775,489,0,80,0,119
BMI,231,2818,3291,1630,121,548,0,819
BNA,7794,86349,88195,21751,5666,15467,84,36511
BOI,2175,19084,19117,6008,215,4376,0,6397
BOS,18213,173739,173782,48051,1357,56223,415,50887
BPT,79,975,1159,466,0,175,0,393
BQK,156,1621,1589,658,0,137,0,715
BQN,241,2869,2688,114,9,459,0,1953
BRD,104,239,490,2,0,199,7,164
BRO,298,3069,3142,616,427,767,0,1183
BRW,104,430,456,15,16,36,15,334
BTM,104,230,149,57,40,0,0,38
BTR,1040,16233,16479,9334,985,1919,0,3336
