Origin,Dest
ABE,ATL
ABE,ORD
ABE,DTW
ABE,EWR
ABI,DFW
ABQ,MCI
ABQ,SAF
ABQ,SLC
ABQ,DEN
ABQ,JFK
ABQ,IAH
ABQ,HOU
ABQ,DFW
ABQ,BWI
ABQ,DAL
ABQ,SAN
ABQ,PDX
ABQ,OAK
ABQ,MDW
ABQ,MSP
ABQ,AUS
ABQ,LAS
ABQ,PHX
ABQ,SEA
ABQ,ATL
ABQ,LAX
ABQ,ORD
ABQ,MCO
ABQ,SFO
ABR,MSP
ABY,ATL
ACK,BOS
ACK,JFK
ACK,DCA
ACT,DEN
ACT,DFW
ACV,SFO
ACY,FLL
ACY,ATL
ACY,PBI
ACY,RSW
ACY,ORD
ACY,TPA
ACY,BOS
ACY,MCO
ACY,DTW
ACY,MYR
ADK,ANC
ADQ,ANC
AEX,IAH
AEX,DFW
AEX,ATL
AGS,ATL
AGS,LGA
AKN,ANC
ALB,MHT
ALB,MSP
ALB,ATL
ALB,RSW
ALB,FLL
ALB,MCO
ALB,DTW
ALB,ORD
ALB,TPA
ALB,CLT
ALB,DEN
ALB,MDW
ALB,EWR
ALB,BWI
ALB,LAS
AMA,DEN
AMA,DAL
AMA,LAS
AMA,IAH
AMA,DFW
ANC,BRW
ANC,IAH
ANC,FAI
ANC,GEG
ANC,JNU
ANC,MSP
ANC,SCC
ANC,DLG
ANC,SLC
ANC,ADQ
ANC,OME
ANC,LAX
ANC,AKN
ANC,ORD
ANC,PDX
ANC,CDV
ANC,ATL
ANC,OTZ
ANC,DEN
ANC,BET
ANC,EWR
ANC,LGB
ANC,SFO
ANC,PHX
ANC,LAS
ANC,ADK
ANC,SEA
ANC,DFW
ANC,KOA
ANC,HNL
ANC,OGG
APN,PLN
APN,DTW
ASE,SLC
ASE,ATL
ASE,LAX
ASE,SFO
ASE,DFW
ASE,IAH
ASE,ORD
ASE,DEN
ASE,MSP
ATL,CVG
ATL,GPT
ATL,PHF
ATL,SAT
ATL,PDX
ATL,COS
ATL,DCA
ATL,MEM
ATL,SNA
ATL,EWR
ATL,BUF
ATL,SDF
ATL,ICT
ATL,EYW
ATL,LEX
ATL,DAY
ATL,ACY
ATL,CHO
ATL,RIC
ATL,BHM
ATL,PWM
ATL,CHA
ATL,FLL
ATL,SLC
ATL,SAV
ATL,ELP
ATL,EGE
ATL,SAN
ATL,DEN
ATL,SFO
ATL,LAX
ATL,GRB
ATL,SMF
ATL,ABQ
ATL,BZN
ATL,MLB
ATL,HOU
ATL,PVD
ATL,RSW
ATL,STL
ATL,ORF
ATL,CMH
ATL,MSY
ATL,LGA
ATL,CSG
ATL,DHN
ATL,BQK
ATL,CID
ATL,FSM
ATL,MLI
ATL,GTR
ATL,CLT
ATL,GRK
ATL,HPN
ATL,HNL
ATL,MGM
ATL,OAJ
ATL,BTV
ATL,PHX
ATL,BTR
ATL,FAR
ATL,OAK
ATL,PHL
ATL,FSD
ATL,GNV
ATL,SHV
ATL,MOB
ATL,TLH
ATL,DSM
ATL,SEA
ATL,VLD
ATL,AEX
ATL,IAH
ATL,LNK
ATL,TRI
ATL,MCI
ATL,MSP
ATL,DAL
ATL,LAS
ATL,OMA
ATL,AGS
ATL,DAB
ATL,RDU
ATL,ORD
ATL,PIT
ATL,JAX
ATL,BNA
ATL,AVP
ATL,BDL
ATL,JFK
ATL,EVV
ATL,ELM
ATL,RST
ATL,ABY
ATL,MDT
ATL,AUS
ATL,EWN
ATL,MDW
ATL,GRR
ATL,MCO
ATL,DTW
ATL,BOS
ATL,ALB
ATL,PBI
ATL,TPA
ATL,SCE
ATL,MKE
ATL,BWI
ATL,TUS
ATL,MLU
ATL,TTN
ATL,STX
ATL,STT
ATL,HSV
ATL,SYR
ATL,DFW
ATL,FAY
ATL,IND
ATL,IAD
ATL,TYS
ATL,SJC
ATL,BMI
ATL,CAK
ATL,ANC
ATL,SGF
ATL,SJU
ATL,GSO
ATL,PNS
ATL,SRQ
ATL,TUL
ATL,ASE
ATL,PIA
ATL,SBN
ATL,MYR
ATL,JAN
ATL,FWA
ATL,MIA
ATL,FCA
ATL,MHT
ATL,ROC
ATL,JAC
ATL,TVC
ATL,HDN
ATL,ROA
ATL,LIT
ATL,ILM
ATL,MTJ
ATL,FNT
ATL,MSN
ATL,ECP
ATL,AVL
ATL,XNA
ATL,CHS
ATL,CLE
ATL,OKC
ATL,ABE
ATL,ATW
ATL,RAP
ATL,MSO
ATL,VPS
ATL,CRW
ATL,GSP
ATL,RNO
ATL,LFT
ATL,CAE
ATW,DTW
ATW,ORD
ATW,ATL
ATW,MSP
AUS,ELP
AUS,BOS
AUS,MEM
AUS,BNA
AUS,OAK
AUS,SLC
AUS,BWI
AUS,SAN
AUS,ABQ
AUS,HOU
AUS,MDW
AUS,DFW
AUS,SJC
AUS,LBB
AUS,DTW
AUS,DCA
AUS,SNA
AUS,STL
AUS,TPA
AUS,HRL
AUS,DAL
AUS,IAH
AUS,FLL
AUS,ATL
AUS,JFK
AUS,PHL
AUS,ORD
AUS,MIA
AUS,MCO
AUS,DEN
AUS,LAS
AUS,SFO
AUS,PHX
AUS,PDX
AUS,LAX
AUS,LGB
AUS,MSP
AUS,CLT
AUS,MSY
AUS,EWR
AUS,IAD
AUS,SEA
AVL,ORD
AVL,LGA
AVL,EWR
AVL,ATL
AVP,ATL
AVP,EWR
AVP,ORD
AVP,DTW
AZO,DTW
AZO,MSP
AZO,ORD
BDL,DTW
BDL,DCA
BDL,MSP
BDL,PBI
BDL,EWR
BDL,MCO
BDL,DFW
BDL,RDU
BDL,TPA
BDL,CLE
BDL,IAD
BDL,SJU
BDL,LAX
BDL,MDW
BDL,PHL
BDL,FLL
BDL,CLT
BDL,DEN
BDL,ATL
BDL,RSW
BDL,MIA
BDL,LAS
BDL,BWI
BDL,ORD
BET,ANC
BFF,COS
BFL,DEN
BFL,IAH
BFL,PHX
BFL,SFO
BGM,DTW
BGR,DTW
BGR,EWR
BGR,LGA
BHM,LGA
BHM,IAH
BHM,ORD
BHM,MCO
BHM,BWI
BHM,PHX
BHM,MDW
BHM,DFW
BHM,ATL
BHM,DEN
BHM,LAS
BHM,HOU
BHM,DTW
BHM,DAL
BHM,TPA
BIL,COD
BIL,ORD
BIL,MSP
BIL,DEN
BIL,SEA
BIL,SLC
BIS,MSP
BIS,DEN
BIS,DVL
BJI,MSP
BLI,HNL
BLI,SEA
BLI,OGG
BLI,LAS
BLI,KOA
BMI,MSP
BMI,DTW
BMI,ATL
BNA,MCO
BNA,MCI
BNA,FLL
BNA,SAN
BNA,LAS
BNA,JAX
BNA,SAT
BNA,HOU
BNA,CLT
BNA,LGA
BNA,ORD
BNA,DEN
BNA,ECP
BNA,DCA
BNA,DAL
BNA,CMH
BNA,CLE
BNA,CHS
BNA,BWI
BNA,BOS
BNA,AUS
BNA,MIA
BNA,IAH
BNA,TPA
BNA,EWR
BNA,STL
BNA,CVG
BNA,RDU
BNA,SFO
BNA,SEA
BNA,LAX
BNA,DTW
BNA,ATL
BNA,DFW
BNA,MSP
BNA,SLC
BNA,MDW
BNA,MSY
BNA,OAK
BNA,PHL
BNA,RSW
BNA,PHX
BNA,PNS
BNA,PIT
BOI,IAH
BOI,OAK
BOI,SEA
BOI,PHX
BOI,SLC
BOI,PDX
BOI,MSP
BOI,SUN
BOI,SMF
BOI,LAX
BOI,SJC
BOI,SFO
BOI,DEN
BOI,DFW
BOI,ORD
BOI,LAS
BOI,GEG
BOI,MDW
BOI,SAN
BOS,FLL
BOS,LGB
BOS,IAD
BOS,DFW
BOS,SLC
BOS,MCO
BOS,EWR
BOS,MSY
BOS,ACY
BOS,TPA
