Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,743.0,5.908719346049046,0.5495571488823281,0.008997610009841136,0.11696893012793477,0.00562350625615071,0.3188528047237453,0.0847913862718708,0.012113055181695828,0.0013458950201884253,743.0,-1.1945578231292517,0.09286675639300135
m,1,62.0,11.35483870967742,0.7102161100196464,0.0,0.23280943025540274,0.0,0.05697445972495088,0.0967741935483871,0.0,0.0,62.0,-6.241935483870968,0.04838709677419355
m,2,58.0,3.5357142857142856,0.11737089201877934,0.03051643192488263,0.2934272300469484,0.028169014084507043,0.5305164319248826,0.13793103448275862,0.034482758620689655,0.0,58.0,-3.3684210526315788,0.1206896551724138
m,3,62.0,23.084745762711865,0.5138632162661737,0.0,0.08995686999383858,0.0,0.3961799137399877,0.1774193548387097,0.04838709677419355,0.0,62.0,3.4237288135593222,0.12903225806451613
m,4,60.0,10.216666666666667,0.9412897016361886,0.0,0.03849855630413859,0.0,0.02021174205967276,0.05,0.0,0.0,60.0,-2.033333333333333,0.03333333333333333
m,5,62.0,-5.612903225806452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,-5.903225806451613,0.04838709677419355
m,6,60.0,-3.15,0.18518518518518517,0.0,0.0,0.0,0.8148148148148148,0.06666666666666667,0.0,0.0,60.0,-3.8333333333333335,0.1
m,7,62.0,4.790322580645161,0.0,0.041666666666666664,0.12708333333333333,0.0,0.83125,0.0967741935483871,0.0,0.016129032258064516,62.0,-0.9838709677419355,0.0967741935483871
m,8,62.0,-1.2741935483870968,1.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,62.0,-4.080645161290323,0.04838709677419355
m,9,60.0,-0.2542372881355932,0.06481481481481481,0.0,0.037037037037037035,0.0,0.8981481481481481,0.03333333333333333,0.016666666666666666,0.0,60.0,-0.847457627118644,0.1
m,10,69.0,-1.0,0.88,0.0,0.08,0.0,0.04,0.043478260869565216,0.0,0.0,69.0,-3.6323529411764706,0.057971014492753624
m,11,65.0,6.71875,0.7916666666666666,0.0,0.14434523809523808,0.022321428571428572,0.041666666666666664,0.06153846153846154,0.015384615384615385,0.0,65.0,1.71875,0.07692307692307693
m,12,61.0,24.28813559322034,0.4182763744427935,0.023031203566121844,0.08172362555720654,0.009658246656760773,0.4673105497771174,0.2459016393442623,0.03278688524590164,0.0,61.0,11.966666666666667,0.26229508196721313
d,1,107.0,9.075471698113208,0.3098181818181818,0.014545454545454545,0.07418181818181818,0.0,0.6014545454545455,0.07476635514018691,0.009345794392523364,0.0,107.0,7.537735849056604,0.102803738317757
d,2,104.0,14.349514563106796,0.7998935604044705,0.0,0.06812134113890367,0.0,0.13198509845662587,0.11538461538461539,0.009615384615384616,0.0,104.0,-2.3592233009708736,0.125
d,3,108.0,8.858490566037736,0.6845740598618573,0.009976976208749041,0.06600153491941672,0.0,0.23944742900997698,0.08333333333333333,0.018518518518518517,0.0,108.0,-5.066666666666666,0.05555555555555555
d,4,103.0,0.45544554455445546,0.16619718309859155,0.01971830985915493,0.3211267605633803,0.03380281690140845,0.4591549295774648,0.06796116504854369,0.019417475728155338,0.0,103.0,-3.5436893203883497,0.08737864077669903
d,5,112.0,-0.03636363636363636,0.27801724137931033,0.0,0.3900862068965517,0.028017241379310345,0.30387931034482757,0.0625,0.017857142857142856,0.0,112.0,-4.427272727272728,0.07142857142857142
d,6,106.0,3.4380952380952383,0.3729189789123196,0.0,0.18201997780244172,0.016648168701442843,0.4284128745837958,0.0660377358490566,0.009433962264150943,0.0,106.0,-5.10377358490566,0.0660377358490566
d,7,103.0,5.388349514563107,0.6746411483253588,0.028708133971291867,0.06818181818181818,0.0,0.2284688995215311,0.1262135922330097,0.0,0.009708737864077669,103.0,4.813725490196078,0.14563106796116504
h,0001-0559,347.0,7.239067055393586,0.8478033472803347,0.016736401673640166,0.12526150627615062,0.007322175732217573,0.002876569037656904,0.06628242074927954,0.011527377521613832,0.002881844380403458,0.0,0.0,0.0
h,0700-0759,15.0,4.333333333333333,0.9090909090909091,0.0,0.09090909090909091,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0
h,0800-0859,4.0,-2.75,0.4117647058823529,0.0,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,1100-1159,3.0,22.666666666666668,0.0,0.0,0.13043478260869565,0.0,0.8695652173913043,0.3333333333333333,0.0,0.0,277.0,-2.3790613718411553,0.07581227436823104
h,1300-1359,276.0,1.6836363636363636,0.0006934812760055479,0.0,0.07836338418862691,0.0,0.9209431345353676,0.07971014492753623,0.0036231884057971015,0.0,60.0,-5.8,0.08333333333333333
h,1500-1559,90.0,15.045977011494253,0.35429638854296386,0.0,0.1095890410958904,0.007471980074719801,0.5286425902864259,0.16666666666666666,0.03333333333333333,0.0,2.0,-7.5,0.0
h,1700-1759,5.0,-4.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,46.25,0.25
h,1900-1959,3.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,6.0,-16.333333333333332,0.0
h,0900-0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.666666666666666,0.3333333333333333
h,1400-1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,13.40625,0.18181818181818182
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-4.9411764705882355,0.2222222222222222
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,-8.67741935483871,0.06060606060606061
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,-0.19801980198019803,0.09446254071661238
