Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,1002.0,7.714714714714715,0.44774599648245855,0.0,0.06933259279829677,0.0,0.48292141071924466,0.13972055888223553,0.0029940119760479044,0.0,1003.0,7.105315947843531,0.1794616151545364
m,1,79.0,4.7974683544303796,0.47368421052631576,0.0,0.06140350877192982,0.0,0.4649122807017544,0.10126582278481013,0.0,0.0,80.0,12.2875,0.1625
m,2,78.0,13.320512820512821,0.37540983606557377,0.0,0.06147540983606557,0.0,0.5631147540983606,0.28205128205128205,0.0,0.0,78.0,11.64102564102564,0.32051282051282054
m,3,89.0,3.932584269662921,0.5384615384615384,0.0,0.07541478129713423,0.0,0.3861236802413273,0.12359550561797752,0.0,0.0,89.0,11.426966292134832,0.1797752808988764
m,4,85.0,5.776470588235294,0.48877146631439894,0.0,0.1955085865257596,0.0,0.3157199471598415,0.10588235294117647,0.0,0.0,85.0,1.4880952380952381,0.11764705882352941
m,5,86.0,13.744186046511627,0.3914616497829233,0.0,0.06729377713458755,0.0,0.5412445730824892,0.1744186046511628,0.0,0.0,86.0,7.8352941176470585,0.23255813953488372
m,6,86.0,7.588235294117647,0.5155746509129968,0.0,0.04403866809881848,0.0,0.44038668098818473,0.12790697674418605,0.011627906976744186,0.0,86.0,10.023529411764706,0.1511627906976744
m,7,86.0,7.267441860465116,0.28587319243604004,0.0,0.12680756395995552,0.0,0.5873192436040044,0.18604651162790697,0.0,0.0,86.0,11.552941176470588,0.2558139534883721
m,8,89.0,5.804597701149425,0.6192090395480226,0.0,0.11412429378531073,0.0,0.26666666666666666,0.14606741573033707,0.02247191011235955,0.0,89.0,9.264367816091953,0.1797752808988764
m,9,84.0,6.642857142857143,0.452970297029703,0.0,0.053217821782178217,0.0,0.4938118811881188,0.09523809523809523,0.0,0.0,84.0,0.6785714285714286,0.11904761904761904
m,10,88.0,8.886363636363637,0.4799618320610687,0.0,0.009541984732824428,0.0,0.5104961832061069,0.10227272727272728,0.0,0.0,88.0,2.227272727272727,0.125
m,11,79.0,6.075949367088608,0.2513888888888889,0.0,0.002777777777777778,0.0,0.7458333333333333,0.11392405063291139,0.0,0.0,79.0,3.037974683544304,0.1518987341772152
m,12,73.0,9.191780821917808,0.5607940446650124,0.0,0.03722084367245657,0.0,0.40198511166253104,0.1232876712328767,0.0,0.0,73.0,3.452054794520548,0.1643835616438356
d,1,149.0,5.864864864864865,0.5086206896551724,0.0,0.11781609195402298,0.0,0.3735632183908046,0.1476510067114094,0.006711409395973154,0.0,149.0,1.4189189189189189,0.1610738255033557
d,2,152.0,7.006666666666667,0.2191780821917808,0.0,0.038486627527723416,0.0,0.7423352902804957,0.14473684210526316,0.013157894736842105,0.0,152.0,13.047297297297296,0.16447368421052633
d,3,154.0,13.11038961038961,0.5866078588612671,0.0,0.053728949478749,0.0,0.35966319165998395,0.17532467532467533,0.0,0.0,154.0,4.5,0.16883116883116883
d,4,153.0,8.222222222222221,0.43578819233110166,0.0,0.024345709068776627,0.0,0.5398660986001217,0.1568627450980392,0.0,0.0,152.0,8.039473684210526,0.2236842105263158
d,5,153.0,8.065359477124183,0.10970744680851063,0.0,0.14361702127659576,0.0,0.7466755319148937,0.16993464052287582,0.0,0.0,155.0,14.35064935064935,0.2645161290322581
d,6,104.0,11.557692307692308,0.7391304347826086,0.0,0.0428481411468179,0.0,0.2180214240705734,0.09615384615384616,0.0,0.0,104.0,7.8076923076923075,0.125
d,7,137.0,0.5474452554744526,0.4246153846153846,0.0,0.10461538461538461,0.0,0.4707692307692308,0.06569343065693431,0.0,0.0,137.0,0.043795620437956206,0.12408759124087591
h,0001-0559,259.0,2.44015444015444,0.9355638166047088,0.0,0.0644361833952912,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0
h,0600-0659,9.0,47.55555555555556,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
h,0700-0759,87.0,5.666666666666667,0.9296482412060302,0.0,0.07035175879396985,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0
h,1100-1159,163.0,7.723926380368098,0.5821880153930731,0.0,0.04233095107201759,0.0,0.3754810335349093,0.09202453987730061,0.0,0.0,28.0,1.7857142857142858,0.21428571428571427
h,1200-1259,178.0,6.898876404494382,0.31061896649630893,0.0,0.09483248154457695,0.0,0.5945485519591142,0.15730337078651685,0.0,0.0,0.0,0.0,0.0
h,1400-1459,6.0,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.333333333333332,0.3333333333333333
h,1500-1559,13.0,8.0,0.07352941176470588,0.0,0.1323529411764706,0.0,0.7941176470588235,0.15384615384615385,0.0,0.0,0.0,0.0,0.0
h,1600-1659,2.0,-7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,8.985663082437275,0.24381625441696114
h,1700-1759,272.0,11.847583643122677,0.14016958134605192,0.0,0.0794912559618442,0.0,0.7803391626921039,0.2426470588235294,0.011029411764705883,0.0,4.0,-8.25,0.0
h,1800-1859,13.0,33.07692307692308,0.019148936170212766,0.0,0.0574468085106383,0.0,0.9234042553191489,0.5384615384615384,0.0,0.0,0.0,0.0,0.0
h,0900-0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-4.0,0.061224489795918366
h,1000-1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,2.4482758620689653,0.11494252873563218
h,1300-1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.1111111111111111
h,1900-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,-0.631578947368421,0.05263157894736842
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,22.575,0.225
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,10.54054054054054,0.19798657718120805
