Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,104.0,-2.0297029702970297,0.21629213483146068,0.1797752808988764,0.175561797752809,0.2991573033707865,0.12921348314606743,0.20192307692307693,0.028846153846153848,0.0,104.0,-5.920792079207921,0.1346153846153846
m,1,9.0,7.222222222222222,0.15702479338842976,0.0,0.18181818181818182,0.6611570247933884,0.0,0.3333333333333333,0.0,0.0,9.0,-3.2222222222222223,0.1111111111111111
m,2,8.0,-13.571428571428571,0.0,0.0,0.4146341463414634,0.5853658536585366,0.0,0.125,0.125,0.0,8.0,-11.142857142857142,0.125
m,3,9.0,3.7142857142857144,0.0,0.0,0.011627906976744186,0.27906976744186046,0.7093023255813954,0.1111111111111111,0.2222222222222222,0.0,9.0,6.285714285714286,0.1111111111111111
m,4,8.0,-19.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-17.875,0.0
m,5,9.0,-11.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-12.0,0.1111111111111111
m,6,9.0,1.3333333333333333,0.7,0.0,0.08571428571428572,0.21428571428571427,0.0,0.2222222222222222,0.0,0.0,9.0,3.7777777777777777,0.3333333333333333
m,7,9.0,-3.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,9.0,5.888888888888889,0.4444444444444444
m,8,8.0,9.375,0.0,0.328,0.24,0.184,0.248,0.25,0.0,0.0,8.0,-2.25,0.125
m,9,9.0,-12.777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,0.0
m,10,9.0,-1.2222222222222223,0.532258064516129,0.4032258064516129,0.06451612903225806,0.0,0.0,0.3333333333333333,0.0,0.0,9.0,-21.333333333333332,0.0
m,11,8.0,-0.25,0.06741573033707865,0.25842696629213485,0.42696629213483145,0.24719101123595505,0.0,0.375,0.0,0.0,8.0,-9.5,0.125
m,12,9.0,14.333333333333334,0.3983050847457627,0.3305084745762712,0.059322033898305086,0.211864406779661,0.0,0.5555555555555556,0.0,0.0,9.0,-0.4444444444444444,0.1111111111111111
d,4,52.0,-2.34,0.11538461538461539,0.3047337278106509,0.2603550295857988,0.1390532544378698,0.1804733727810651,0.19230769230769232,0.038461538461538464,0.0,52.0,-7.6,0.11538461538461539
d,7,52.0,-1.7254901960784315,0.3074866310160428,0.06684491978609626,0.09893048128342247,0.44385026737967914,0.08288770053475936,0.21153846153846154,0.019230769230769232,0.0,52.0,-4.2745098039215685,0.15384615384615385
h,1700-1759,25.0,8.52,0.21951219512195122,0.18902439024390244,0.20426829268292682,0.3871951219512195,0.0,0.44,0.0,0.0,0.0,0.0,0.0
h,1800-1859,79.0,-5.5,0.21354166666666666,0.171875,0.15104166666666666,0.22395833333333334,0.23958333333333334,0.12658227848101267,0.0379746835443038,0.0,0.0,0.0,0.0
h,1400-1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,-6.43,0.1262135922330097
