Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,2641.0,10.182164634146341,0.41801600595570443,0.008468267262237112,0.11452323345120666,0.0,0.4589924933308518,0.15297235895494132,0.006436955698599016,0.0,2641.0,6.387256772224342,0.1707686482393033
m,1,196.0,9.723076923076922,0.2713978494623656,0.08344086021505376,0.09548387096774194,0.0,0.5496774193548387,0.17346938775510204,0.00510204081632653,0.0,196.0,11.4,0.19387755102040816
m,2,173.0,11.662790697674419,0.1703607127335941,0.0,0.06475445458496305,0.0,0.7648848326814428,0.15028901734104047,0.005780346820809248,0.0,173.0,12.5,0.2254335260115607
m,3,235.0,5.340425531914893,0.49389272437599574,0.0,0.04567180031864047,0.0,0.4604354753053638,0.10638297872340426,0.0,0.0,236.0,3.706382978723404,0.17796610169491525
m,4,239.0,2.9831932773109244,0.3815165876777251,0.0,0.1429699842022117,0.0,0.4755134281200632,0.09623430962343096,0.0041841004184100415,0.0,239.0,2.8781512605042017,0.11715481171548117
m,5,233.0,5.390557939914163,0.5416867469879518,0.0,0.12867469879518073,0.0,0.3296385542168675,0.09871244635193133,0.0,0.0,233.0,0.4892703862660944,0.11158798283261803
m,6,227.0,11.617117117117116,0.3370183196462413,0.0,0.15034744156664562,0.0,0.5126342387871131,0.15859030837004406,0.022026431718061675,0.0,227.0,9.771300448430493,0.16740088105726872
m,7,227.0,21.2972972972973,0.3602510460251046,0.0031380753138075313,0.20313807531380754,0.0,0.43347280334728033,0.23348017621145375,0.022026431718061675,0.0,227.0,16.05,0.2775330396475771
m,8,230.0,19.647577092511014,0.6202398485167263,0.0,0.13170629076372817,0.0,0.24805386071954555,0.22608695652173913,0.013043478260869565,0.0,230.0,6.061674008810573,0.20434782608695654
m,9,240.0,13.1625,0.4292527821939587,0.0,0.07180710121886592,0.0,0.4989401165871754,0.14583333333333334,0.0,0.0,240.0,4.309623430962343,0.1625
m,10,228.0,7.771929824561403,0.5088845014807503,0.0,0.03899308983218164,0.0,0.4521224086870681,0.14473684210526316,0.0,0.0,228.0,3.3596491228070176,0.12280701754385964
m,11,208.0,4.836538461538462,0.2797101449275362,0.006521739130434782,0.07391304347826087,0.0,0.6398550724637682,0.16346153846153846,0.0,0.0,207.0,1.0966183574879227,0.13043478260869565
m,12,205.0,9.269607843137255,0.45516141889198886,0.0219210840972499,0.10442407333599044,0.0,0.4184934236747708,0.14634146341463414,0.004878048780487805,0.0,205.0,7.78921568627451,0.17560975609756097
d,1,395.0,12.572519083969466,0.6051623646960866,0.03230641132389675,0.09758534554537886,0.0,0.2649458784346378,0.15443037974683543,0.005063291139240506,0.0,394.0,3.8698979591836733,0.16243654822335024
d,2,394.0,7.19280205655527,0.27817482133040133,0.01017042330951072,0.16465090709180868,0.0,0.5470038482682793,0.1700507614213198,0.012690355329949238,0.0,395.0,9.306701030927835,0.2
d,3,399.0,10.645569620253164,0.4753896636587367,0.008613617719442166,0.06829368334700574,0.0,0.4477030352748154,0.15037593984962405,0.010025062656641603,0.0,397.0,3.9670886075949365,0.1712846347607053
d,4,398.0,12.640703517587939,0.38576187971243203,0.0,0.08171137997545151,0.0,0.5325267403121164,0.14824120603015076,0.0,0.0,400.0,7.811083123425693,0.2025
d,5,403.0,12.385964912280702,0.28014505893019037,0.0,0.06074342701722575,0.0,0.6591115140525838,0.1687344913151365,0.009925558312655087,0.0,402.0,11.76,0.18159203980099503
d,6,301.0,7.827242524916944,0.6223453370267775,0.0,0.11972914742997845,0.0,0.25792551554324405,0.12624584717607973,0.0,0.0,278.0,-0.84,0.08633093525179857
d,7,351.0,7.005730659025788,0.22908979089790898,0.0,0.3025830258302583,0.0,0.4683271832718327,0.1452991452991453,0.005698005698005698,0.0,375.0,6.609625668449198,0.16533333333333333
h,0001-0559,257.0,9.26086956521739,0.7362399505256648,0.036178107606679034,0.0479282622139765,0.0,0.17965367965367965,0.0933852140077821,0.01556420233463035,0.0,0.0,0.0,0.0
h,0600-0659,314.0,7.626198083067092,0.8746492048643593,0.0,0.05643903960087309,0.0,0.0689117555347677,0.07006369426751592,0.0031847133757961785,0.0,0.0,0.0,0.0
h,0700-0759,138.0,0.644927536231884,0.5615866388308977,0.16075156576200417,0.2776617954070981,0.0,0.0,0.050724637681159424,0.0,0.0,0.0,0.0,0.0
h,0800-0859,209.0,8.952153110047847,0.9149453219927096,0.007290400972053463,0.06358849736735521,0.0,0.014175779667881734,0.10047846889952153,0.0,0.0,67.0,3.3134328358208953,0.19402985074626866
h,0900-0959,38.0,7.684210526315789,0.6086956521739131,0.0,0.0,0.0,0.391304347826087,0.15789473684210525,0.0,0.0,247.0,-1.1497975708502024,0.0728744939271255
h,1000-1059,315.0,1.7714285714285714,0.41330645161290325,0.0,0.09408602150537634,0.0,0.49260752688172044,0.08888888888888889,0.0,0.0,55.0,-3.037037037037037,0.09090909090909091
h,1200-1259,91.0,3.8222222222222224,0.1672473867595819,0.0,0.16202090592334495,0.0,0.6707317073170732,0.15384615384615385,0.01098901098901099,0.0,30.0,4.233333333333333,0.2
h,1300-1359,269.0,15.212686567164178,0.3230871295886776,0.0,0.1172047766475011,0.0,0.5597080937638214,0.1970260223048327,0.0037174721189591076,0.0,304.0,5.096026490066225,0.16447368421052633
h,1400-1459,26.0,2.3461538461538463,0.26373626373626374,0.0,0.0,0.0,0.7362637362637363,0.11538461538461539,0.0,0.0,49.0,0.40816326530612246,0.14285714285714285
h,1500-1559,308.0,14.50814332247557,0.21116856256463287,0.0031023784901758012,0.23702171664943122,0.0,0.5487073422957601,0.22402597402597402,0.003246753246753247,0.0,311.0,6.615635179153094,0.21221864951768488
h,1600-1659,157.0,19.673202614379086,0.38798461083160696,0.01361349511689849,0.08819177271382066,0.0,0.5102101213376738,0.28662420382165604,0.025477707006369428,0.0,42.0,7.214285714285714,0.19047619047619047
h,1700-1759,223.0,8.713004484304932,0.23314606741573032,0.0,0.12720706260032102,0.0,0.6396468699839486,0.16143497757847533,0.0,0.0,323.0,15.38679245283019,0.25696594427244585
h,1800-1859,81.0,9.234567901234568,0.2205240174672489,0.0,0.17467248908296942,0.0,0.6048034934497817,0.18518518518518517,0.0,0.0,12.0,7.916666666666667,0.25
h,1900-1959,212.0,21.85024154589372,0.06028368794326241,0.0,0.09030732860520095,0.0,0.8494089834515366,0.28773584905660377,0.02358490566037736,0.0,245.0,6.761316872427984,0.17551020408163265
h,1100-1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,7.481617647058823,0.1684981684981685
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-5.283333333333333,0.06666666666666667
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,2.7875457875457874,0.16483516483516483
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,13.53763440860215,0.11702127659574468
h,2300-2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,10.258964143426295,0.16862745098039217
