Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,17254,0.1965762198672412,0.45434199790185337,0.03168201422077165,0.20488401911644713,0.0006760694719664297,0.3084158992889614,0.07308450214443028,0.00573779993045091,0.002318303002202388,17251,-5.395604395604396,0.10921106022839255
m,1,1232,-2.9591169255928045,0.3856236786469345,0.06997885835095137,0.3699788583509514,0.0010570824524312897,0.1733615221987315,0.05113636363636364,0.007305194805194805,0.005681818181818182,1230,-14.823336072308956,0.06422764227642276
m,2,1125,-2.527075812274368,0.5213371266002845,0.04812707444286392,0.2069701280227596,0.0,0.223565670934092,0.06133333333333333,0.017777777777777778,0.0035555555555555557,1124,-13.967332123411978,0.06227758007117438
m,3,1227,-0.2860696517412935,0.4166369789811186,0.02012825080156751,0.2892768079800499,0.0,0.273957962237264,0.06927465362673187,0.020374898125509373,0.0016299918500407497,1224,-5.49247491638796,0.1315359477124183
m,4,1162,-2.356896551724138,0.4298823529411765,0.009647058823529411,0.32282352941176473,0.0,0.2376470588235294,0.047332185886402756,0.0017211703958691911,0.0025817555938037868,1163,-9.22538860103627,0.07566638005159071
m,5,1466,-0.5061475409836066,0.5254404742301992,0.025193479334760415,0.19002140622427136,0.0,0.259344640210769,0.06207366984993179,0.004092769440654843,0.001364256480218281,1470,-4.245554035567715,0.11292517006802721
m,6,1959,-0.49923352069494126,0.3623775751435326,0.014747270066419002,0.1850726106045255,0.0018011932905549926,0.43600135089496794,0.07656967840735068,0.002041858090862685,0.002041858090862685,1967,-2.064928425357873,0.12150482968988308
m,7,2112,2.2330648981525343,0.45881281563043297,0.027237354085603113,0.09156387118138919,0.0,0.4223859591025747,0.08806818181818182,0.0014204545454545455,0.0014204545454545455,2112,-1.352326685660019,0.12073863636363637
m,8,2012,5.386261821801892,0.5252958852026737,0.0036180781259581773,0.07438523333537744,0.0010424970871404917,0.3956583062488502,0.10685884691848907,0.0014910536779324055,0.002485089463220676,2006,1.614922383575363,0.16151545363908276
m,9,1395,-0.19554277498202732,0.5141765533882968,0.023929217775990348,0.24974864267042027,0.0,0.21214558616529258,0.06236559139784946,0.005017921146953405,0.0014336917562724014,1390,-3.8965267727930537,0.08848920863309352
m,10,1196,-2.607232968881413,0.47280534351145037,0.09351145038167939,0.29532442748091603,0.004770992366412214,0.13358778625954199,0.047658862876254184,0.006688963210702341,0.002508361204013378,1194,-9.72635135135135,0.0745393634840871
m,11,1115,-2.5542600896860987,0.39230019493177387,0.016812865497076022,0.4534600389863548,0.0,0.13742690058479531,0.054708520179372194,0.0,0.0026905829596412557,1115,-14.137589928057555,0.07533632286995516
m,12,1253,4.2522159548751,0.39760779396160895,0.07504581846242886,0.24114980225716215,0.0,0.28619658531880005,0.11332801276935354,0.009577015163607342,0.0015961691939345571,1256,0.7014563106796117,0.16401273885350318
d,1,2517,-0.3358656537385046,0.476044175039442,0.030141991198206427,0.2072573279083285,0.0,0.2865565058540231,0.07151370679380215,0.00834326579261025,0.0023837902264600714,2467,-5.483831354891527,0.09971625456019456
d,2,2434,-0.016542597187758478,0.48056825604180275,0.010205747877204442,0.1822338340953625,0.001714565643370346,0.32527759634225994,0.0686113393590797,0.008216926869350863,0.002054231717337716,2403,-6.295130142737196,0.09904286308780691
d,3,2350,0.9002132196162047,0.5015870496746548,0.038009839707982856,0.18917632121885414,0.0,0.2712267893985082,0.07191489361702127,0.003404255319148936,0.000851063829787234,2398,-5.2808564231738035,0.09841534612176814
d,4,2511,0.4092,0.2768141311266709,0.04511457670273711,0.22501591343093572,0.0,0.4530553787396563,0.0724810832337714,0.005575467941059339,0.0027877339705296694,2522,-4.238895558223289,0.13045202220459953
d,5,2579,-0.09027237354085603,0.44257467395877154,0.05679427850231384,0.23155237694572992,0.002944888514934792,0.2661337820782499,0.07367196587824738,0.004265219077161691,0.002714230321830167,2586,-4.4744838332684065,0.12296983758700696
d,6,2454,1.2267322673226733,0.5210108513582404,0.02119292112737601,0.19445051343674896,0.0001456558153084262,0.2632000582623261,0.07946210268948656,0.006112469437652812,0.003667481662591687,2448,-5.697482459760628,0.10253267973856209
d,7,2409,-0.6822157434402333,0.4802576309157099,0.02034910855969383,0.20675814431065062,0.0,0.29263511621394567,0.0738895807388958,0.004151100041511001,0.0016604400166044002,2427,-6.406716417910448,0.1096003296250515
h,0001-0559,3313,0.7527954064672107,0.47968983000298243,0.008470026841634358,0.21920668058455114,0.0,0.2926334625708321,0.06670691216420163,0.0012073649260488982,0.00030184123151222455,209,-6.511961722488039,0.09090909090909091
h,0600-0659,1161,-4.70147954743255,0.3749634396022229,0.26147996490201814,0.3574144486692015,0.0,0.006142146826557473,0.03186907838070629,0.019810508182601206,0.0017226528854435831,732,-8.74074074074074,0.04644808743169399
h,0700-0759,843,-2.933333333333333,0.5327978580990629,0.12806782686300758,0.3293172690763052,0.0,0.009817045961624275,0.03558718861209965,0.0035587188612099642,0.0035587188612099642,450,-11.324324324324325,0.057777777777777775
h,0800-0859,585,-2.9743589743589745,0.3280739934711643,0.08596300326441784,0.3101196953210011,0.0,0.27584330794341677,0.04786324786324787,0.0,0.0,1222,-5.329156223893066,0.07283142389525368
h,0900-0959,307,-2.543973941368078,0.3112980769230769,0.0,0.39783653846153844,0.0,0.29086538461538464,0.05863192182410423,0.0,0.0,1343,-8.15820895522388,0.10424422933730454
h,1000-1059,576,-2.5253940455341506,0.5412026726057907,0.060690423162583516,0.2789532293986637,0.0,0.11915367483296214,0.05381944444444445,0.012152777777777778,0.005208333333333333,325,-3.0555555555555554,0.09846153846153846
h,1100-1159,962,-4.270637408568443,0.38379290939786154,0.10748452447945976,0.24085537422622397,0.0,0.2678671918964547,0.038461538461538464,0.005197505197505198,0.0010395010395010396,1122,-6.23455684870188,0.11675579322638147
h,1200-1259,690,2.0579710144927534,0.5623287671232877,0.0,0.10707762557077626,0.0036529680365296802,0.3269406392694064,0.0782608695652174,0.0,0.0,517,-2.7210216110019645,0.09477756286266925
h,1300-1359,714,2.3711484593837535,0.40080492424242425,0.0033143939393939395,0.19957386363636365,0.0,0.3963068181818182,0.10224089635854341,0.0,0.0014005602240896359,1341,-5.113533834586466,0.09395973154362416
h,1400-1459,1076,-0.9037383177570093,0.3822414726583649,0.008121277747698972,0.2357877639415268,0.0,0.37384948565240933,0.0762081784386617,0.007434944237918215,0.006505576208178439,772,-5.674479166666667,0.09326424870466321
h,1500-1559,1347,-1.8527422990232907,0.5626628760957119,0.05543710021321962,0.191423833214878,0.0,0.19047619047619047,0.060133630289532294,0.012620638455827766,0.0022271714922048997,861,-2.2762237762237763,0.15911730545876887
h,1600-1659,672,0.039097744360902256,0.3956081081081081,0.0,0.30202702702702705,0.006756756756756757,0.2956081081081081,0.08779761904761904,0.011904761904761904,0.004464285714285714,318,0.43354430379746833,0.14465408805031446
h,1700-1759,330,-0.7753846153846153,0.36388508891928867,0.023255813953488372,0.2667578659370725,0.0,0.34610123119015046,0.09393939393939393,0.015151515151515152,0.0030303030303030303,1254,-4.018623481781376,0.13078149920255183
h,1800-1859,515,-1.027237354085603,0.453547628381027,0.0,0.23872990983927872,0.0,0.30772246177969426,0.05436893203883495,0.001941747572815534,0.0,1077,-6.653882132834425,0.0947075208913649
h,1900-1959,876,0.8386727688787186,0.44478662560492743,0.06247250329960405,0.11636603607567092,0.0,0.3763748350197976,0.0867579908675799,0.00228310502283105,0.00228310502283105,1156,-1.9607672188317349,0.15397923875432526
h,2000-2059,464,20.099352051835854,0.4470119521912351,0.0,0.08665338645418327,0.001693227091633466,0.4646414342629482,0.20043103448275862,0.0021551724137931034,0.0021551724137931034,1748,-3.152512998266898,0.12528604118993136
h,2100-2159,655,6.562021439509954,0.4466571834992888,0.016714082503556188,0.14989331436699857,0.0,0.38673541963015645,0.15725190839694655,0.0030534351145038168,0.0030534351145038168,1074,-5.359360301034807,0.11080074487895716
h,2200-2259,234,-0.1630901287553648,0.4052013422818792,0.11996644295302013,0.200503355704698,0.0,0.27432885906040266,0.10683760683760683,0.004273504273504274,0.008547008547008548,753,-7.537234042553192,0.10624169986719788
h,2300-2359,1934,1.8653846153846154,0.4609093882891724,0.00850507033038927,0.22464834805364736,0.0004088976120379457,0.30552829571475304,0.0796277145811789,0.0062047569803516025,0.004136504653567736,977,-9.04639175257732,0.12384851586489252
