Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,642.0,13.361022364217252,0.33767219872003473,0.08493328994467947,0.05325957262175941,0.0014101312506779478,0.5227248074628484,0.13395638629283488,0.024922118380062305,0.00778816199376947,642.0,5.088424437299035,0.1557632398753894
m,1,52.0,33.479166666666664,0.5120087336244541,0.0,0.04039301310043668,0.0,0.44759825327510916,0.23076923076923078,0.07692307692307693,0.0,52.0,11.787234042553191,0.23076923076923078
m,2,50.0,15.46808510638298,0.00631578947368421,0.0,0.05578947368421053,0.0,0.9378947368421052,0.24,0.06,0.0,50.0,17.595744680851062,0.28
m,3,54.0,1.6326530612244898,0.5179153094462541,0.006514657980456026,0.23452768729641693,0.0,0.24104234527687296,0.037037037037037035,0.09259259259259259,0.0,55.0,-12.5,0.07272727272727272
m,4,51.0,24.96078431372549,0.24347014925373134,0.0,0.04011194029850746,0.0,0.7164179104477612,0.11764705882352941,0.0,0.0392156862745098,50.0,20.571428571428573,0.22
m,5,53.0,11.415094339622641,0.6503401360544218,0.23537414965986395,0.014965986394557823,0.0,0.09931972789115646,0.09433962264150944,0.0,0.0,54.0,-2.3518518518518516,0.09259259259259259
m,6,52.0,4.038461538461538,0.0,0.0,0.08108108108108109,0.0,0.918918918918919,0.057692307692307696,0.0,0.0,52.0,-4.788461538461538,0.07692307692307693
m,7,62.0,3.3548387096774195,0.29015544041450775,0.20207253886010362,0.03626943005181347,0.06735751295336788,0.40414507772020725,0.0967741935483871,0.0,0.0,62.0,-10.080645161290322,0.04838709677419355
m,8,58.0,22.70689655172414,0.46398786959818045,0.2100075815011372,0.01592115238817286,0.0,0.3100833965125095,0.1724137931034483,0.0,0.017241379310344827,58.0,13.637931034482758,0.08620689655172414
m,9,52.0,7.519230769230769,0.7461832061068703,0.0,0.03625954198473282,0.0,0.21755725190839695,0.07692307692307693,0.0,0.0,52.0,6.980769230769231,0.11538461538461539
m,10,52.0,6.134615384615385,0.0,0.2951167728237792,0.11464968152866242,0.0,0.5902335456475584,0.09615384615384616,0.0,0.019230769230769232,52.0,-4.653846153846154,0.11538461538461539
m,11,53.0,4.509433962264151,0.02100840336134454,0.0,0.20168067226890757,0.0,0.7773109243697479,0.11320754716981132,0.0,0.0,53.0,3.207547169811321,0.22641509433962265
m,12,53.0,28.3265306122449,0.16146645865834633,0.11934477379095164,0.05070202808112324,0.0,0.6684867394695788,0.2830188679245283,0.07547169811320754,0.018867924528301886,52.0,28.695652173913043,0.34615384615384615
d,1,104.0,14.235294117647058,0.41625,0.085,0.02125,0.0,0.4775,0.15384615384615385,0.019230769230769232,0.009615384615384616,104.0,-3.174757281553398,0.15384615384615385
d,2,104.0,8.803921568627452,0.1267056530214425,0.0,0.010721247563352826,0.0,0.8625730994152047,0.125,0.019230769230769232,0.009615384615384616,105.0,0.5686274509803921,0.12380952380952381
d,3,104.0,24.166666666666668,0.42285460204535347,0.0,0.06402845709204091,0.005780346820809248,0.5073365940417963,0.14423076923076922,0.019230769230769232,0.028846153846153848,104.0,3.18,0.15384615384615385
d,4,104.0,11.515151515151516,0.0007518796992481203,0.3218045112781955,0.0774436090225564,0.0,0.6,0.15384615384615385,0.04807692307692308,0.0,104.0,23.8989898989899,0.2403846153846154
d,5,106.0,13.019417475728156,0.7608409986859396,0.11366622864651774,0.021681997371879105,0.0,0.1038107752956636,0.12264150943396226,0.02830188679245283,0.0,106.0,-3.4711538461538463,0.1320754716981132
d,6,61.0,6.80327868852459,0.2996941896024465,0.07033639143730887,0.20336391437308868,0.0,0.42660550458715596,0.14754098360655737,0.0,0.0,24.0,5.458333333333333,0.16666666666666666
d,7,59.0,11.456140350877194,0.013126491646778043,0.0,0.03937947494033413,0.0,0.9474940334128878,0.06779661016949153,0.03389830508474576,0.0,95.0,10.88888888888889,0.12631578947368421
h,0001-0559,266.0,9.084291187739463,0.6580072344623479,0.24465636303847418,0.09306149292995725,0.004274909569220651,0.0,0.07142857142857142,0.018796992481203006,0.018796992481203006,0.0,0.0,0.0
h,0900-0959,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,1000-1059,43.0,17.307692307692307,0.007936507936507936,0.0,0.05423280423280423,0.0,0.9378306878306878,0.18604651162790697,0.09302325581395349,0.0,0.0,0.0,0.0
h,1300-1359,269.0,13.75187969924812,0.04946996466431095,0.011484098939929329,0.023851590106007067,0.0,0.9151943462897526,0.15985130111524162,0.011152416356877323,0.0,0.0,0.0,0.0
h,1700-1759,61.0,29.017543859649123,0.4629812438302073,0.0,0.04244817374136229,0.0,0.4945705824284304,0.26229508196721313,0.06557377049180328,0.0,0.0,0.0,0.0
h,0800-0859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,8.526315789473685,0.16279069767441862
h,1100-1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.8928571428571429,0.08928571428571429
h,1200-1259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,2.2392344497607657,0.1267605633802817
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,21.846153846153847,0.35714285714285715
h,1600-1659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,14.806451612903226,0.2727272727272727
h,1900-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-26.333333333333332,0.0
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.3905579399141631,0.11914893617021277
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,32.041666666666664,0.41379310344827586
