Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,2078.0,4.9122893954410305,0.2975152655631937,0.08011060332578056,0.30773071162487037,0.0,0.3146434194861554,0.10731472569778633,0.02935514918190568,0.0014436958614051972,2078.0,1.9159622078567877,0.1381135707410972
m,1,206.0,3.4876847290640396,0.13134027544507895,0.008061807188444743,0.36949949613705074,0.0,0.4910984212294256,0.12135922330097088,0.014563106796116505,0.0,207.0,8.5,0.16908212560386474
m,2,202.0,6.343915343915344,0.33616876488601566,0.0,0.254168084382443,0.0,0.40966315073154136,0.12376237623762376,0.06435643564356436,0.0049504950495049506,203.0,1.3072916666666667,0.1625615763546798
m,3,213.0,11.450980392156863,0.442579717094222,0.24286741788539917,0.11508031647087029,0.0,0.19947254854950852,0.10328638497652583,0.04225352112676056,0.0,212.0,-3.623762376237624,0.11320754716981132
m,4,208.0,-3.105769230769231,0.12727272727272726,0.0,0.3707509881422925,0.0,0.5019762845849802,0.07211538461538461,0.0,0.004807692307692308,209.0,-6.096153846153846,0.07655502392344497
m,5,143.0,-2.58273381294964,0.6926121372031663,0.0,0.08970976253298153,0.0,0.21767810026385223,0.04195804195804196,0.027972027972027972,0.0,142.0,-9.302158273381295,0.07042253521126761
m,6,134.0,3.6791044776119404,0.29829545454545453,0.26704545454545453,0.3508522727272727,0.0,0.08380681818181818,0.1044776119402985,0.0,0.0,134.0,-8.436090225563909,0.05970149253731343
m,7,153.0,-0.035211267605633804,0.15100316789862725,0.028511087645195353,0.40971488912354803,0.0,0.41077085533262936,0.09803921568627451,0.0784313725490196,0.0,154.0,0.0070921985815602835,0.14935064935064934
m,8,171.0,8.55688622754491,0.4886983632112237,0.0,0.17887763055339048,0.0,0.3324240062353858,0.1111111111111111,0.023391812865497075,0.005847953216374269,170.0,15.909638554216867,0.18823529411764706
m,9,137.0,1.3656716417910448,0.10756972111553785,0.13545816733067728,0.4252988047808765,0.0,0.33167330677290835,0.10218978102189781,0.021897810218978103,0.0,137.0,2.3059701492537314,0.11678832116788321
m,10,198.0,7.434343434343434,0.3575984990619137,0.022889305816135085,0.5362101313320825,0.0,0.08330206378986867,0.08080808080808081,0.0,0.0,199.0,-3.7537688442211055,0.11055276381909548
m,11,175.0,5.745664739884393,0.2490118577075099,0.18725296442687747,0.15365612648221344,0.0,0.41007905138339923,0.13142857142857142,0.011428571428571429,0.0,174.0,8.156976744186046,0.1839080459770115
m,12,138.0,16.606299212598426,0.1369532428355958,0.021116138763197588,0.49502262443438916,0.0,0.3469079939668175,0.21014492753623187,0.07971014492753623,0.0,137.0,21.89430894308943,0.26277372262773724
d,1,309.0,5.7344262295081965,0.31453252032520324,0.006097560975609756,0.29471544715447157,0.0,0.38465447154471544,0.12944983818770225,0.012944983818770227,0.003236245954692557,310.0,2.607843137254902,0.13225806451612904
d,2,304.0,5.341216216216216,0.5044705882352941,0.09152941176470589,0.19811764705882354,0.0,0.20588235294117646,0.0756578947368421,0.02631578947368421,0.0,306.0,-3.0436241610738257,0.12418300653594772
d,3,312.0,4.809364548494983,0.07935697882112784,0.1977545292166369,0.3220209237050268,0.0,0.4008675682572085,0.12179487179487179,0.041666666666666664,0.0,310.0,6.075085324232082,0.17096774193548386
d,4,315.0,6.921052631578948,0.3807083983069726,0.11539318333704611,0.23657830251726442,0.0,0.26732011583871684,0.10793650793650794,0.03492063492063492,0.0031746031746031746,315.0,0.9674267100977199,0.14603174603174604
d,5,320.0,3.7234726688102895,0.19272424326575952,0.008053318522632602,0.5659539016939739,0.0,0.233268536517634,0.103125,0.028125,0.003125,322.0,5.449838187702265,0.13664596273291926
d,6,241.0,7.666666666666667,0.3884690736076126,0.05485586342009516,0.28407500699692134,0.0,0.27260005597537085,0.12863070539419086,0.016597510373443983,0.0,223.0,1.3302752293577982,0.1210762331838565
d,7,277.0,0.24812030075187969,0.11580801409070894,0.06825187142228094,0.27917217084984586,0.0,0.5367679436371643,0.08664259927797834,0.04332129963898917,0.0,292.0,-0.31785714285714284,0.13013698630136986
h,0001-0559,112.0,7.5636363636363635,0.962336664104535,0.0,0.03766333589546503,0.0,0.0,0.0625,0.017857142857142856,0.0,0.0,0.0,0.0
h,0600-0659,414.0,2.969924812030075,0.3486590038314176,0.16616253276870338,0.485178463399879,0.0,0.0,0.0821256038647343,0.036231884057971016,0.0,0.0,0.0,0.0
h,0700-0759,152.0,-2.0927152317880795,0.816793893129771,0.024173027989821884,0.15903307888040713,0.0,0.0,0.039473684210526314,0.006578947368421052,0.0,0.0,0.0,0.0
h,0800-0859,69.0,2.514705882352941,0.43373493975903615,0.23493975903614459,0.3313253012048193,0.0,0.0,0.08695652173913043,0.014492753623188406,0.0,184.0,9.640883977900552,0.16847826086956522
h,0900-0959,3.0,-3.5,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,5.0,-13.8,0.0
h,1000-1059,214.0,7.9,0.07242240456653586,0.008205494113449875,0.10203353549768106,0.0,0.8173385658223332,0.14953271028037382,0.018691588785046728,0.0,41.0,8.05,0.1951219512195122
h,1100-1159,29.0,17.77777777777778,0.6791907514450867,0.015895953757225433,0.07514450867052024,0.0,0.22976878612716764,0.1724137931034483,0.06896551724137931,0.0,0.0,0.0,0.0
h,1300-1359,211.0,9.433333333333334,0.4202464202464202,0.0,0.08358308358308358,0.0,0.4961704961704962,0.14691943127962084,0.004739336492890996,0.004739336492890996,70.0,2.373134328358209,0.14285714285714285
h,1400-1459,322.0,1.314102564102564,0.21538024971623154,0.11038592508513054,0.28291713961407494,0.0,0.391316685584563,0.09316770186335403,0.031055900621118012,0.006211180124223602,0.0,0.0,0.0
h,1600-1659,73.0,10.605633802816902,0.44763670064874883,0.0,0.08989805375347544,0.0,0.46246524559777574,0.1232876712328767,0.0273972602739726,0.0,97.0,10.938144329896907,0.2268041237113402
h,1700-1759,116.0,7.705357142857143,0.03982843137254902,0.0,0.17892156862745098,0.0,0.78125,0.16379310344827586,0.034482758620689655,0.0,5.0,-7.4,0.0
h,1800-1859,353.0,5.419642857142857,0.11028592647604901,0.0902339398440401,0.5952469365020423,0.0,0.20423319717786856,0.12181303116147309,0.05099150141643059,0.0,0.0,0.0,0.0
h,1900-1959,9.0,10.11111111111111,0.0,0.9834254143646409,0.016574585635359115,0.0,0.0,0.1111111111111111,0.0,0.0,80.0,-8.3375,0.0625
h,1200-1259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,-2.7755905511811023,0.13320463320463322
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,-5.675461741424802,0.10025062656641603
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,6.327365728900256,0.14251207729468598
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.14935064935064934
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,22.97196261682243,0.1834862385321101
