Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,20317,6.361413448635754,0.3446857443619346,0.04238131743652528,0.23924162156595763,0.0010183415906724488,0.37267297504491,0.13683122508244328,0.009893192892651474,0.0026578727174287544,20322,4.119743513271697,0.17759078830823738
m,1,1520,7.916442048517521,0.3336241770444991,0.032997541048623784,0.180931228682478,0.0080114222257476,0.4444356309986515,0.18157894736842106,0.024342105263157894,0.003947368421052632,1520,4.179366149696561,0.19473684210526315
m,2,1434,11.313074204946997,0.36339730319476304,0.1188944217534829,0.23644603592010294,0.0,0.2812622391316511,0.18828451882845187,0.01394700139470014,0.0048814504881450485,1436,4.247693399574166,0.1817548746518106
m,3,1622,5.166872682323857,0.31541003304295584,0.03221688194653049,0.25976269149894865,0.0,0.392610393511565,0.13008631319358815,0.002466091245376079,0.0030826140567200987,1622,3.51363073110285,0.16276202219482122
m,4,1708,5.464390818128311,0.33204398938187335,0.03018581721653394,0.25612438376943497,0.0007584376185058779,0.38088737201365186,0.13407494145199064,0.005269320843091335,0.00117096018735363,1711,2.4598240469208212,0.15604909409701928
m,5,1800,4.481316229782488,0.40247952180650876,0.021179248763928862,0.30034683787174377,0.0,0.27599439155781863,0.10777777777777778,0.005,0.0022222222222222222,1800,2.128276631344116,0.14944444444444444
m,6,1768,7.061142857142857,0.3301655609347917,0.06658298965991273,0.24045185583647122,0.000777000777000777,0.3620225927918236,0.15271493212669685,0.010180995475113122,0.002828054298642534,1768,7.968036529680365,0.22907239819004524
m,7,1773,8.209982788296042,0.2310021037508338,0.046385140335573914,0.25173174611319205,0.0004617989635178819,0.4704192108368823,0.155668358714044,0.01748448956570784,0.00338409475465313,1771,10.564043653072947,0.2450592885375494
m,8,1691,8.967026378896882,0.35593591075627495,0.024662328430032264,0.19522064854814897,0.0,0.42418111226554384,0.15552927261975164,0.013601419278533412,0.0017740981667652277,1693,8.818562874251498,0.22740696987595985
m,9,1590,1.7777078085642317,0.4,0.011846250787649653,0.2643982356647763,0.0,0.32375551354757404,0.07987421383647798,0.0012578616352201257,0.0025157232704402514,1590,-1.0396975425330812,0.12389937106918239
m,10,1729,2.788921282798834,0.5004889709877214,0.013473867217211779,0.23188090839943495,0.0,0.25415625339563186,0.08906882591093117,0.008097165991902834,0.002313475997686524,1732,-3.7882147024504085,0.09526558891454966
m,11,1857,3.1483279395900756,0.483429575696711,0.014310820989204118,0.18968114486567914,0.0,0.3125784584484057,0.10016155088852989,0.0016155088852988692,0.0010770059235325794,1857,2.157582298974636,0.1464728056004308
m,12,1825,10.867335562987737,0.29816234635511746,0.03861912295647235,0.25001014157640666,0.0018254837531945967,0.41138290535880895,0.17753424657534247,0.016986301369863014,0.0032876712328767125,1822,7.836950473010573,0.21624588364434688
d,1,3001,6.92813969106783,0.34297105217542034,0.028358467672040213,0.25695961171780207,0.00045068469405442886,0.371260183740683,0.13795401532822393,0.007997334221926024,0.0023325558147284237,3012,3.4656616415410384,0.16865869853917662
d,2,2964,5.878530112283089,0.3932252701579385,0.08458021612635079,0.19438902743142145,0.0016209476309226932,0.3261845386533666,0.12887989203778677,0.008434547908232119,0.003711201079622132,2932,4.05360824742268,0.16712141882673942
d,3,2946,5.246243169398907,0.34897073239042153,0.0339821686971946,0.24837791159034683,0.00037343042524389674,0.36829575689679317,0.12423625254582485,0.006109979633401222,0.0050916496945010185,2986,2.8984771573604062,0.1640991292699263
d,4,3008,6.48153122901276,0.3388338414634146,0.045884146341463414,0.25907012195121953,0.00045731707317073173,0.3557545731707317,0.1466090425531915,0.010638297872340425,0.0019946808510638296,2997,4.7286482851378615,0.19152485819152487
d,5,3074,6.298095863427446,0.30844279098018373,0.019550527674436262,0.24041454711107738,0.00011388656897729861,0.43147824766532533,0.13597918022121014,0.009108653220559532,0.002277163305139883,3068,4.844378503132212,0.19002607561929596
d,6,2592,6.979631805718762,0.3245210727969349,0.06624095359727544,0.253980417198808,0.0017028522775649213,0.35355470412941675,0.15007716049382716,0.015432098765432098,0.0015432098765432098,2552,4.133120765245118,0.18142633228840124
d,7,2732,6.825861430159319,0.35992457161597113,0.022628515208657867,0.21771747150938756,0.0025826022792489957,0.39714683938673445,0.13543191800878476,0.012445095168374817,0.0014641288433382138,2775,4.741642441860465,0.18054054054054053
h,0001-0559,709,0.7847919655667145,0.5652892561983471,0.2024793388429752,0.2322314049586777,0.0,0.0,0.0380818053596615,0.01692524682651622,0.0028208744710860366,221,10.164383561643836,0.24434389140271492
h,0600-0659,3071,1.5345167652859961,0.6056786195080162,0.06792314282217599,0.3038795741035369,0.007526618528943826,0.014992045037327132,0.058612829697167045,0.00976880494952784,0.0016281341582546401,603,-4.59234608985025,0.087893864013267
h,0700-0759,2221,3.2369020501138954,0.6092145790554415,0.053901437371663245,0.28041581108829566,0.002181724845995893,0.0542864476386037,0.06978838361098605,0.01170643854119766,0.0027014858171994596,1372,-6.6866666666666665,0.05612244897959184
h,0800-0859,2021,3.278721278721279,0.552820090572252,0.058460271716755864,0.20848085631947302,0.0,0.18023878139151914,0.08609599208312717,0.009896091044037604,0.0019792182088075212,931,-2.7085590465872156,0.09774436090225563
