Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,12300.0,7.708761826408885,0.3423370185244462,0.022677467805874967,0.23030392567240374,0.0004842456028037,0.4041973423944714,0.14040650406504065,0.012113821138211382,0.0027642276422764228,12302,3.070133509147849,0.15802308567712567
m,1,891.0,5.30365296803653,0.35539834933468084,0.04850934815563416,0.2806131042614115,0.0,0.31547919824827353,0.122334455667789,0.017957351290684626,0.002244668911335578,892,0.9749430523917996,0.13901345291479822
m,2,910.0,6.708379888268157,0.3023752670604499,0.022998617569435716,0.20497675003141888,0.0017594570818147543,0.46788990825688076,0.10659340659340659,0.016483516483516484,0.002197802197802198,911,2.4185267857142856,0.13172338090010977
m,3,1081.0,8.362873134328359,0.34914372061786436,0.039539959704499666,0.2656145063801209,0.0,0.3457018132975151,0.14893617021276595,0.008325624421831638,0.0027752081406105457,1081,3.169000933706816,0.17298797409805736
m,4,1043.0,4.059165858389913,0.4003978402955385,0.036516055697641374,0.1845694799658994,0.0,0.37851662404092073,0.10450623202301054,0.011505273250239693,0.0019175455417066154,1042,1.30859375,0.1276391554702495
m,5,1086.0,8.26808905380334,0.38884832998722396,0.006753057127212995,0.2298777149114802,0.0,0.3745208979740829,0.14917127071823205,0.007366482504604052,0.003683241252302026,1086,3.163568773234201,0.14917127071823205
m,6,1042.0,15.2089407191448,0.34597578347578345,0.053300094966761635,0.1629867046533713,0.002670940170940171,0.4350664767331434,0.20825335892514396,0.014395393474088292,0.0028790786948176585,1040,7.857560975609756,0.2144230769230769
m,7,1050.0,14.9677734375,0.22862385321100917,0.025688073394495414,0.2529663608562691,0.0,0.4927217125382263,0.23714285714285716,0.024761904761904763,0.004761904761904762,1051,12.434017595307918,0.263558515699334
m,8,1057.0,9.966248794599807,0.33890197758263724,0.0023559648747055045,0.2855001070893125,0.0,0.37324195045334474,0.1598864711447493,0.01892147587511826,0.004730368968779565,1057,6.462729912875121,0.18637653736991486
m,9,1025.0,4.74853228962818,0.3281232430001125,0.007758911503429664,0.2768469582817947,0.0,0.38727088721466324,0.10048780487804879,0.002926829268292683,0.000975609756097561,1027,-1.827788649706458,0.10710808179162609
m,10,1069.0,4.323308270676692,0.5513905683192262,0.0,0.15638855300282145,0.0,0.29222087867795243,0.09822263797942002,0.004677268475210477,0.0009354536950420954,1069,-2.713345864661654,0.09073900841908325
m,11,1017.0,2.713582677165354,0.3105934553521908,0.008319467554076539,0.26881124052505084,0.0,0.41227583656868183,0.09734513274336283,0.0019665683382497543,0.003933136676499509,1018,-2.566205533596838,0.11493123772102161
m,12,1029.0,7.3837784371909,0.32353912182238365,0.0027511830086937384,0.20028612303290416,0.0,0.4734235721360185,0.14285714285714285,0.01749271137026239,0.001943634596695821,1028,5.934653465346535,0.1916342412451362
d,1,1861.0,7.654872074033751,0.3870878205839902,0.019484845120461863,0.2172199400466304,0.0,0.3762073942489175,0.14508328855454056,0.012896292315959162,0.0016120365394948952,1863,3.3782016348773842,0.16264090177133655
d,2,1810.0,6.43446737311768,0.3040961429560184,0.016799848990121435,0.22041150191908387,0.0,0.4586925061347763,0.13425414364640884,0.009944751381215469,0.0027624309392265192,1810,3.7511160714285716,0.15856353591160222
d,3,1834.0,7.456906077348067,0.3094993789490738,0.00831668196792137,0.24210185235189285,0.0,0.44008208673111193,0.1297709923664122,0.013631406761177753,0.003816793893129771,1833,1.9828444936358605,0.14729950900163666
d,4,1872.0,7.875269978401728,0.28912481434622367,0.007701193685021178,0.2966609824522801,0.0007701193685021178,0.40574289014797293,0.14957264957264957,0.011217948717948718,0.004807692307692308,1870,3.678745267712277,0.16898395721925133
d,5,1909.0,8.178818520489623,0.3224341507720254,0.036116899075706574,0.2386066143078485,0.0,0.40284233584441953,0.15976951283394447,0.01571503404924044,0.0020953378732320588,1912,5.043130990415335,0.17625523012552302
d,6,1291.0,7.692667706708268,0.44632601973199826,0.05315859225445443,0.16948902959799736,0.0033132086585186274,0.32771314975703136,0.11541440743609604,0.006971340046475601,0.0,1299,-0.04043545878693624,0.12933025404157045
d,7,1723.0,8.68918918918919,0.3601415218883667,0.02392142366795163,0.21122669905476052,0.0,0.40471035538892114,0.1404526987811956,0.012768427161926872,0.003482298316889147,1715,2.684054534676941,0.15335276967930028
h,0001-0559,599.0,0.6346801346801347,0.5300691857370942,0.04204364023416711,0.19212346993081425,0.0,0.23576370409792444,0.0333889816360601,0.008347245409015025,0.0,2,-3.5,0.0
h,0600-0659,1815.0,3.3496932515337425,0.6736398213990409,0.017363982139904085,0.2950223251198942,0.0,0.013973871341160906,0.0699724517906336,0.012121212121212121,0.0027548209366391185,289,-3.208480565371025,0.09342560553633218
h,0700-0759,287.0,2.374558303886926,0.8207013574660633,0.0,0.15328054298642535,0.0,0.026018099547511313,0.0627177700348432,0.013937282229965157,0.006968641114982578,281,-3.139784946236559,0.07829181494661921
h,0800-0859,722.0,4.9428172942817294,0.6814085447263017,0.006341789052069426,0.18708277703604806,0.0,0.12516688918558078,0.08725761772853186,0.006925207756232687,0.0013850415512465374,1089,-4.763837638376383,0.06519742883379247
h,0900-0959,863.0,4.368298368298368,0.28025923979681205,0.0,0.23173935890698896,0.0,0.488001401296199,0.10660486674391657,0.005793742757821553,0.0,736,-0.9151846785225718,0.10597826086956522
h,1000-1059,817.0,4.757985257985258,0.4523930323017081,0.02672078471165229,0.18586166074750549,0.0,0.3350245222391341,0.10648714810281518,0.0036719706242350062,0.0024479804161566705,1139,-0.5806737588652482,0.11501316944688324
h,1100-1159,1069.0,6.785714285714286,0.4322245322245322,0.023284823284823286,0.14823284823284824,0.004677754677754678,0.39158004158004156,0.1234798877455566,0.004677268475210477,0.0018709073900841909,323,-0.4559748427672956,0.08978328173374613
h,1200-1259,586.0,5.5568965517241375,0.26182394206834125,0.09119710341706268,0.30979859696763973,0.0,0.3371803575469563,0.12286689419795221,0.011945392491467578,0.0034129692832764505,701,-1.033236994219653,0.12696148359486448
h,1300-1359,429.0,8.009411764705883,0.374693148850703,0.06404820352599866,0.3160008926578889,0.0,0.2452577549654095,0.1282051282051282,0.009324009324009324,0.0,876,0.8135788262370541,0.15753424657534246
h,1400-1459,997.0,8.102330293819655,0.25798212005108556,0.0037331761469692505,0.3271441202475685,0.0,0.41114058355437666,0.16649949849548645,0.011033099297893681,0.003009027081243731,897,5.400681044267877,0.189520624303233
h,1500-1559,460.0,10.076252723311546,0.23416331014280484,0.008238740388136214,0.18473086781398754,0.0,0.5728670816550714,0.19130434782608696,0.002173913043478261,0.002173913043478261,1020,0.9150849150849151,0.13529411764705881
h,1600-1659,1144.0,16.236559139784948,0.3309025058731402,0.018891934220830072,0.22195575567736883,0.0006851996867658575,0.42756460454189504,0.22115384615384615,0.025349650349650348,0.005244755244755245,564,5.198924731182796,0.19326241134751773
h,1700-1759,506.0,11.568548387096774,0.16743494423791822,0.060817843866171006,0.2374721189591078,0.0,0.534275092936803,0.19367588932806323,0.021739130434782608,0.001976284584980237,554,6.430909090909091,0.20397111913357402
h,1800-1859,1346.0,12.437216338880484,0.14129965457685664,0.01829663212435233,0.25377806563039723,0.0,0.5866256476683938,0.2199108469539376,0.017830609212481426,0.005200594353640416,770,9.444152431011826,0.22727272727272727
h,1900-1959,588.0,11.082901554404145,0.19746835443037974,0.023259493670886075,0.1254746835443038,0.0,0.6537974683544304,0.21768707482993196,0.015306122448979591,0.003401360544217687,859,8.215384615384615,0.2270081490104773
h,2000-2059,71.0,34.343283582089555,0.0457290767903365,0.0,0.060396893874029335,0.0,0.8938740293356342,0.4507042253521127,0.056338028169014086,0.0,1210,10.061276595744681,0.23388429752066114
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405,5.5139240506329115,0.15555555555555556
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,8.097122302158274,0.18928571428571428
h,2300-2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307,10.50328947368421,0.19543973941368079
