Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,3412.0,0.7372003551346552,0.3667725173210162,0.04662240184757506,0.2084295612009238,0.0,0.378175519630485,0.0668229777256741,0.00996483001172333,0.0020515826494724504,3410.0,-0.7763274992583803,0.1281524926686217
m,1,283.0,-0.6737588652482269,0.5347776510832383,0.0,0.2314709236031927,0.0,0.233751425313569,0.05653710247349823,0.0035335689045936395,0.0035335689045936395,281.0,-6.935714285714286,0.10676156583629894
m,2,268.0,-1.2803030303030303,0.0976,0.1512,0.1648,0.0,0.5864,0.05970149253731343,0.014925373134328358,0.0,269.0,-4.928571428571429,0.07806691449814127
m,3,302.0,-2.8859060402684564,0.05053449951409135,0.0184645286686103,0.34791059280855197,0.0,0.5830903790087464,0.052980132450331126,0.013245033112582781,0.0,302.0,-1.8484848484848484,0.1291390728476821
m,4,249.0,-1.8979591836734695,0.7390326209223848,0.0,0.21597300337457817,0.0,0.04499437570303712,0.04417670682730924,0.01606425702811245,0.004016064257028112,248.0,-7.135802469135802,0.06854838709677419
m,5,247.0,-0.9634146341463414,0.46366782006920415,0.0,0.1972318339100346,0.0,0.3391003460207612,0.05668016194331984,0.004048582995951417,0.004048582995951417,246.0,-2.7387755102040816,0.1016260162601626
m,6,298.0,-0.7830508474576271,0.37595258255715497,0.0,0.14733276883996613,0.0,0.47671464860287893,0.06711409395973154,0.010067114093959731,0.006711409395973154,298.0,3.0371621621621623,0.14093959731543623
m,7,337.0,2.0755287009063443,0.11520252498684903,0.0,0.3976854287217254,0.0,0.48711204629142557,0.08011869436201781,0.020771513353115726,0.002967359050445104,338.0,4.693939393939394,0.16272189349112426
m,8,320.0,0.9142857142857143,0.5716041794714198,0.0,0.16779348494161034,0.0,0.2606023355869699,0.078125,0.015625,0.003125,320.0,3.2285714285714286,0.171875
m,9,243.0,1.962962962962963,0.4252531268612269,0.2608695652173913,0.06253722453841572,0.0,0.25134008338296604,0.06995884773662552,0.0,0.0,244.0,-0.9711934156378601,0.0942622950819672
m,10,288.0,-3.40625,0.13984962406015036,0.0,0.3548872180451128,0.0,0.5052631578947369,0.027777777777777776,0.0,0.0,288.0,-3.1909722222222223,0.08680555555555555
m,11,277.0,-2.0836363636363635,0.10827374872318693,0.0,0.2390194075587334,0.0,0.6527068437180796,0.02888086642599278,0.007220216606498195,0.0,276.0,-8.117216117216117,0.08333333333333333
m,12,300.0,16.545454545454547,0.4213365298172011,0.048396763560083905,0.17440815103386276,0.0,0.35585855558885227,0.16666666666666666,0.01,0.0,300.0,11.850847457627118,0.2733333333333333
d,1,503.0,2.161290322580645,0.43861740166865315,0.0,0.14958283671036948,0.0,0.41179976162097737,0.0775347912524851,0.013916500994035786,0.003976143141153081,503.0,-0.08634538152610442,0.13717693836978131
d,2,507.0,0.12698412698412698,0.3146598763186613,0.06875227355401964,0.1851582393597672,0.0,0.4314296107675518,0.07297830374753451,0.005917159763313609,0.0039447731755424065,492.0,0.1492842535787321,0.13211382113821138
d,3,490.0,-0.7157676348547718,0.15550122249388754,0.009290953545232274,0.38092909535452324,0.0,0.454278728606357,0.05918367346938776,0.018367346938775512,0.0,497.0,-3.427402862985685,0.096579476861167
d,4,499.0,2.4484848484848483,0.35923535253227407,0.13406156901688182,0.18470705064548162,0.0,0.32199602780536246,0.07014028056112225,0.008016032064128256,0.002004008016032064,502.0,1.9148073022312373,0.1593625498007968
d,5,510.0,0.4970414201183432,0.1789344009855251,0.031413612565445025,0.29534955343393904,0.0,0.49430243301509086,0.06862745098039216,0.0058823529411764705,0.0,513.0,0.17288801571709234,0.14230019493177387
d,6,423.0,-2.7475961538461537,0.2380538662033015,0.0,0.2728062554300608,0.0,0.4891398783666377,0.05673758865248227,0.016548463356973995,0.004728132387706856,432.0,-2.4444444444444446,0.1087962962962963
d,7,480.0,2.8789144050104385,0.6335551330798479,0.028279467680608364,0.12476235741444867,0.0,0.21340304182509506,0.06041666666666667,0.0020833333333333333,0.0,471.0,-2.0617021276595744,0.11677282377919321
h,0001-0559,375.0,0.42276422764227645,0.7702895111532986,0.0,0.22971048884670148,0.0,0.0,0.021333333333333333,0.016,0.0026666666666666666,3.0,0.6666666666666666,0.3333333333333333
h,0600-0659,663.0,0.9649390243902439,0.521832884097035,0.12048517520215633,0.27735849056603773,0.0,0.0803234501347709,0.03167420814479638,0.010558069381598794,0.0,0.0,0.0,0.0
h,0700-0759,271.0,-5.689138576779026,0.3604368932038835,0.0,0.6395631067961165,0.0,0.0,0.033210332103321034,0.014760147601476014,0.0,126.0,-4.217741935483871,0.12698412698412698
h,0800-0859,17.0,-2.7058823529411766,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,113.0,1.3513513513513513,0.1592920353982301
h,0900-0959,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,89.0,1.1264367816091954,0.12359550561797752
h,1000-1059,323.0,1.167192429022082,0.160081053698075,0.0,0.19807497467071936,0.0,0.6418439716312057,0.11455108359133127,0.018575851393188854,0.0,78.0,-7.3076923076923075,0.038461538461538464
h,1100-1159,20.0,4.2,0.0,0.5776699029126213,0.2621359223300971,0.0,0.16019417475728157,0.1,0.0,0.0,992.0,-2.6082995951417005,0.09173387096774194
h,1200-1259,6.0,-1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-18.25,0.0
h,1300-1359,952.0,2.644584647739222,0.27557937884281886,0.045877345104839984,0.11209206999842346,0.0,0.5664512060539177,0.09138655462184873,0.0021008403361344537,0.0021008403361344537,3.0,-1.3333333333333333,0.0
h,1400-1459,104.0,-4.310679611650485,0.08421052631578947,0.0,0.5649122807017544,0.0,0.3508771929824561,0.0673076923076923,0.009615384615384616,0.009615384615384616,0.0,0.0,0.0
h,1500-1559,7.0,-6.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,-0.3783359497645212,0.11782945736434108
h,1700-1759,600.0,1.4239864864864864,0.30625,0.02258064516129032,0.19536290322580646,0.0,0.47580645161290325,0.08,0.013333333333333334,0.005,86.0,-2.0697674418604652,0.12790697674418605
h,1900-1959,62.0,-2.8548387096774195,0.14285714285714285,0.0,0.026785714285714284,0.0,0.8303571428571429,0.08064516129032258,0.0,0.0,254.0,-5.51792828685259,0.1062992125984252
h,2100-2159,4.0,12.25,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,159.0,-2.611464968152866,0.1320754716981132
h,1800-1859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.857142857142857,0.25
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,5.594674556213017,0.20402298850574713
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,2.470464135021097,0.175
