Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,51667.0,8.962619383121966,0.2759397359573031,0.04946925466016798,0.18956612262159686,0.0006640296842318784,0.48436085707670024,0.16859891226508217,0.011264443455203514,0.002148373236301701,51676,3.3725924763660613,0.16444771267125938
m,1,3898.0,6.290270704904851,0.24639005666240177,0.22415158715652228,0.20465484676780601,0.0,0.32480350941326996,0.11903540277065161,0.04284248332478194,0.0012827090815802976,3903,-0.23293172690763053,0.13041250320266462
m,2,3658.0,5.378918169209431,0.2867871136264693,0.04309969525468002,0.25645769844725,0.00043535045711797995,0.41322014221448267,0.1180973209404046,0.014762165117550574,0.002186987424822307,3658,-1.1174505983857501,0.12329141607435758
m,3,4207.0,6.406937799043062,0.27288070823514426,0.04964651932997898,0.20345837844723266,0.0026749888542131075,0.471339405133431,0.13643926788685523,0.0066555740432612314,0.0035654860946042312,4206,2.1289782244556115,0.15406562054208273
m,4,4054.0,7.055127886764341,0.2907904718555606,0.040236686390532544,0.1824609315733576,0.0,0.48651191018054923,0.15071534287123828,0.006660088801184016,0.0029600394671928957,4052,1.6378539493293591,0.15078973346495558
m,5,4272.0,9.375528417097229,0.23240863671301795,0.04502364148789975,0.17916288169939207,0.002189457992686279,0.5412153821070039,0.17673220973782772,0.0035112359550561797,0.0028089887640449437,4276,3.59496352082843,0.1627689429373246
m,6,4631.0,14.337247227658187,0.2666788188115202,0.026780289221047516,0.15272208044719893,0.0008354599586827075,0.5529833515615507,0.2517814726840855,0.007557762902180954,0.0023752969121140144,4633,10.346684175968484,0.24390243902439024
m,7,4623.0,18.199292973928415,0.2654268909993733,0.04078484307959312,0.12732005977920263,0.0003615677577978113,0.5661066383840332,0.2736318407960199,0.021847285312567598,0.0025957170668397143,4621,13.992232578783844,0.2581692274399481
m,8,4593.0,11.804486474598637,0.2911995898838004,0.04090909090909091,0.1660287081339713,0.0,0.5018626110731373,0.20313520574787722,0.010232963204876986,0.0032658393207054214,4592,6.16158267020336,0.19729965156794424
m,9,4423.0,5.600090579710145,0.3012832098319176,0.018796313030905475,0.20419904813542986,0.0,0.4757214290017471,0.1268369884693647,0.0015826362197603437,0.0011304544426859599,4421,0.07819582955575703,0.12395385659353088
m,10,4598.0,4.861390467861828,0.3471268163804491,0.0238110964332893,0.2082892998678996,0.0,0.42077278731836193,0.11091779034362767,0.005219660722053067,0.0008699434536755111,4601,-2.2811473615064592,0.09758748098239513
m,11,4350.0,5.733947065592635,0.30899149060083475,0.05700973889410166,0.25799980586922056,0.0,0.37599896463584304,0.13080459770114944,0.0011494252873563218,0.0016091954022988506,4353,-1.9532688766114181,0.11601194578451643
m,12,4360.0,10.755363805970148,0.25181466019782617,0.034581969987588855,0.25924254390913537,0.0013539433600361051,0.4530068825454135,0.19977064220183485,0.01651376146788991,0.0011467889908256881,4360,6.1732835123773935,0.19541284403669726
d,1,7695.0,8.671168218172284,0.3265851277322775,0.03473992515051256,0.17818788306123556,0.0008000216955036069,0.4596870423604708,0.16231319038336584,0.008836907082521118,0.001949317738791423,7697,2.87212813443613,0.1577237884890217
d,2,7670.0,7.0726484498160795,0.2897565671445866,0.033313399746211406,0.20373098408716325,0.000787619783842126,0.4724114292381966,0.1514993481095176,0.007953063885267276,0.002346805736636245,7662,2.2711685571089424,0.1489167319237797
d,3,7772.0,8.683738463538281,0.2739945299403839,0.07121160560113939,0.19390983224310257,0.0010587212160169395,0.4598253109993572,0.1649511065362841,0.010164693772516727,0.002058672156459084,7781,2.371223958333333,0.15743477702094846
d,4,7722.0,10.611951983298539,0.23473611000262237,0.02476427195092752,0.19776072605379275,0.0006726943117425063,0.5420661976809149,0.1936026936026936,0.007899507899507899,0.002072002072002072,7729,5.557010079853384,0.1865700608099366
d,5,7875.0,10.65639963763427,0.23548083178178067,0.06971892595168129,0.17914264564032392,0.0009309316045671729,0.514726665021647,0.18692063492063493,0.019174603174603174,0.002285714285714286,7876,5.057784703285288,0.18308786185881157
d,6,5903.0,8.152658662092625,0.31928216022809863,0.05316710460110695,0.15583011870818658,0.00014908406477702615,0.47157153239783084,0.15602236151109605,0.012705404031848213,0.001694053870913095,5863,2.7036203014030833,0.15401671499232475
d,7,7030.0,8.638340774881176,0.28115810259834356,0.058444971658308593,0.21150431163074826,0.0,0.4488926141125996,0.16073968705547653,0.012375533428165006,0.0025604551920341396,7068,2.5220188733199884,0.1600169779286927
h,0001-0559,1534.0,3.3,0.6563098052459755,0.1259709557581898,0.21603062028593945,0.0016886187098953055,0.0,0.05997392438070404,0.01564537157757497,0.001303780964797914,584,-5.878521126760563,0.046232876712328765
h,0600-0659,4644.0,4.0891844744875705,0.5987763548570915,0.1333713223165282,0.23336232492577152,0.0012596347059352787,0.03323036319467355,0.07795004306632214,0.012489233419465978,0.0012919896640826874,3770,-6.224588837961715,0.05092838196286472
h,0700-0759,3931.0,2.959403905447071,0.42836579551077325,0.1279294678601952,0.24690747154873824,0.0014844136566056407,0.19531285142368765,0.0801322818621216,0.010175527855507505,0.0025438819638768763,4433,-3.8302447952413634,0.07421610647417098
h,0800-0859,4154.0,5.084873540856031,0.5656226179751923,0.08973737093756497,0.1353336567112466,0.001039429006998822,0.2082669253689973,0.08281174771304767,0.010110736639383727,0.0019258545979778526,2997,-2.2835016835016835,0.08241574908241575
h,0900-0959,3399.0,3.684727597499256,0.40494225087295194,0.07467096427612141,0.19419822723609992,0.0,0.32618855761482674,0.08267137393350986,0.012062371285672257,0.00176522506619594,2840,-1.0580071174377224,0.12077464788732395
h,1000-1059,3645.0,4.269740474875759,0.3449530741237311,0.03466768818234055,0.1868416012258188,0.0,0.43353763646810956,0.10864197530864197,0.006584362139917695,0.0008230452674897119,3189,0.2739116619002224,0.12543116964565695
h,1100-1159,1817.0,7.08153078202995,0.27355996803344196,0.0052253027601893405,0.22856089014569372,0.0,0.492653839060675,0.13924050632911392,0.008805723720418272,0.00275178866263071,2778,-0.9643765903307888,0.1285097192224622
