Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,545.0,17.26078799249531,0.4776545698924731,0.0,0.1508736559139785,0.0,0.3714717741935484,0.1908256880733945,0.022018348623853212,0.007339449541284404,548.0,14.445714285714285,0.1989051094890511
m,1,85.0,2.097560975609756,0.43673469387755104,0.0,0.1346938775510204,0.0,0.42857142857142855,0.15294117647058825,0.03529411764705882,0.0,85.0,2.8292682926829267,0.12941176470588237
m,2,64.0,8.32258064516129,0.4509043927648579,0.0,0.07881136950904392,0.0,0.4702842377260982,0.15625,0.03125,0.0,65.0,3.193548387096774,0.1076923076923077
m,3,62.0,28.816666666666666,0.3130434782608696,0.0,0.11256038647342995,0.0,0.5743961352657004,0.1935483870967742,0.03225806451612903,0.0,64.0,17.29824561403509,0.1875
m,4,59.0,24.864406779661017,0.4282744282744283,0.0,0.21205821205821207,0.0,0.3596673596673597,0.2033898305084746,0.0,0.0,60.0,16.8,0.21666666666666667
m,5,62.0,18.64516129032258,0.44,0.0,0.21396825396825397,0.0,0.346031746031746,0.22580645161290322,0.0,0.03225806451612903,62.0,26.39344262295082,0.25806451612903225
m,6,60.0,8.155172413793103,0.33781763826606875,0.0,0.3452914798206278,0.0,0.31689088191330345,0.13333333333333333,0.03333333333333333,0.016666666666666666,60.0,24.57894736842105,0.23333333333333334
m,7,62.0,26.20967741935484,0.5808785529715762,0.0,0.12661498708010335,0.0,0.2925064599483204,0.27419354838709675,0.0,0.0,62.0,13.639344262295081,0.24193548387096775
m,8,45.0,26.651162790697676,0.5566188197767146,0.0,0.1339712918660287,0.0,0.3094098883572568,0.24444444444444444,0.044444444444444446,0.022222222222222223,44.0,22.55,0.22727272727272727
m,12,45.0,20.90909090909091,0.7502061005770816,0.0,0.038746908491343775,0.0,0.2110469909315746,0.15555555555555556,0.022222222222222223,0.0,44.0,9.651162790697674,0.25
d,1,79.0,28.658227848101266,0.49230769230769234,0.0,0.136996336996337,0.0,0.3706959706959707,0.21518987341772153,0.0,0.0,80.0,13.093333333333334,0.2125
d,2,73.0,10.5,0.4276206322795341,0.0,0.19051580698835274,0.0,0.38186356073211314,0.1232876712328767,0.0410958904109589,0.0,72.0,21.166666666666668,0.19444444444444445
d,3,79.0,7.6923076923076925,0.4506769825918762,0.0,0.16924564796905223,0.0,0.38007736943907156,0.1518987341772152,0.012658227848101266,0.0,79.0,7.076923076923077,0.21518987341772153
d,4,78.0,21.571428571428573,0.3482905982905983,0.0,0.11645299145299146,0.0,0.5352564102564102,0.2564102564102564,0.01282051282051282,0.01282051282051282,80.0,32.97260273972603,0.2625
d,5,80.0,18.30263157894737,0.5099697885196375,0.0,0.1190332326283988,0.0,0.37099697885196375,0.25,0.05,0.025,81.0,14.116883116883116,0.2345679012345679
d,6,76.0,9.85135135135135,0.5726698262243286,0.0,0.23617693522906794,0.0,0.1911532385466035,0.14473684210526316,0.02631578947368421,0.0,76.0,4.47945205479452,0.10526315789473684
d,7,80.0,23.037974683544302,0.531934731934732,0.0,0.14172494172494174,0.0,0.32634032634032634,0.1875,0.0125,0.0125,80.0,9.155844155844155,0.1625
h,0600-0659,244.0,9.736401673640167,0.7692307692307693,0.0,0.23076923076923078,0.0,0.0,0.09836065573770492,0.020491803278688523,0.004098360655737705,0.0,0.0,0.0
h,0800-0859,5.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
h,1100-1159,125.0,22.065040650406505,0.1277591973244147,0.0,0.09732441471571907,0.0,0.7749163879598662,0.28,0.016,0.0,0.0,0.0,0.0
h,1400-1459,118.0,24.094017094017094,0.3053777208706786,0.0,0.15396927016645326,0.0,0.5406530089628682,0.2966101694915254,0.00847457627118644,0.025423728813559324,7.0,-6.0,0.0
h,1600-1659,7.0,22.833333333333332,0.8633540372670807,0.0,0.09937888198757763,0.0,0.037267080745341616,0.14285714285714285,0.14285714285714285,0.0,52.0,7.26530612244898,0.17307692307692307
h,1800-1859,46.0,28.068181818181817,0.6803584764749814,0.0,0.01344286781179985,0.0,0.3061986557132188,0.1956521739130435,0.043478260869565216,0.0,6.0,-0.5,0.0
m,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
h,0900-0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,8.717948717948717,0.21951219512195122
h,1000-1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,20.82716049382716,0.2261904761904762
h,1200-1259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,17.46551724137931,0.2627118644067797
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,14.544642857142858,0.1752136752136752
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-11.0,0.0
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
