Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,640.0,5.88375796178344,0.46544387380777696,0.1574468085106383,0.16170212765957448,0.0010271460014673515,0.21438004402054292,0.0765625,0.01875,0.0,640.0,-4.22488038277512,0.078125
m,1,52.0,35.80769230769231,0.47302158273381295,0.2931654676258993,0.11151079136690648,0.0,0.1223021582733813,0.15384615384615385,0.0,0.0,52.0,1.8461538461538463,0.1346153846153846
m,2,50.0,5.425531914893617,0.6140776699029126,0.0,0.0,0.0,0.3859223300970874,0.1,0.06,0.0,50.0,6.333333333333333,0.1
m,3,54.0,-2.7547169811320753,0.0,0.0,0.49743589743589745,0.0,0.5025641025641026,0.05555555555555555,0.018518518518518517,0.0,54.0,-3.5849056603773586,0.07407407407407407
m,4,51.0,-4.450980392156863,0.0,0.0,1.0,0.0,0.0,0.0392156862745098,0.0,0.0,51.0,-9.588235294117647,0.0392156862745098
m,5,53.0,-4.377358490566038,0.0,0.0,0.576271186440678,0.0,0.423728813559322,0.03773584905660377,0.0,0.0,53.0,-10.132075471698114,0.05660377358490566
m,6,52.0,2.2115384615384617,0.1782178217821782,0.009900990099009901,0.1716171617161716,0.0,0.6402640264026402,0.09615384615384616,0.0,0.0,52.0,-1.9607843137254901,0.15384615384615385
m,7,62.0,7.161290322580645,0.057096247960848286,0.5252854812398042,0.17455138662316477,0.0,0.24306688417618272,0.0967741935483871,0.0,0.0,62.0,-6.725806451612903,0.08064516129032258
m,8,58.0,11.362068965517242,0.7203495630461922,0.0,0.08114856429463171,0.0,0.19850187265917604,0.13793103448275862,0.0,0.0,58.0,-9.293103448275861,0.06896551724137931
m,9,52.0,3.4423076923076925,0.04859335038363171,0.1918158567774936,0.010230179028132993,0.0,0.7493606138107417,0.057692307692307696,0.0,0.0,52.0,-4.823529411764706,0.038461538461538464
m,10,52.0,-4.096153846153846,0.0,0.0,0.9310344827586207,0.0,0.06896551724137931,0.019230769230769232,0.0,0.0,52.0,-11.961538461538462,0.0
m,11,51.0,2.142857142857143,0.6884875846501128,0.0,0.30248306997742663,0.0,0.009029345372460496,0.0196078431372549,0.0392156862745098,0.0,51.0,10.26530612244898,0.09803921568627451
m,12,53.0,19.02127659574468,0.700479233226837,0.016773162939297124,0.19408945686900958,0.005591054313099041,0.08306709265175719,0.09433962264150944,0.11320754716981132,0.0,53.0,-8.76595744680851,0.09433962264150944
d,1,104.0,9.362745098039216,0.5175943698016635,0.20793346129238643,0.14651311580294304,0.0,0.12795905310300704,0.09615384615384616,0.019230769230769232,0.0,104.0,-9.617647058823529,0.04807692307692308
d,2,104.0,7.99,0.4227467811158798,0.0536480686695279,0.1988555078683834,0.0,0.32474964234620884,0.07692307692307693,0.038461538461538464,0.0,104.0,-2.69,0.10576923076923077
d,3,104.0,-2.4158415841584158,0.005376344086021506,0.0,0.5349462365591398,0.01881720430107527,0.44086021505376344,0.057692307692307696,0.028846153846153848,0.0,104.0,2.235294117647059,0.08653846153846154
d,4,103.0,4.29126213592233,0.6017997750281214,0.0,0.12373453318335208,0.0,0.2744656917885264,0.07766990291262135,0.0,0.0,103.0,-7.29126213592233,0.05825242718446602
d,5,106.0,-0.780952380952381,0.08695652173913043,0.0,0.44045368620037806,0.0,0.4725897920604915,0.04716981132075472,0.009433962264150943,0.0,106.0,0.42718446601941745,0.07547169811320754
d,6,60.0,5.830508474576271,0.7268993839835729,0.0,0.0,0.0,0.2731006160164271,0.1,0.016666666666666666,0.0,60.0,-10.576271186440678,0.1
d,7,59.0,25.53448275862069,0.5294863665187064,0.42675967025998734,0.033608116677235254,0.0,0.010145846544071021,0.1016949152542373,0.01694915254237288,0.0,59.0,-5.103448275862069,0.0847457627118644
h,0001-0559,80.0,9.075,0.6201298701298701,0.35173160173160173,0.02813852813852814,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
h,0600-0659,20.0,-4.4,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
h,0700-0759,266.0,9.471042471042471,0.6989725076367675,0.20772007775617884,0.09136351013607331,0.0019439044709802832,0.0,0.05263157894736842,0.02631578947368421,0.0,0.0,0.0,0.0
h,1500-1559,259.0,2.6015625,0.03580786026200873,0.0,0.3262008733624454,0.0,0.6379912663755458,0.11196911196911197,0.011583011583011582,0.0,3.0,-14.333333333333334,0.0
h,1600-1659,10.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.0,-6.5,0.0
h,1700-1759,5.0,-5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,1400-1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,-3.4679245283018867,0.1037037037037037
h,1900-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,-17.34285714285714,0.027777777777777776
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-13.416666666666666,0.08333333333333333
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,-5.110294117647059,0.036231884057971016
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,-1.2126436781609196,0.08379888268156424
