Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,940.0,-4.891921397379913,0.13425811245974734,0.033192965073074066,0.06712905622987367,0.02378003467921724,0.7416398315580877,0.07659574468085106,0.026595744680851064,0.005319148936170213,940.0,-5.629955947136564,0.07127659574468086
m,1,80.0,-7.379746835443038,0.5233644859813084,0.12149532710280374,0.18691588785046728,0.0,0.16822429906542055,0.0875,0.025,0.0125,80.0,-8.975,0.075
m,2,75.0,-3.782608695652174,0.22741433021806853,0.0,0.040498442367601244,0.0,0.7320872274143302,0.12,0.08,0.013333333333333334,75.0,-5.544117647058823,0.09333333333333334
m,3,79.0,-4.256756756756757,0.5288753799392097,0.0060790273556231,0.0911854103343465,0.0,0.3738601823708207,0.08860759493670886,0.06329113924050633,0.0,79.0,-6.027027027027027,0.06329113924050633
m,4,78.0,-6.32051282051282,0.027624309392265192,0.0,0.0718232044198895,0.0,0.9005524861878453,0.02564102564102564,0.0,0.0,78.0,-1.1688311688311688,0.05128205128205128
m,5,80.0,-5.417721518987341,0.002364066193853428,0.037825059101654845,0.004728132387706856,0.0,0.9550827423167849,0.05,0.0125,0.025,80.0,-6.935897435897436,0.025
m,6,76.0,-1.0,0.08705882352941176,0.0,0.02823529411764706,0.0,0.8847058823529412,0.07894736842105263,0.013157894736842105,0.013157894736842105,76.0,-6.3561643835616435,0.07894736842105263
m,7,80.0,-3.35,0.0,0.0,0.012626262626262626,0.03787878787878788,0.9494949494949495,0.075,0.0,0.0,80.0,-8.103896103896103,0.075
m,8,80.0,-6.658227848101266,0.0,0.0,0.012,0.0,0.988,0.05,0.0125,0.0,80.0,-5.9113924050632916,0.075
m,9,77.0,-8.342465753424657,0.0,0.0,0.0125,0.375,0.6125,0.05194805194805195,0.05194805194805195,0.0,77.0,-6.972602739726027,0.05194805194805195
m,10,80.0,-8.415584415584416,0.0,0.0,0.18478260869565216,0.0,0.8152173913043478,0.025,0.0375,0.0,80.0,-6.8311688311688314,0.05
m,11,76.0,-6.631578947368421,0.09941520467836257,0.11695906432748537,0.13450292397660818,0.0,0.6491228070175439,0.10526315789473684,0.0,0.0,76.0,-7.546666666666667,0.06578947368421052
m,12,79.0,2.9740259740259742,0.1396957123098202,0.06915629322268327,0.1037344398340249,0.029045643153526972,0.6583679114799447,0.16455696202531644,0.02531645569620253,0.0,79.0,2.8051948051948052,0.1518987341772152
d,1,156.0,-7.705882352941177,0.1962864721485411,0.03713527851458886,0.034482758620689655,0.0,0.7320954907161804,0.05128205128205128,0.019230769230769232,0.01282051282051282,156.0,-4.980263157894737,0.07692307692307693
d,2,156.0,-9.532467532467532,0.5592592592592592,0.1037037037037037,0.04814814814814815,0.0,0.28888888888888886,0.038461538461538464,0.01282051282051282,0.0,156.0,-9.162337662337663,0.03205128205128205
d,3,104.0,-5.563106796116505,0.036057692307692304,0.038461538461538464,0.08653846153846154,0.036057692307692304,0.8028846153846154,0.07692307692307693,0.009615384615384616,0.0,104.0,-3.9611650485436893,0.08653846153846154
d,4,103.0,-3.633663366336634,0.20434782608695654,0.004347826086956522,0.15434782608695652,0.02608695652173913,0.6108695652173913,0.06796116504854369,0.019417475728155338,0.0,103.0,-5.821782178217822,0.07766990291262135
d,5,159.0,-0.6883116883116883,0.07537688442211055,0.02613065326633166,0.0864321608040201,0.06030150753768844,0.7517587939698492,0.10062893081761007,0.031446540880503145,0.006289308176100629,159.0,-4.625,0.07547169811320754
d,6,159.0,-3.8456375838926173,0.08132147395171538,0.0025412960609911056,0.052096569250317665,0.011435832274459974,0.8526048284625158,0.11320754716981132,0.06918238993710692,0.006289308176100629,159.0,-2.142857142857143,0.11320754716981132
d,7,103.0,-2.107843137254902,0.0942622950819672,0.06284153005464481,0.015027322404371584,0.0,0.8278688524590164,0.08737864077669903,0.009708737864077669,0.009708737864077669,103.0,-9.393939393939394,0.02912621359223301
h,1100-1159,229.0,-4.169642857142857,0.023809523809523808,0.015873015873015872,0.07539682539682539,0.0744047619047619,0.810515873015873,0.06550218340611354,0.021834061135371178,0.0,0.0,0.0,0.0
h,1200-1259,137.0,-5.969924812030075,0.44036697247706424,0.06972477064220184,0.1963302752293578,0.022018348623853212,0.27155963302752295,0.0948905109489051,0.029197080291970802,0.0072992700729927005,0.0,0.0,0.0
h,1800-1859,208.0,-3.8186274509803924,0.05169753086419753,0.0030864197530864196,0.033179012345679014,0.0,0.9120370370370371,0.0625,0.019230769230769232,0.0,0.0,0.0,0.0
h,1900-1959,156.0,-7.827814569536423,0.28362573099415206,0.13450292397660818,0.023391812865497075,0.0,0.5584795321637427,0.057692307692307696,0.03205128205128205,0.0,0.0,0.0,0.0
h,2000-2059,210.0,-3.8823529411764706,0.1347517730496454,0.03546099290780142,0.04373522458628842,0.010638297872340425,0.7754137115839244,0.10476190476190476,0.03333333333333333,0.01904761904761905,0.0,0.0,0.0
h,1000-1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,-4.7733711048158645,0.07103825136612021
h,1700-1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.0,-6.174774774774775,0.07142857142857142
