Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,677.0,3.1982116244411327,0.6660863509749304,0.07137883008356546,0.052750696378830085,0.0,0.2097841225626741,0.06499261447562776,0.008862629246676515,0.0029542097488921715,678.0,-1.8411497730711044,0.05752212389380531
m,1,58.0,-0.2807017543859649,0.0,0.7336448598130841,0.19158878504672897,0.0,0.07476635514018691,0.06896551724137931,0.017241379310344827,0.0,58.0,14.824561403508772,0.13793103448275862
m,2,54.0,-3.537037037037037,0.0,0.0,0.5042016806722689,0.0,0.4957983193277311,0.037037037037037035,0.0,0.0,54.0,-3.7222222222222223,0.05555555555555555
m,3,58.0,2.0350877192982457,0.543046357615894,0.0,0.10596026490066225,0.0,0.3509933774834437,0.08620689655172414,0.017241379310344827,0.0,58.0,-4.236363636363636,0.05172413793103448
m,4,55.0,-3.4909090909090907,0.0,0.0,0.05223880597014925,0.0,0.9477611940298507,0.05454545454545454,0.0,0.0,55.0,-7.944444444444445,0.05454545454545454
m,5,58.0,19.482142857142858,0.9008438818565401,0.0,0.0,0.0,0.09915611814345991,0.034482758620689655,0.034482758620689655,0.0,58.0,-7.0,0.017241379310344827
m,6,56.0,-6.428571428571429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,-10.696428571428571,0.017857142857142856
m,7,57.0,14.070175438596491,0.8396584440227703,0.03510436432637571,0.0009487666034155598,0.0,0.12428842504743833,0.12280701754385964,0.0,0.0,57.0,8.859649122807017,0.05263157894736842
m,8,58.0,2.0,0.5873925501432665,0.11461318051575932,0.0,0.0,0.2979942693409742,0.08620689655172414,0.0,0.0,58.0,-10.892857142857142,0.05172413793103448
m,9,56.0,-7.767857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,-15.071428571428571,0.017857142857142856
m,10,57.0,-2.824561403508772,0.8652849740932642,0.0,0.13471502590673576,0.0,0.0,0.03508771929824561,0.0,0.0,57.0,-17.660714285714285,0.03508771929824561
m,11,55.0,0.2909090909090909,0.44025157232704404,0.07547169811320754,0.11949685534591195,0.0,0.36477987421383645,0.07272727272727272,0.0,0.01818181818181818,55.0,-5.444444444444445,0.05454545454545454
m,12,55.0,25.660377358490567,0.6203576341127923,0.10453920220082531,0.033012379642365884,0.0,0.24209078404401652,0.18181818181818182,0.03636363636363636,0.01818181818181818,56.0,38.65384615384615,0.14285714285714285
d,1,104.0,2.3689320388349513,0.7024390243902439,0.07439024390243902,0.08170731707317073,0.0,0.14146341463414633,0.08653846153846154,0.009615384615384616,0.0,104.0,-3.712871287128713,0.07692307692307693
d,2,104.0,2.650485436893204,0.5133239831697055,0.0,0.04908835904628331,0.0,0.4375876577840112,0.07692307692307693,0.009615384615384616,0.0,104.0,-7.1683168316831685,0.04807692307692308
d,3,104.0,-3.6153846153846154,0.4222222222222222,0.2962962962962963,0.0,0.0,0.2814814814814815,0.038461538461538464,0.0,0.0,104.0,-10.155339805825243,0.028846153846153848
d,4,102.0,2.525252525252525,0.6710013003901171,0.0,0.10663198959687907,0.0,0.2223667100130039,0.058823529411764705,0.029411764705882353,0.00980392156862745,103.0,-3.520408163265306,0.07766990291262135
d,5,106.0,2.8773584905660377,0.4226579520697168,0.07734204793028322,0.049019607843137254,0.0,0.45098039215686275,0.0660377358490566,0.0,0.0,106.0,-1.7428571428571429,0.0660377358490566
d,6,54.0,1.3703703703703705,0.7304582210242587,0.2183288409703504,0.05121293800539083,0.0,0.0,0.05555555555555555,0.0,0.0,54.0,25.566037735849058,0.07407407407407407
d,7,103.0,13.490196078431373,0.8186323092170465,0.0777998017839445,0.027254707631318136,0.0,0.07631318136769079,0.06796116504854369,0.009708737864077669,0.009708737864077669,103.0,1.01,0.038834951456310676
h,0600-0659,355.0,0.34560906515580736,0.8471790315415371,0.07818747223456242,0.07463349622390049,0.0,0.0,0.03943661971830986,0.005633802816901409,0.0028169014084507044,0.0,0.0,0.0
h,0700-0759,11.0,9.9,0.0,1.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0
h,1200-1259,36.0,-1.8285714285714285,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.027777777777777776,0.0,105.0,-9.161904761904761,0.047619047619047616
h,1300-1359,170.0,10.089285714285714,0.5562913907284768,0.0,0.048841059602649006,0.0,0.39486754966887416,0.09411764705882353,0.011764705882352941,0.0058823529411764705,0.0,0.0,0.0
h,1400-1459,105.0,2.8,0.6360619469026548,0.08517699115044247,0.018805309734513276,0.0,0.25995575221238937,0.08571428571428572,0.0,0.0,0.0,0.0,0.0
h,1100-1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,1.745,0.10144927536231885
h,1700-1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,71.05,0.12195121951219512
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,-22.91304347826087,0.0
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,-12.34871794871795,0.015
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,-5.214285714285714,0.049019607843137254
