Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,96218,8.961723853618317,0.3478538064773205,0.06232262634759701,0.22624244570871982,0.0025501959134881457,0.3610309255528745,0.17731609470161508,0.01710698621879482,0.001974682491841443,96211,1.90674634709728,0.1483510201536207
m,1,7181,6.486870229007634,0.43799401707323005,0.017754213585621518,0.18707590534328866,0.002188875647542379,0.3549869883503174,0.1497005988023952,0.08787077008773152,0.001392563709789723,7174,-1.0518031784841075,0.11611374407582939
m,2,6685,7.564094681832155,0.3170994682114727,0.09080608907000969,0.2228577694121087,0.0016264322654922243,0.36761024104091666,0.1537771129394166,0.02692595362752431,0.0005983545250560958,6685,-0.5291396854764108,0.12131637995512341
m,3,7839,7.424471492632928,0.3950348930328338,0.024629414744962164,0.2709562488763953,0.000359553499926455,0.3090198898458823,0.17425692052557723,0.004337287919377471,0.0021686439596887356,7838,1.2021044527139741,0.1454452666496555
m,4,7871,7.0701172870984195,0.3829925459891951,0.03220953292757984,0.22271421732886548,0.010599740135403131,0.35148396361895645,0.16884766865709566,0.0035573624698259435,0.0019057298945496124,7869,0.7063329928498467,0.13597661710509595
m,5,8347,7.484331852563333,0.35164077580659986,0.06325642675491007,0.2081226828446242,0.0041364095964702636,0.3728437049973956,0.16616748532406853,0.0023960704444710673,0.002036659877800407,8349,1.3400312838406931,0.1372619475386274
m,6,8583,14.24477434679335,0.29785263830126923,0.0836992097070328,0.21856789335036322,0.0009100343258561508,0.39897022431547857,0.2425725270884306,0.020505650704881744,0.0033787719911452874,8583,8.025169986878206,0.20389141325876733
m,7,8851,20.21520018621974,0.31799131995207053,0.08573410616719125,0.19739942553447654,0.004168028299020198,0.39470712004724146,0.2816630889165066,0.029827138176477235,0.003502429104056039,8852,11.549912229373902,0.23915499322187075
m,8,8345,11.93627569528416,0.31261343457829316,0.05537079004424562,0.2566932532791791,9.810558122651598e-05,0.3752244165170557,0.20515278609946075,0.009346914319952068,0.0019173157579388856,8345,6.375257731958763,0.19221090473337327
m,9,7833,4.7997442455242965,0.3055410560128488,0.051314996988556516,0.32320819112627985,0.004497088937964264,0.3154386669343505,0.124473381846036,0.0019149751053236309,0.00165964509128048,7835,-1.107997440818938,0.11831525207402681
m,10,8226,3.070744288872513,0.4474072901830458,0.020942132193912538,0.2956163949992087,0.0008440154032811098,0.23519016722055178,0.09786044249939217,0.010211524434719184,0.0012156576707999028,8226,-4.95036855036855,0.08193532701191344
m,11,8132,4.0360659773510585,0.48887178880075766,0.012519237599147626,0.14194388540310168,0.0005919261276192731,0.3560731620693737,0.1262911952779144,0.000983767830791933,0.0014756517461878996,8128,-2.4086313193588165,0.10863681102362205
m,12,8325,11.303048780487805,0.3621211055629791,0.08269619121296455,0.2134367496207288,0.0008640350436538636,0.3408819185596737,0.21405405405405406,0.015375375375375375,0.0019219219219219219,8327,1.7358375137648354,0.15828029302269725
d,1,14136,8.698459545061906,0.3427127758205081,0.04314234501514309,0.227192657148155,0.0007571543358674825,0.38619506768032635,0.17374080362195812,0.017543859649122806,0.0020514997170345216,14132,2.0533304467056364,0.1485281630342485
d,2,14071,7.831520564719441,0.36695766513261374,0.06686029576984213,0.22811061825384277,0.0010985261440900126,0.33697289469961134,0.1638831639542321,0.01392935825456613,0.001563499395920688,14066,0.481387967104314,0.13237594198777194
d,3,14179,8.53827546955037,0.34631012847325965,0.06806095010457126,0.2129743053480729,0.00028383627128772035,0.37237077980280847,0.16538542915579377,0.008745327597150717,0.002186331899287679,14201,1.558934548821309,0.1442856136891768
d,4,14187,10.238975310403882,0.322995219003643,0.06324519120715252,0.24229383179526087,0.0006082526145051898,0.37085750537943846,0.1912314090364418,0.012476210615352083,0.0024670472968210335,14183,3.7910939289805268,0.1698512303461891
d,5,14418,8.86712695505143,0.3515030579060008,0.03913205736525031,0.22938483918384756,0.0023686395174372997,0.377611406027464,0.18976279650436953,0.01581356637536413,0.0022194479123318076,14414,2.429320484659534,0.15346191202997087
d,6,12127,11.085293115201091,0.33931033426269186,0.12435276816078925,0.21324948681025765,0.007445081038021998,0.31564232972823925,0.1917209532448256,0.03290178939556362,0.002061515626288447,12116,1.6510932695592757,0.14229118520964015
d,7,13100,7.700397598815,0.37649071126526346,0.024069938708604553,0.22869767662849813,0.006271677673777736,0.36446999572385613,0.166412213740458,0.020916030534351145,0.0012213740458015267,13099,1.2759588400374182,0.14642339109855715
h,0001-0559,823,1.1065675340768277,0.86075,0.0,0.13925,0.0,0.0,0.04860267314702309,0.02187120291616039,0.0036452004860267314,5307,-7.335777692010806,0.04578858111927643
h,0600-0659,7004,1.4201888162672476,0.5317141710156563,0.0778134617957982,0.34591194968553457,0.0016057808109193096,0.04295463669209153,0.06467732724157624,0.01770416904625928,0.0018560822387207311,7173,-6.943176987388409,0.04489056182908128
h,0700-0759,6096,2.4291181364392678,0.5544466985144951,0.07653294941430534,0.2867286172370918,0.0,0.08229173483410772,0.07168635170603675,0.014271653543307087,0.0022965879265091863,7066,-4.494742906524557,0.06962921030285876
h,0800-0859,9029,3.027993254637437,0.5188418039326106,0.06614576000750856,0.28189966680745226,0.005209066591581022,0.12790370266084752,0.08816037213423414,0.01484106767083841,0.0013290508361944843,5784,-3.775946704067321,0.0845435684647303
h,0900-0959,5466,4.092410465763592,0.5010274105377428,0.06265265769782499,0.18539913930136084,0.0075989609583995655,0.24332183150467182,0.10812294182217344,0.014087083790706183,0.0007317965605561653,4985,-2.962291072156543,0.09247743229689068
h,1000-1059,5990,2.752117926126737,0.4531548042039122,0.029584470957848674,0.2245203276358604,0.010210569622620338,0.28252982757975836,0.08914858096828046,0.014858096828046745,0.001335559265442404,4831,-2.349926793557833,0.09335541295797971
h,1100-1159,4598,6.467561029250055,0.41364802167084525,0.025128958819630558,0.24226967522549783,0.0030546670124780265,0.31589867727154836,0.13136146150500216,0.011309264897781644,0.0015224010439321444,5167,-0.8846153846153846,0.09754209405844784
h,1200-1259,4570,6.796243093922652,0.37318628598174586,0.06128598174584601,0.2292300491457992,0.001842967470161479,0.33445471565644747,0.1422319474835886,0.010065645514223195,0.0024070021881838076,5557,0.29510591672753833,0.12812668706136404
h,1300-1359,5441,8.415876556980852,0.3769922265166978,0.0970382594345768,0.26329960481174275,0.00041255916967038696,0.26225735006731227,0.1690865649696747,0.011762543650064326,0.0023892666789193163,6799,2.268533772652389,0.15340491248713045
h,1400-1459,4947,10.165267253737456,0.39771690466591697,0.07116637314604596,0.2582486367204906,0.0008275159668144879,0.272040569500732,0.21366484738225186,0.013139276329088337,0.002021427127552052,4997,6.893790849673203,0.19971983189913947
h,1500-1559,5472,11.438462966400595,0.33614538073641814,0.12444895499666994,0.25186324569471313,0.0001110018711743998,0.2874314167010244,0.20833333333333334,0.015716374269005847,0.0029239766081871343,4820,7.42563123276045,0.1950207468879668
h,1600-1659,5944,12.816427595628415,0.3498010839883007,0.07557422270276265,0.2056528187854341,0.0003465435743890437,0.36862533094911354,0.22678331090174966,0.015309555854643338,0.0037012113055181696,4502,5.970186618115612,0.19635717458907154
h,1700-1759,6009,15.43257472826087,0.23759275576173844,0.07315364281998747,0.2949500525483285,0.0007218760284079449,0.3935816728415376,0.2617740056581794,0.020635713097021134,0.003328340822100183,8071,6.820408681304734,0.2075331433527444
h,1800-1859,4686,18.831333187868207,0.2542076224035608,0.06338093471810088,0.3153166728486647,6.954747774480712e-05,0.36702522255192876,0.29492104139991465,0.02283397353819889,0.002774221084080239,6374,8.34766445773396,0.21587700031377471
h,1900-1959,5872,15.016742239274503,0.2560377468398672,0.04509815343391391,0.20079221762684218,0.0017009378458670706,0.49637094425350964,0.25357629427792916,0.023841961852861037,0.0011920980926430518,4367,9.15820404325341,0.25120219830547286
h,2000-2059,6204,13.45845035519577,0.2705621711437275,0.04714430773694136,0.14347694214767048,0.011446506046339887,0.5273700729253208,0.256608639587363,0.024661508704061894,0.0012894906511927789,4913,13.600496791554544,0.2874007734581722
h,2100-2159,2941,20.615169521146452,0.3142174676411743,0.023600506308439836,0.0689845249275244,0.004246457882487445,0.5889510432403741,0.37606256375382524,0.027201632097925876,0.0017001020061203672,2573,7.969805323798172,0.2479595802565099
h,2200-2259,4940,12.416183774834437,0.3439290231381594,0.025370136150584033,0.07735659549140689,0.00018599806562011754,0.5531582471542296,0.2653846153846154,0.02206477732793522,0.0008097165991902834,2114,2.443432406519655,0.17407757805108798
h,2300-2359,186,9.897849462365592,0.29401408450704225,0.0,0.02523474178403756,0.0,0.6807511737089202,0.20430107526881722,0.0,0.0,811,3.8045112781954886,0.20715166461159062
