Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,724.0,-9.062586926286508,0.29523809523809524,0.047619047619047616,0.12016806722689076,0.042296918767507005,0.4946778711484594,0.09116022099447514,0.006906077348066298,0.012430939226519336,725.0,-6.545710267229254,0.0703448275862069
m,1,60.0,-15.898305084745763,0.13149847094801223,0.0,0.024464831804281346,0.0,0.8440366972477065,0.05,0.016666666666666666,0.0,60.0,-13.491228070175438,0.03333333333333333
m,2,58.0,-20.137931034482758,1.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,58.0,-17.810344827586206,0.017241379310344827
m,3,62.0,-9.612903225806452,0.0,0.01910828025477707,0.03184713375796178,0.0,0.9490445859872612,0.08064516129032258,0.0,0.0,62.0,-6.661290322580645,0.0967741935483871
m,4,60.0,-6.85,0.22847682119205298,0.0,0.006622516556291391,0.0,0.7649006622516556,0.08333333333333333,0.0,0.0,60.0,-1.45,0.06666666666666667
m,5,61.0,-5.409836065573771,0.15625,0.15625,0.05803571428571429,0.08928571428571429,0.5401785714285714,0.09836065573770492,0.0,0.0,61.0,-3.466666666666667,0.08196721311475409
m,6,60.0,-6.466666666666667,0.046762589928057555,0.07194244604316546,0.38848920863309355,0.07913669064748201,0.4136690647482014,0.11666666666666667,0.0,0.0,60.0,-2.593220338983051,0.1
m,7,61.0,-3.442622950819672,0.25380710659898476,0.0,0.1446700507614213,0.0,0.6015228426395939,0.13114754098360656,0.0,0.03278688524590164,62.0,-1.0333333333333334,0.0967741935483871
m,8,62.0,4.933333333333334,0.30942334739803096,0.15330520393811534,0.17862165963431786,0.0970464135021097,0.2616033755274262,0.24193548387096775,0.03225806451612903,0.04838709677419355,62.0,-0.25862068965517243,0.14516129032258066
m,9,60.0,-2.0166666666666666,0.7214076246334311,0.0,0.18181818181818182,0.0967741935483871,0.0,0.06666666666666667,0.0,0.0,60.0,-7.333333333333333,0.0
m,10,62.0,-12.016129032258064,0.41964285714285715,0.0,0.07589285714285714,0.03125,0.4732142857142857,0.08064516129032258,0.0,0.0,62.0,-5.806451612903226,0.08064516129032258
m,11,58.0,-17.403508771929825,0.21153846153846154,0.0,0.09134615384615384,0.0,0.6971153846153846,0.06896551724137931,0.017241379310344827,0.0,58.0,-8.228070175438596,0.08620689655172414
m,12,60.0,-15.474576271186441,0.05,0.0,0.1,0.0,0.85,0.05,0.016666666666666666,0.06666666666666667,60.0,-11.120689655172415,0.03333333333333333
d,1,103.0,-11.128712871287128,0.49174917491749176,0.0,0.009900990099009901,0.0,0.49834983498349833,0.06796116504854369,0.019417475728155338,0.009708737864077669,103.0,-9.88,0.019417475728155338
d,2,104.0,-12.538461538461538,0.05802047781569966,0.0,0.14334470989761092,0.0,0.7986348122866894,0.057692307692307696,0.0,0.009615384615384616,104.0,-7.480769230769231,0.0673076923076923
d,3,103.0,-12.0,0.045307443365695796,0.0,0.18446601941747573,0.0,0.7702265372168284,0.05825242718446602,0.019417475728155338,0.0,104.0,-5.237623762376238,0.08653846153846154
d,4,102.0,-8.663366336633663,0.12734864300626306,0.30062630480167013,0.1837160751565762,0.020876826722338204,0.3674321503131524,0.09803921568627451,0.00980392156862745,0.0196078431372549,102.0,-4.91,0.09803921568627451
d,5,104.0,-8.817307692307692,0.49220103986135183,0.0,0.058925476603119586,0.012131715771230503,0.43674176776429807,0.07692307692307693,0.0,0.028846153846153848,104.0,-6.310679611650485,0.0673076923076923
d,6,106.0,-3.30188679245283,0.34917555771096026,0.019398642095053348,0.1066925315227934,0.02230843840931135,0.5024248302618817,0.12264150943396226,0.0,0.009433962264150943,106.0,-4.446601941747573,0.08490566037735849
d,7,102.0,-7.196078431372549,0.29238754325259514,0.010380622837370242,0.1643598615916955,0.19204152249134948,0.3408304498269896,0.1568627450980392,0.0,0.00980392156862745,102.0,-7.6,0.06862745098039216
h,1300-1359,363.0,-7.515320334261839,0.39797713280562885,0.0,0.08443271767810026,0.051890941072999124,0.4656992084432718,0.11570247933884298,0.011019283746556474,0.0027548209366391185,0.0,0.0,0.0
h,1600-1659,251.0,-13.736,0.17147435897435898,0.06570512820512821,0.09935897435897435,0.052884615384615384,0.6105769230769231,0.043824701195219126,0.00398406374501992,0.01593625498007968,0.0,0.0,0.0
h,1700-1759,110.0,-3.4909090909090907,0.0625,0.19196428571428573,0.2604166666666667,0.0,0.4851190476190476,0.11818181818181818,0.0,0.03636363636363636,0.0,0.0,0.0
h,1100-1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,-10.085470085470085,0.07162534435261708
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,-3.0944444444444446,0.06906077348066299
