Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,ArrDelay,15minArrDelay
y,2016,108819,4.872908157149838,0.36469566493491806,0.05616374586960523,0.25818651160720624,0.00103688395921269,0.3199171936290578,0.12141262095773717,0.0036390703829294515,0.0033266249460112665,0.7605797513995636,0.1409310846995819
m,1,33,53.0,0.668671679197995,0.0,0.055639097744360905,0.0,0.2756892230576441,0.24242424242424243,0.0,0.0,13.151515151515152,0.21212121212121213
m,2,29,7.896551724137931,0.0029411764705882353,0.0,0.07352941176470588,0.0,0.9235294117647059,0.10344827586206896,0.0,0.0,10.96551724137931,0.13793103448275862
m,3,64,7.4603174603174605,0.5934314835787089,0.10079275198187995,0.1347678369195923,0.0,0.1710079275198188,0.15625,0.015625,0.0,-6.112903225806452,0.09230769230769231
m,4,60,-3.7457627118644066,0.476,0.0,0.0,0.0,0.524,0.05,0.016666666666666666,0.0,-8.293103448275861,0.04918032786885246
m,5,88,-4.011363636363637,0.5697674418604651,0.0,0.43023255813953487,0.0,0.0,0.011363636363636364,0.0,0.0,-10.965909090909092,0.011235955056179775
m,6,120,-1.5666666666666667,0.16785714285714284,0.0,0.11964285714285715,0.0,0.7125,0.05,0.0,0.0,-5.243697478991597,0.06722689075630252
m,7,120,5.932773109243698,0.3502919099249375,0.2535446205170976,0.13678065054211844,0.0025020850708924102,0.25688073394495414,0.175,0.008333333333333333,0.0,-7.4033613445378155,0.06611570247933884
m,8,118,9.991525423728813,0.7745222929936306,0.10828025477707007,0.03949044585987261,0.008280254777070064,0.06942675159235669,0.15254237288135594,0.0,0.0,-11.153846153846153,0.05982905982905983
m,9,106,-0.9428571428571428,0.3759894459102902,0.044854881266490766,0.026385224274406333,0.0,0.5527704485488126,0.05660377358490566,0.009433962264150943,0.009433962264150943,-13.403846153846153,0.018867924528301886
m,10,64,0.1875,0.3012345679012346,0.0,0.0,0.0,0.6987654320987654,0.0625,0.0,0.0,-16.26984126984127,0.03125
m,11,58,3.6724137931034484,0.6114754098360655,0.0,0.08524590163934426,0.0,0.30327868852459017,0.05172413793103448,0.0,0.0,-9.333333333333334,0.05172413793103448
m,12,61,11.892857142857142,0.41509433962264153,0.25527192008879024,0.18201997780244172,0.0,0.14761376248612654,0.22950819672131148,0.08196721311475409,0.01639344262295082,8.714285714285714,0.13114754098360656
d,1,127,12.008064516129032,0.6284771334276285,0.08675153229608674,0.06789250353606789,0.0,0.21687883074021688,0.16535433070866143,0.023622047244094488,0.0,-6.105263157894737,0.09322033898305085
d,2,117,0.5555555555555556,0.3697478991596639,0.11764705882352941,0.21008403361344538,0.005042016806722689,0.29747899159663865,0.09401709401709402,0.0,0.008547008547008548,-11.282051282051283,0.05
d,3,121,3.625,0.5820224719101124,0.15955056179775282,0.07640449438202247,0.0,0.18202247191011237,0.10743801652892562,0.008264462809917356,0.0,-10.77310924369748,0.025
d,4,119,5.151260504201681,0.35183673469387755,0.037551020408163265,0.13551020408163264,0.010612244897959184,0.46448979591836737,0.09243697478991597,0.0,0.008403361344537815,-4.543103448275862,0.09322033898305085
d,5,119,2.8448275862068964,0.1219195849546044,0.09727626459143969,0.027237354085603113,0.0,0.7535667963683528,0.09243697478991597,0.025210084033613446,0.0,-9.102564102564102,0.05
d,6,162,1.8395061728395061,0.6023544800523217,0.06474820143884892,0.06409417920209287,0.0,0.26880313930673644,0.09876543209876543,0.0,0.0,-9.589285714285714,0.023529411764705882
d,7,156,7.357142857142857,0.5746084089035449,0.08697444352844189,0.0820280296784831,0.0,0.2563891178895301,0.08974358974358974,0.01282051282051282,0.0,1.0064935064935066,0.11464968152866242
h,0600-0659,298,0.41156462585034015,0.7215521761929733,0.16727844782380702,0.11116937598321971,0.0,0.0,0.053691275167785234,0.013422818791946308,0.003355704697986577,-7.90625,0.0
h,0700-0759,61,17.1864406779661,0.7858687815428983,0.14635904830569574,0.06777217015140591,0.0,0.0,0.08196721311475409,0.03278688524590164,0.0,-1.196765498652291,0.088
h,0800-0859,4,15.25,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-5.176470588235294,0.05714285714285714
h,1100-1159,32,-10.78125,0.22857142857142856,0.0,0.7714285714285715,0.0,0.0,0.03125,0.0,0.0,-3.8278688524590163,0.08196721311475409
h,1200-1259,348,8.127536231884058,0.3870214752567694,0.028944911297852476,0.0795985060690943,0.003034547152194211,0.5014005602240896,0.13505747126436782,0.008620689655172414,0.0,-8.9,0.047619047619047616
h,1300-1359,26,13.423076923076923,0.08229426433915212,0.08728179551122195,0.007481296758104738,0.0,0.8229426433915212,0.23076923076923078,0.0,0.0,-1.0,0.16666666666666666
h,1500-1559,34,16.264705882352942,0.7903030303030303,0.0,0.04242424242424243,0.0,0.16727272727272727,0.20588235294117646,0.0,0.0,15.277777777777779,0.15
h,1800-1859,103,-1.6990291262135921,0.055900621118012424,0.3022774327122153,0.22567287784679088,0.006211180124223602,0.40993788819875776,0.1262135922330097,0.0,0.009708737864077669,-16.473684210526315,0.034482758620689655
h,1900-1959,15,-1.2666666666666666,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,-16.90650406504065,0.027559055118110236
