Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,2552.0,12.024819855884708,0.29835054806070826,0.047928962900505905,0.22178014333895446,0.0,0.43194034569983136,0.17907523510971787,0.021551724137931036,0.00274294670846395,2552.0,5.213882163034706,0.1688871473354232
m,1,196.0,9.924324324324324,0.24692826000792706,0.08640507332540626,0.24653190646056283,0.0,0.42013476020610385,0.17346938775510204,0.05612244897959184,0.0,196.0,3.1758241758241756,0.16326530612244897
m,2,181.0,12.977777777777778,0.2447171097477846,0.01874573960463531,0.19222903885480572,0.0,0.5443081117927744,0.19889502762430938,0.0055248618784530384,0.0,181.0,10.474576271186441,0.2154696132596685
m,3,205.0,5.069306930693069,0.20800889877641823,0.01946607341490545,0.31090100111234703,0.0,0.46162402669632924,0.14146341463414633,0.014634146341463415,0.00975609756097561,205.0,3.03,0.16097560975609757
m,4,222.0,7.0181818181818185,0.18637274549098196,0.010420841683366733,0.27575150300601203,0.0,0.5274549098196393,0.14864864864864866,0.009009009009009009,0.0,222.0,3.9541284403669725,0.12612612612612611
m,5,236.0,8.775862068965518,0.4625047582794062,0.0015226494099733537,0.14807765511990864,0.0,0.38789493719071183,0.1652542372881356,0.01694915254237288,0.0,236.0,3.727272727272727,0.16101694915254236
m,6,236.0,20.408695652173915,0.3743532889874353,0.03233555062823355,0.18107908351810792,0.0,0.4122320768662232,0.2457627118644068,0.025423728813559324,0.0,236.0,6.307017543859649,0.2033898305084746
m,7,231.0,25.245535714285715,0.2019117893677679,0.08619822237128962,0.18011068254234447,0.0,0.531779305718598,0.26406926406926406,0.030303030303030304,0.008658008658008658,232.0,14.199095022624434,0.25
m,8,228.0,14.598173515981735,0.13532904502721424,0.0,0.4955467590301831,0.0,0.36912419594260265,0.19736842105263158,0.039473684210526314,0.0043859649122807015,227.0,8.055299539170507,0.2026431718061674
m,9,213.0,13.265402843601896,0.46905444126074497,0.0,0.12607449856733524,0.0,0.40487106017191976,0.1784037558685446,0.009389671361502348,0.004694835680751174,213.0,2.665071770334928,0.1643192488262911
m,10,219.0,6.853211009174312,0.41097612065354,0.16129032258064516,0.165060745705907,0.0,0.2626728110599078,0.1187214611872146,0.0045662100456621,0.0,220.0,-2.7247706422018347,0.09090909090909091
m,11,202.0,11.532338308457712,0.326915363016446,0.1632571199358203,0.1415964701163257,0.0,0.36823104693140796,0.1782178217821782,0.009900990099009901,0.0049504950495049506,202.0,1.285,0.13366336633663367
m,12,183.0,6.278409090909091,0.4015659955257271,0.0,0.19630872483221476,0.0,0.4021252796420582,0.12021857923497267,0.03825136612021858,0.0,182.0,9.124293785310735,0.14835164835164835
d,1,382.0,13.136729222520108,0.40375977374812844,0.051073032773249046,0.12560306105473298,0.0,0.4195641324238895,0.15968586387434555,0.02356020942408377,0.002617801047120419,383.0,6.213903743315508,0.16449086161879894
d,2,386.0,16.721485411140584,0.2869426360397985,0.008352782213487286,0.2869426360397985,0.0,0.4177619457069156,0.19689119170984457,0.023316062176165803,0.0051813471502590676,385.0,7.520325203252033,0.2025974025974026
d,3,409.0,12.14179104477612,0.23325276243093923,0.07458563535911603,0.29454419889502764,0.0,0.39761740331491713,0.18581907090464547,0.019559902200488997,0.0024449877750611247,410.0,4.755667506297229,0.16829268292682928
d,4,385.0,15.77807486631016,0.37162639536526776,0.0771513353115727,0.1831284442560407,0.0,0.36809382506711885,0.22597402597402597,0.02857142857142857,0.0025974025974025974,384.0,6.231182795698925,0.20052083333333334
d,5,391.0,10.337696335078535,0.25297319088893366,0.007659746018947792,0.24470872807901634,0.0,0.4946583350131022,0.1969309462915601,0.023017902813299233,0.0,391.0,4.480211081794195,0.1585677749360614
d,6,244.0,7.2217573221757325,0.11275272161741835,0.15513219284603422,0.14968895800933127,0.0,0.5824261275272161,0.13524590163934427,0.020491803278688523,0.0,244.0,4.5738396624472575,0.14344262295081966
d,7,355.0,6.772079772079772,0.3042966450853443,0.008534432018834609,0.21336080047086523,0.0,0.47380812242495585,0.1323943661971831,0.011267605633802818,0.005633802816901409,355.0,2.38,0.1323943661971831
h,0001-0559,35.0,23.17142857142857,0.7604166666666666,0.059375,0.18020833333333333,0.0,0.0,0.17142857142857143,0.0,0.0,0.0,0.0,0.0
h,0600-0659,506.0,5.656626506024097,0.4532520325203252,0.21504065040650405,0.2548780487804878,0.0,0.07682926829268293,0.08102766798418973,0.015810276679841896,0.001976284584980237,0.0,0.0,0.0
h,0700-0759,174.0,6.783625730994152,0.5769439912996194,0.15932572050027188,0.26373028820010874,0.0,0.0,0.08045977011494253,0.017241379310344827,0.0,0.0,0.0,0.0
h,0800-0859,2.0,364.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,8.0,-0.375,0.125
h,1100-1159,373.0,11.962264150943396,0.2365082370763113,0.0,0.09089187653853437,0.0,0.6725998863851543,0.16353887399463807,0.005361930294906166,0.0,12.0,2.5454545454545454,0.16666666666666666
