Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,84.0,-3.3855421686746987,0.5426944971537002,0.026565464895635674,0.08159392789373814,0.06261859582542695,0.286527514231499,0.10714285714285714,0.011904761904761904,0.0,84.0,-3.380952380952381,0.07142857142857142
m,6,26.0,-6.96,0.19469026548672566,0.0,0.22123893805309736,0.17699115044247787,0.40707964601769914,0.11538461538461539,0.038461538461538464,0.0,26.0,2.8846153846153846,0.11538461538461539
m,7,31.0,1.1290322580645162,0.8470149253731343,0.05223880597014925,0.05223880597014925,0.048507462686567165,0.0,0.0967741935483871,0.0,0.0,31.0,-8.03225806451613,0.03225806451612903
m,8,27.0,-5.2592592592592595,0.2534246575342466,0.0,0.0273972602739726,0.0,0.7191780821917808,0.1111111111111111,0.0,0.0,27.0,-4.074074074074074,0.07407407407407407
d,1,12.0,-4.166666666666667,0.0,0.0,0.08108108108108109,0.0,0.918918918918919,0.08333333333333333,0.0,0.0,12.0,1.6666666666666667,0.08333333333333333
d,2,12.0,-14.916666666666666,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,0.0,12.0,-3.3333333333333335,0.08333333333333333
d,3,12.0,3.272727272727273,0.7533333333333333,0.0,0.11333333333333333,0.13333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0,12.0,-3.6666666666666665,0.08333333333333333
d,4,12.0,-3.0,0.21739130434782608,0.0,0.010869565217391304,0.0,0.7717391304347826,0.16666666666666666,0.0,0.0,12.0,1.3333333333333333,0.16666666666666666
d,5,12.0,6.416666666666667,0.7733333333333333,0.09333333333333334,0.13333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,12.0,-5.25,0.08333333333333333
d,6,12.0,-4.916666666666667,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,12.0,-8.416666666666666,0.0
d,7,12.0,-5.833333333333333,0.0,0.0,0.13333333333333333,0.8666666666666667,0.0,0.0,0.0,0.0,12.0,-6.0,0.0
h,1600-1659,84.0,-3.3855421686746987,0.5426944971537002,0.026565464895635674,0.08159392789373814,0.06261859582542695,0.286527514231499,0.10714285714285714,0.011904761904761904,0.0,0.0,0.0,0.0
h,1300-1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,-3.380952380952381,0.07142857142857142
