Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,2478.0,10.021576763485477,0.2510017495343981,0.09252779502229246,0.22334781872566173,0.00033861956092330267,0.43278401715672443,0.13196125907990314,0.02824858757062147,0.0012106537530266344,2479.0,3.9896179401993357,0.1553045582896329
m,1,173.0,14.16470588235294,0.48789267015706805,0.0,0.131217277486911,0.0,0.38089005235602097,0.1907514450867052,0.017341040462427744,0.0,173.0,6.982248520710059,0.21965317919075145
m,2,192.0,6.823529411764706,0.038493723849372385,0.4405857740585774,0.3158995815899582,0.0,0.20502092050209206,0.08854166666666667,0.03125,0.0,193.0,0.2925531914893617,0.15544041450777202
m,3,234.0,10.782608695652174,0.18962238522140723,0.02961151860907362,0.262972018473241,0.0,0.5177940776962782,0.1282051282051282,0.017094017094017096,0.0,234.0,5.6943231441048034,0.18803418803418803
m,4,202.0,1.4554455445544554,0.4147997284453496,0.0,0.296673455532926,0.0,0.28852681602172436,0.06930693069306931,0.0,0.0,202.0,-0.24257425742574257,0.12871287128712872
m,5,232.0,4.193965517241379,0.21665174574753804,0.3008057296329454,0.18710832587287377,0.0,0.2954341987466428,0.08189655172413793,0.0,0.0,232.0,-0.683982683982684,0.07758620689655173
m,6,174.0,13.0875,0.25349198137609935,0.2772891877909984,0.1883083290222452,0.0,0.280910501810657,0.13218390804597702,0.08620689655172414,0.0,173.0,2.92258064516129,0.12716763005780346
m,7,235.0,19.591304347826085,0.31139419674451524,0.026185421089879687,0.20205237084217975,0.0021231422505307855,0.4582448690728945,0.19148936170212766,0.02127659574468085,0.0,235.0,11.935344827586206,0.2
m,8,230.0,16.441964285714285,0.2470384995064166,0.0,0.28899308983218164,0.0,0.46396841066140176,0.21739130434782608,0.02608695652173913,0.004347826086956522,230.0,6.876106194690266,0.23478260869565218
m,9,173.0,9.863905325443787,0.2024899304284145,0.03698279018674478,0.18930794580739657,0.0,0.5712193335774441,0.11560693641618497,0.023121387283236993,0.0,174.0,4.4397590361445785,0.09770114942528736
m,10,261.0,2.4163424124513617,0.3833973128598848,0.0,0.19961612284069097,0.0,0.4169865642994242,0.07279693486590039,0.01532567049808429,0.0,262.0,-5.517374517374518,0.09541984732824428
m,11,180.0,1.0,0.3598014888337469,0.004962779156327543,0.293631100082713,0.0,0.3416046319272126,0.06111111111111111,0.044444444444444446,0.011111111111111112,179.0,-2.5838150289017343,0.0670391061452514
m,12,192.0,22.47457627118644,0.09730932632004856,0.13230831478858993,0.19643940926562817,0.0,0.5739429496257333,0.23958333333333334,0.078125,0.0,192.0,20.43820224719101,0.2708333333333333
