Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,627.0,10.51294498381877,0.24392136575271597,0.036989136057941026,0.04953440248318676,0.0,0.6695550957061562,0.1371610845295056,0.014354066985645933,0.001594896331738437,626.0,3.280327868852459,0.14536741214057508
m,1,52.0,10.607843137254902,0.2534435261707989,0.049586776859504134,0.081267217630854,0.0,0.6157024793388429,0.11538461538461539,0.019230769230769232,0.0,52.0,2.3137254901960786,0.15384615384615385
m,2,50.0,15.48,0.6036655211912944,0.0,0.014891179839633447,0.0,0.38144329896907214,0.08,0.0,0.02,50.0,3.12,0.18
m,3,56.0,4.2727272727272725,0.03389830508474576,0.1059322033898305,0.22245762711864406,0.0,0.6377118644067796,0.125,0.017857142857142856,0.0,54.0,-0.49019607843137253,0.12962962962962962
m,4,51.0,2.176470588235294,0.0,0.0,0.14507772020725387,0.0,0.8549222797927462,0.058823529411764705,0.0,0.0,51.0,0.8235294117647058,0.09803921568627451
m,5,53.0,-3.7169811320754715,0.4418604651162791,0.0,0.5581395348837209,0.0,0.0,0.018867924528301886,0.0,0.0,53.0,-9.132075471698114,0.0
m,6,52.0,26.29787234042553,0.72473604826546,0.15082956259426847,0.0,0.0,0.1244343891402715,0.07692307692307693,0.09615384615384616,0.0,53.0,-0.8297872340425532,0.07547169811320754
m,7,52.0,9.196078431372548,0.13653136531365315,0.0,0.0,0.0,0.8634686346863468,0.09615384615384616,0.019230769230769232,0.0,52.0,7.019607843137255,0.09615384615384616
m,8,54.0,16.849056603773583,0.02466091245376079,0.0,0.0,0.0,0.9753390875462392,0.24074074074074073,0.018518518518518517,0.0,54.0,14.346153846153847,0.2037037037037037
m,9,52.0,4.903846153846154,0.02631578947368421,0.0,0.005263157894736842,0.0,0.968421052631579,0.15384615384615385,0.0,0.0,52.0,-0.25,0.1346153846153846
m,10,52.0,1.8461538461538463,0.078125,0.0,0.16796875,0.0,0.75390625,0.09615384615384616,0.0,0.0,52.0,-6.215686274509804,0.09615384615384616
m,11,50.0,10.88,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,50.0,4.612244897959184,0.22
m,12,53.0,29.056603773584907,0.038274182324286705,0.0,0.05636743215031315,0.0,0.9053583855254002,0.37735849056603776,0.0,0.0,53.0,23.71153846153846,0.3584905660377358
d,1,104.0,13.411764705882353,0.035003431708991076,0.13726835964310227,0.03431708991077557,0.0,0.7934111187371311,0.18269230769230768,0.019230769230769232,0.0,104.0,4.9,0.19230769230769232
d,2,104.0,7.701923076923077,0.21302998965873837,0.03722854188210962,0.06101344364012409,0.0,0.688728024819028,0.125,0.0,0.0,104.0,-1.0294117647058822,0.10576923076923077
d,3,106.0,8.865384615384615,0.004108463434675432,0.041084634346754315,0.06984387838948233,0.0,0.8849630238290879,0.14150943396226415,0.018867924528301886,0.0,104.0,7.450980392156863,0.19230769230769232
d,4,103.0,10.86,0.7432327919566899,0.0,0.07269914926527456,0.0,0.1840680587780356,0.07766990291262135,0.02912621359223301,0.0,104.0,-1.45,0.09615384615384616
d,5,105.0,11.528846153846153,0.3622715404699739,0.0,0.03524804177545692,0.0,0.6024804177545692,0.12380952380952381,0.009523809523809525,0.009523809523809525,105.0,3.6601941747572817,0.11428571428571428
d,6,53.0,5.528301886792453,0.06623931623931624,0.0,0.05982905982905983,0.0,0.8739316239316239,0.1509433962264151,0.0,0.0,53.0,1.8867924528301887,0.1320754716981132
d,7,52.0,16.235294117647058,0.09649122807017543,0.0,0.016290726817042606,0.0,0.8872180451127819,0.19230769230769232,0.019230769230769232,0.0,52.0,10.48,0.21153846153846154
h,0001-0559,50.0,7.94,0.8605851979345955,0.06196213425129088,0.0774526678141136,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
h,0600-0659,12.0,-4.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,1000-1059,249.0,10.052845528455284,0.02925243770314193,0.0,0.037197544239797764,0.0,0.9335500180570603,0.1566265060240964,0.012048192771084338,0.0,0.0,0.0,0.0
h,1300-1359,38.0,17.594594594594593,0.2865090403337969,0.0,0.019471488178025034,0.0,0.694019471488178,0.18421052631578946,0.02631578947368421,0.0,0.0,0.0,0.0
h,1400-1459,15.0,26.333333333333332,0.011682242990654205,0.0,0.030373831775700934,0.0,0.9579439252336449,0.2,0.0,0.06666666666666667,0.0,0.0,0.0
h,1700-1759,212.0,10.0,0.37842846553002224,0.07412898443291327,0.0737583395107487,0.0,0.47368421052631576,0.12264150943396226,0.014150943396226415,0.0,0.0,0.0,0.0
h,1800-1859,50.0,10.208333333333334,0.15271966527196654,0.0,0.0,0.0,0.8472803347280334,0.16,0.04,0.0,0.0,0.0,0.0
h,0800-0859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,6.679012345679013,0.1566265060240964
h,1200-1259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,6.196078431372549,0.16981132075471697
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.30526315789473685,0.15625
h,1600-1659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.8509316770186336,0.1144578313253012
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,-1.7333333333333334,0.14754098360655737
