Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,3538.0,10.97737686139748,0.24930537546771386,0.022802207979846625,0.38128403660208204,0.00012966324602674766,0.3464787167043307,0.17297908422837763,0.013001695873374788,0.0014132278123233466,3536.0,3.8094964028776976,0.17024886877828055
m,1,291.0,17.137323943661972,0.18130730553090801,0.0,0.44439514936409347,0.0,0.3742975451049985,0.2542955326460481,0.024054982817869417,0.0,290.0,5.866906474820144,0.1896551724137931
m,2,277.0,10.588888888888889,0.2427627080009118,0.08206063369044905,0.23341691360838843,0.0,0.44175974470025076,0.1588447653429603,0.02527075812274368,0.0,276.0,0.9924528301886792,0.14855072463768115
m,3,306.0,23.972602739726028,0.2595713046710445,0.0,0.43575765084871765,0.0,0.3046710444802379,0.2581699346405229,0.0457516339869281,0.0,306.0,16.716723549488055,0.27124183006535946
m,4,291.0,9.46896551724138,0.4006750241080039,0.0,0.41634522661523626,0.0,0.1829797492767599,0.14776632302405499,0.003436426116838488,0.003436426116838488,291.0,-7.840277777777778,0.07216494845360824
m,5,316.0,13.54983922829582,0.12200475580757271,0.0,0.47009328699469544,0.0012804097311139564,0.4066215474666179,0.21835443037974683,0.015822784810126583,0.0,316.0,4.5718849840255595,0.17405063291139242
m,6,313.0,7.160771704180064,0.28933717579250723,0.0,0.30403458213256485,0.0,0.406628242074928,0.1597444089456869,0.006389776357827476,0.006389776357827476,313.0,4.54983922829582,0.18849840255591055
m,7,308.0,4.584415584415584,0.34994462901439644,0.0,0.30601698043558506,0.0,0.34403839055001845,0.12012987012987013,0.0,0.0,308.0,5.3452768729641695,0.16558441558441558
m,8,306.0,4.088235294117647,0.29944229944229944,0.0,0.5173745173745173,0.0,0.1831831831831832,0.13398692810457516,0.0,0.0032679738562091504,305.0,-0.9835526315789473,0.12459016393442623
m,9,280.0,-1.1035714285714286,0.09583736689254599,0.0,0.6679574056147144,0.0,0.2362052274927396,0.075,0.0,0.0,281.0,-6.99644128113879,0.06761565836298933
m,10,279.0,12.726618705035971,0.22389621259677756,0.0,0.38857501569365976,0.0,0.3875287717095627,0.17562724014336917,0.0035842293906810036,0.0,279.0,7.794223826714801,0.1971326164874552
m,11,294.0,6.006802721088436,0.08775981524249422,0.0,0.42758165621906963,0.0,0.48465852853843616,0.13945578231292516,0.0,0.003401360544217687,294.0,-1.5187713310580204,0.14625850340136054
m,12,277.0,25.23134328358209,0.34098486791484994,0.1116953064888433,0.23185432162092845,0.0,0.3154655039753783,0.23104693140794225,0.032490974729241874,0.0,277.0,17.99245283018868,0.296028880866426
d,1,517.0,12.83984375,0.2914549107670488,0.04845762912185321,0.33223023283299846,0.0,0.3278572272780995,0.19342359767891681,0.009671179883945842,0.0019342359767891683,518.0,4.738372093023256,0.17953667953667954
d,2,518.0,7.32495164410058,0.3353573096683793,0.0,0.3971664331309357,0.0,0.267476257200685,0.138996138996139,0.0019305019305019305,0.0019305019305019305,512.0,0.3658051689860835,0.142578125
d,3,509.0,10.445344129554655,0.41058616488425614,0.018275348585352645,0.2956545282252606,0.0,0.2754839583051306,0.13948919449901767,0.029469548133595286,0.0,509.0,2.026315789473684,0.1512770137524558
d,4,506.0,12.28256513026052,0.15668090298962783,0.06662599145820622,0.3696156192800488,0.0,0.40707748627211715,0.191699604743083,0.01383399209486166,0.001976284584980237,513.0,5.655445544554455,0.18908382066276802
d,5,528.0,14.34423076923077,0.0697838820440315,0.0037366188648757827,0.4780852353059988,0.0,0.4483942637850939,0.21401515151515152,0.015151515151515152,0.001893939393939394,526.0,8.017408123791103,0.19391634980988592
d,6,451.0,7.643497757847534,0.2478678038379531,0.01830135039090263,0.40298507462686567,0.0012437810945273632,0.32960199004975127,0.1352549889135255,0.011086474501108648,0.0,448.0,-0.05895691609977324,0.13169642857142858
d,7,509.0,11.537698412698413,0.3048811013767209,0.0,0.3763454317897372,0.0,0.3187734668335419,0.1925343811394892,0.009823182711198428,0.0019646365422396855,510.0,5.2765531062124245,0.1980392156862745
h,0001-0559,405.0,5.964824120603015,0.6756349006789037,0.06537591149107368,0.187578576816696,0.001760120693990445,0.06965049031933618,0.07901234567901234,0.01728395061728395,0.0024691358024691358,0.0,0.0,0.0
h,0600-0659,888.0,1.251131221719457,0.6046195652173914,0.14658816425120774,0.22584541062801933,0.0,0.022946859903381644,0.04617117117117117,0.0045045045045045045,0.0,0.0,0.0,0.0
