Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,115783,13.774753636790239,0.3319276040165806,0.04513357815066857,0.20859163532561445,0.00033065117963040956,0.414016531327506,0.21922907508010675,0.025262776055206722,0.0028328856567889932,115945,8.565075160232192,0.22482211393333046
m,1,8526,11.498701973001038,0.38541679525002775,0.051153547049166165,0.18683882435718607,0.0001481280319956549,0.3764427053116243,0.1862538118695754,0.0966455547736336,0.0012901712409101572,8536,1.8059895833333333,0.15663074039362698
m,2,8522,13.56913730255164,0.2983385591235089,0.07235016398169171,0.1929037373409738,0.00043247918693912856,0.4359750603668865,0.21333020417742313,0.035320347336306034,0.002229523586012673,8524,9.566991473812424,0.22383857343969968
m,3,9706,8.003114941335271,0.33666015022121615,0.005807639103245647,0.20932651964651142,0.00016005304615243908,0.44804563798287433,0.17195549144858852,0.008036266227076035,0.0017514939212858027,9724,2.0585608971031046,0.18654874537227478
m,4,9733,8.548423890501866,0.3357705956605616,0.010884321337556863,0.1693024031247767,0.00030961964417557813,0.4837330602329292,0.16613582656940307,0.009246892016849893,0.0033905270728449605,9727,2.9829362189158255,0.1770330009252596
m,5,9499,8.611375409662754,0.35992316693528803,0.014660102002516944,0.22253990682886982,0.0005188439714746208,0.4023579802618506,0.1818086114327824,0.004526792293925676,0.0033687756605958524,9509,3.936573485811097,0.20107266799873805
m,6,9705,16.18423541776143,0.3161883273349315,0.02280823303637668,0.23309155788815383,0.0,0.42791188174053796,0.24605873261205563,0.02009273570324575,0.00401854714064915,9707,11.490403986851872,0.2513649943339858
m,7,10183,26.425714877745545,0.2983027320827696,0.08664527373465226,0.21508084734726343,0.0002729353416175708,0.39969821149369716,0.2886182853775901,0.05538642836099381,0.0038299125994304233,10224,19.153004314427022,0.26985524256651017
m,8,10458,18.40960535380376,0.35136234894765306,0.0530322905344991,0.20520096587836573,0.0008245303121971592,0.389579864327285,0.2643908969210174,0.030407343660355707,0.003633581946834959,10478,14.183538034865293,0.2590188967360183
m,9,9730,9.804106605828062,0.34698293061405455,0.008193305253823986,0.2544003546885391,0.0,0.39042340944358234,0.18386433710174718,0.00894141829393628,0.0025693730729701952,9724,6.424500831946755,0.20577951460304403
m,10,10016,10.802772718073264,0.3745591814434014,0.037161211278332426,0.20976340667891852,0.00024007019983774566,0.3782761303995099,0.20007987220447285,0.013578274760383386,0.001297923322683706,10068,4.122217725617159,0.19636471990464838
m,11,9745,11.994205298013245,0.36891259591989517,0.0027325472580947033,0.14172749391727493,0.0009638779711772413,0.48566348493355793,0.21210877373011802,0.008722421754746024,0.0015392508978963571,9764,9.596729117068627,0.2508193363375666
m,12,9960,20.619799139167863,0.3000510610851824,0.07535541202712508,0.2188281033046376,0.00015228744703532174,0.40561313613601957,0.3024096385542169,0.020481927710843374,0.004718875502008032,9960,16.10261155665227,0.30461847389558233
d,1,17464,14.11633268309984,0.3281793883005856,0.06939258533798535,0.18142049743935035,0.00021627797841300932,0.4207912509436657,0.21759047182775995,0.03252404947320202,0.002462207970682547,17411,9.045346204266476,0.2302567342484636
d,2,17282,12.171701018715945,0.3536268381526285,0.020533345325358637,0.21647704276656024,0.0004676889868237622,0.40889508476862885,0.2048374030783474,0.023434787640319407,0.0035875477375303783,17238,8.044855353414853,0.22566423018911708
d,3,17351,10.338956246705324,0.35387507727857787,0.01935765032583689,0.22547608671416555,0.00039526092288358046,0.40089592475853614,0.19566595585268862,0.016944268341882313,0.002651144026280906,17476,5.198984949247462,0.20090409704737927
d,4,17511,15.81876456876457,0.30320944189946847,0.02526803102021581,0.2202878864532583,0.0006618477680829978,0.45057279285897445,0.24019187939009765,0.02101536177260008,0.002569813260236423,17533,13.51195277339412,0.26892146238521647
d,5,17594,16.52199720670391,0.32261703528406965,0.04613796907528336,0.21229515489048237,6.04971441789292e-05,0.4188893436059857,0.25298397180857113,0.023701261793793338,0.0025008525633738775,17674,11.611224788073663,0.2529138848025348
d,6,12989,12.839034045922407,0.3628266252725727,0.09800914119574725,0.19619691761836125,0.00011087703736556159,0.34285643887595324,0.19647393948725844,0.02840865347601817,0.003233505273693125,13079,3.2724972323264274,0.16499732395443076
d,7,15592,14.40284862537264,0.3215919286455676,0.05163784458948331,0.20493728339461323,0.0003342539978537375,0.4214986893724821,0.22056182657773218,0.0323242688558235,0.0029502308876346844,15534,7.799049785867238,0.21333848332689584
h,0001-0559,1375,1.6641901931649332,0.7312767475035663,0.04689728958630528,0.21576319543509273,0.0,0.006062767475035664,0.072,0.02181818181818182,0.0014545454545454545,2867,-1.6093304843304843,0.13010115102895012
h,0600-0659,9866,2.6670451026937765,0.6363189720332577,0.051266061980347694,0.24576719576719577,0.0002834467120181406,0.06636432350718065,0.08250557470099332,0.01794040137847152,0.0029393877964727345,11311,-5.034473373854667,0.07612059057554593
h,0700-0759,9036,3.7133228487980228,0.5708316818602193,0.06807372175980975,0.23891861540494122,0.001816620425419474,0.12035936054961026,0.09218680832226649,0.01516157591854803,0.0013280212483399733,7347,-3.851934008041037,0.08874370491357017
h,0800-0859,8081,5.404518490470782,0.4833357082917716,0.08586266407004545,0.2778543042163429,0.001646637850504283,0.15130068557133583,0.1263457492884544,0.01967578270016087,0.0021037000371241185,6779,-0.4335843373493976,0.13291045876973004
h,0900-0959,6396,5.864360854319414,0.4838101352164667,0.0745094892268186,0.2852786582674638,0.00042129759659752036,0.15598041969265336,0.13320825515947468,0.019230769230769232,0.001876172607879925,6816,0.59468787515006,0.14084507042253522
h,1000-1059,6641,5.861442102047052,0.3888181040220595,0.03938385471141961,0.3013406865075592,0.00015213463915565275,0.270305220119806,0.12739045324499323,0.014305074536967324,0.0021081162475530793,8575,3.809336667857568,0.18600583090379008
h,1100-1159,5318,7.3098510882016035,0.38529705719044977,0.025452526374236534,0.19953359244863964,0.0,0.38971682398667407,0.15569763068822864,0.01504324934185784,0.003008649868371568,8035,6.708068210740646,0.21742377100186683
