Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,1701.0,8.930232558139535,0.3972810516263131,0.0,0.09488230998258525,0.0,0.5078366383911016,0.14814814814814814,0.014109347442680775,0.0005878894767783657,1701.0,2.9151225343693965,0.1440329218106996
m,1,154.0,8.404109589041095,0.5203468979319547,0.0,0.11474316210807205,0.0,0.36490993995997334,0.14935064935064934,0.05194805194805195,0.0,154.0,2.787671232876712,0.12987012987012986
m,2,134.0,10.746268656716419,0.23572003218020918,0.0,0.039420756234915526,0.0,0.7248592115848753,0.208955223880597,0.0,0.0,134.0,8.253731343283581,0.208955223880597
m,3,143.0,6.020979020979021,0.2898406374501992,0.0,0.0846613545816733,0.0,0.6254980079681275,0.0979020979020979,0.0,0.0,143.0,2.3846153846153846,0.11188811188811189
m,4,140.0,12.15,0.733043950081389,0.0,0.012479652740097666,0.0,0.2544763971785133,0.15,0.0,0.0,140.0,0.8714285714285714,0.10714285714285714
m,5,144.0,3.7291666666666665,0.4,0.0,0.05806451612903226,0.0,0.5419354838709678,0.09722222222222222,0.0,0.0,144.0,3.701388888888889,0.14583333333333334
m,6,142.0,3.2411347517730498,0.3968565815324165,0.0,0.3968565815324165,0.0,0.206286836935167,0.1267605633802817,0.007042253521126761,0.0,142.0,1.297872340425532,0.11267605633802817
m,7,143.0,21.24113475177305,0.2783810463968411,0.0,0.07173412306679829,0.0,0.6498848305363606,0.2727272727272727,0.013986013986013986,0.006993006993006993,143.0,16.24113475177305,0.3006993006993007
m,8,147.0,11.314685314685315,0.27721088435374147,0.0,0.26077097505668934,0.0,0.46201814058956914,0.2108843537414966,0.027210884353741496,0.0,147.0,4.041958041958042,0.21768707482993196
m,9,141.0,2.2907801418439715,0.47240915208613726,0.0,0.13189771197846567,0.0,0.39569313593539707,0.07801418439716312,0.0,0.0,141.0,-2.3404255319148937,0.0851063829787234
m,10,145.0,4.384057971014493,0.08064516129032258,0.0,0.03225806451612903,0.0,0.8870967741935484,0.1310344827586207,0.04827586206896552,0.0,145.0,-0.11594202898550725,0.1310344827586207
m,11,138.0,9.55072463768116,0.32289002557544755,0.0,0.019820971867007674,0.0,0.6572890025575447,0.14492753623188406,0.0,0.0,138.0,0.2773722627737226,0.10869565217391304
m,12,130.0,14.796875,0.5912769784172662,0.0,0.02922661870503597,0.0,0.37949640287769787,0.1076923076923077,0.015384615384615385,0.0,130.0,-3.0,0.06153846153846154
d,1,256.0,10.422924901185771,0.3686534216335541,0.0,0.08766950488804794,0.0,0.543677073478398,0.15625,0.01171875,0.0,256.0,3.9243027888446216,0.16015625
d,2,256.0,11.223107569721115,0.5037616611495637,0.0,0.14354498946734878,0.0,0.35269334938308755,0.15625,0.01953125,0.00390625,256.0,3.328,0.16015625
