Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,83307,11.728973097710572,0.285565612490769,0.042265315157525615,0.3221837218136496,0.004129577032601291,0.3458557735054545,0.21191496512898075,0.011991789405452122,0.00264083450370317,83289,5.28423797801555,0.20580148639075987
m,1,7678,13.822329575952764,0.36159723933941335,0.020803549420754252,0.20808479171801825,0.004752280009859502,0.40476213951195467,0.24837197186767387,0.03008595988538682,0.0016931492576191716,7665,9.318304535637148,0.25818656229615133
m,2,7346,12.843496214728148,0.33633176864032877,0.04261941696718174,0.3112597457541753,0.001531115901444487,0.3082579527368697,0.2163081949360196,0.01116253743533896,0.0035393411380343046,7345,5.411813414297543,0.2065350578624915
m,3,8071,12.450422465208748,0.23984746847774654,0.03165678551878346,0.3982798452417402,0.0016422189439697164,0.3285736818177601,0.23107421633007064,0.0033453103704621486,0.0028497088340973856,8075,7.636182407176676,0.24507739938080494
m,4,7249,9.366666666666667,0.3418308371139146,0.01609595426014542,0.2562799080231185,0.004996581940215027,0.38079671866260645,0.17781763001793352,0.006897503103876396,0.002207200993240447,7239,1.8514851485148516,0.16715015886172124
m,5,6838,11.284144196951935,0.2829018739080289,0.10553722122620503,0.2656473033310114,0.002101152207922714,0.3438124493268319,0.207663059374086,0.00233986545773618,0.0024861070488446913,6832,3.3551759681931967,0.18237704918032788
m,6,6551,13.55385087450138,0.2559772369724396,0.04006836677219492,0.346495231806087,0.003350360285120516,0.35410880416415796,0.2340100747977408,0.00564799267287437,0.0032056174629827507,6548,7.65992277992278,0.2322846670739157
m,7,6766,16.985307346326838,0.2670856843155998,0.02727280417551369,0.3691049207785946,0.0017595357532589478,0.334777054977033,0.24416198640260123,0.014484185634052616,0.00487732781554833,6768,11.536197056173025,0.24719267139479906
m,8,6361,16.53217115689382,0.20282678921173788,0.09492721060173134,0.3934782055738789,0.0055450514231450785,0.3032227431895068,0.25263323376827546,0.00911806319761044,0.002672535764816853,6355,8.61273336524653,0.23493312352478363
m,9,5630,7.616014234875445,0.21201173696975864,0.0880272731898438,0.3781610949982191,0.0020013907969945216,0.31979850404518395,0.1811722912966252,0.0017761989342806395,0.0023090586145648314,5633,2.1228601997146934,0.18036570211255104
m,10,6013,7.327091354567728,0.2576495469450319,0.02004307417683696,0.34358447001299985,0.004792487242670599,0.37393042162246065,0.15765840678529852,0.04972559454515217,0.0018293696989855313,6013,1.7064720365810764,0.1503409279893564
m,11,6930,4.504406877618841,0.3503826448584107,0.0028082059636862526,0.39589273081952453,0.0022294154215524446,0.24868700293682608,0.13015873015873017,0.001443001443001443,0.0012987012987012987,6931,-5.121369744256611,0.10893089020343384
m,12,7874,13.210701911972283,0.3370859592554595,0.004937344276711124,0.23431774879085446,0.012778469881283892,0.41088047779569103,0.2440944881889764,0.010287020574041149,0.002667005334010668,7885,7.880399948724523,0.23436905516804057
d,1,11954,10.957954162453657,0.3128580341444047,0.017525948613238047,0.32402444557881005,0.005600930179796949,0.3399906414837502,0.19825999665383973,0.00736155261837042,0.0025096202108080977,11900,4.241159469568174,0.1938655462184874
d,2,11546,11.902162539239622,0.2600845253576073,0.09657347204161248,0.3255526657997399,0.003270481144343303,0.314518855656697,0.20639182400831457,0.007361856920145505,0.0032045730122986314,11610,3.9290496478567083,0.1933677863910422
d,3,11747,10.871533721328312,0.29520944412361166,0.07636417357203293,0.3166910648813441,0.0024980190440376583,0.3092372983789737,0.19877415510343066,0.005618455775942794,0.0030646122414233422,11735,4.200051604025114,0.19335321687260332
d,4,11901,11.349623416638138,0.24780092364491568,0.01265249009676593,0.38604547276035817,0.0058795320023912285,0.347621581495569,0.21662045206285185,0.018653894630703303,0.002268716914544996,11905,7.180919639020198,0.2273834523309534
d,5,12211,13.917493124427036,0.26641748598358655,0.029852929227269034,0.337006039923079,0.0032826846510116193,0.3634408602150538,0.23773646711981,0.017607075587584963,0.002538694619605274,12225,8.372954924874792,0.23770961145194275
d,6,12144,12.173647177081588,0.2733630998844725,0.04070315671152465,0.2722265588409779,0.0018796640334717582,0.4118275205295532,0.22035573122529645,0.01745718050065876,0.001976284584980237,12213,5.061515378844711,0.20052403176942601
d,7,11804,10.877800581494784,0.35546161362960443,0.021788389910920396,0.29090368356205126,0.007088130744501565,0.32475818215292235,0.20408336157234835,0.009403592002710945,0.002965096577431379,11701,3.9049679764583693,0.19297495940517903
h,0001-0559,1167,-0.8620988725065047,0.729151817533856,0.1397006414825374,0.1261582323592302,0.004989308624376337,0.0,0.026563838903170524,0.011996572407883462,0.0,2601,-0.6831372549019608,0.14263744713571702
h,0600-0659,4380,-1.6071842410196988,0.506198347107438,0.0756045301499847,0.33639424548515456,0.015074992347719621,0.06672788490970309,0.04018264840182648,0.015525114155251141,0.0013698630136986301,6589,-4.789821648216482,0.09227500379420246
h,0700-0759,7993,2.440963855421687,0.4565090615467432,0.04508343800466535,0.3729364794545128,0.003813027094921945,0.12165799389915664,0.08770173902164394,0.013887151257350181,0.0027524083573126487,8121,-2.7810820942146695,0.1084841768255141
h,0800-0859,5145,2.0243423635649784,0.45433996383363473,0.0516500904159132,0.3213532248342375,0.0,0.1726567209162146,0.09212827988338193,0.010301263362487852,0.001554907677356657,4844,-1.911413612565445,0.13232865400495458
h,0900-0959,3902,4.583937823834197,0.4830903574335825,0.02704802782505735,0.23048175830681567,0.006512247465403686,0.25286760896914084,0.11993849308047155,0.010763710917478216,0.0012813941568426447,4414,-0.3849506767607249,0.15360217489805164
h,1000-1059,5015,5.080515297906603,0.433500415141917,0.04840247240075033,0.19364064085611488,0.01537562655678219,0.30908084504443556,0.13200398803589233,0.009571286141575274,0.0009970089730807576,5503,1.1305228276877761,0.1675449754679266
h,1100-1159,4716,7.7821803384022274,0.2772629233722832,0.037093218932947786,0.34995615178592593,0.003578962337939371,0.33210874357090375,0.16221374045801526,0.00996607294317218,0.002544529262086514,5360,1.6248820086841609,0.17182835820895523
h,1200-1259,4192,8.923132530120482,0.25199471116582317,0.074887156339762,0.2664478183559021,0.005380020972963115,0.40129029316554965,0.1765267175572519,0.010734732824427481,0.0028625954198473282,4228,3.634537192059316,0.1825922421948912
h,1300-1359,4471,13.815141242937854,0.29869573204335315,0.06706570326373155,0.28684710060620905,0.0047608842079480745,0.34263057987875817,0.24334600760456274,0.010288526056810557,0.004920599418474614,4562,7.010647737355812,0.22117492327926347
h,1400-1459,4261,13.138512710857686,0.2500662582043247,0.0492181531889684,0.3409413342063826,0.0009042296119607751,0.3588700247883635,0.22811546585308612,0.012203708049753579,0.005867167331612298,4107,6.40255905511811,0.21524226929632334
h,1500-1559,6149,15.77991452991453,0.225314889788574,0.06443994601889338,0.4013813915129705,0.0005060728744939271,0.3083576998050682,0.2478451780777362,0.011221336802732152,0.004390957879329973,4498,8.843234696182517,0.25789239662072033
h,1600-1659,4182,16.730843840931136,0.2270963812348556,0.042530090171206125,0.421699349866928,0.0014829919362313467,0.30719118679077895,0.2682926829268293,0.01482544237207078,0.003825920612147298,4977,11.401756535947712,0.26542093630701225
h,1700-1759,4647,16.403485838779957,0.2597955926269179,0.04709865101431367,0.3083101637318505,0.0011069920708474926,0.38368860055607046,0.27910479879492145,0.012265978050355068,0.0025823111684958036,4144,12.360157016683022,0.2886100386100386
h,1800-1859,6236,19.16055194805195,0.2520144789355114,0.038374241669971394,0.3389555928685336,0.003029101310360539,0.3676265852156231,0.29714560615779345,0.012508017960230917,0.0027261064785118667,4490,15.707860063607452,0.3207126948775056
h,1900-1959,5181,21.1682570593963,0.2756969084963082,0.02882130052528696,0.21289408102574556,0.004817446568032536,0.4777702633846268,0.3352634626519977,0.008878594865856012,0.002509168114263656,5473,14.095096028342345,0.2992874109263658
