Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,10042.0,3.656218706188664,0.3794259617885944,0.0399745642685782,0.1637569731479608,0.0004913720842847646,0.41635112871058183,0.11192989444333798,0.005676160127464649,0.0016928898625771759,10043.0,2.0948853968571712,0.15294234790401273
m,1,857.0,6.063679245283019,0.2971708875199635,0.14248231804699976,0.15731234314396533,0.0,0.4030344512890714,0.11668611435239207,0.011668611435239206,0.0,859.0,0.6183745583038869,0.14435389988358557
m,2,790.0,1.7554140127388536,0.40661577608142496,0.013486005089058525,0.09592875318066157,0.0033078880407124683,0.4806615776081425,0.08354430379746836,0.006329113924050633,0.0,790.0,-0.7756653992395437,0.11012658227848102
m,3,882.0,4.295871559633028,0.4697227814774663,0.07077590212172835,0.1180114604305405,0.00046461204893913583,0.3410252439213257,0.10090702947845805,0.011337868480725623,0.0011337868480725624,882.0,4.7423033067274805,0.18820861678004536
m,4,785.0,2.2233632862644415,0.3472193293063945,0.012705686315350968,0.15184336596542386,0.0,0.48823161841283064,0.11210191082802548,0.007643312101910828,0.0012738853503184713,784.0,2.2882882882882885,0.14668367346938777
m,5,787.0,-0.6106870229007634,0.37044534412955465,0.0,0.16032388663967612,0.0,0.46923076923076923,0.07369758576874205,0.0012706480304955528,0.0025412960609911056,787.0,-0.9682337992376112,0.11435832274459974
m,6,902.0,4.231368186874305,0.5051012864113559,0.00709744196362561,0.17906254620730444,0.0,0.308738725417714,0.1286031042128603,0.0033259423503325942,0.0022172949002217295,903.0,2.9389567147613764,0.17718715393134
m,7,897.0,5.303030303030303,0.3755725190839695,0.01633587786259542,0.17435114503816793,0.0,0.43374045801526717,0.14938684503901895,0.006688963210702341,0.004459308807134894,897.0,5.403370786516854,0.1939799331103679
m,8,904.0,3.89086859688196,0.37671799966881936,0.009438648782911079,0.14456035767511177,0.0,0.4692829938731578,0.1172566371681416,0.00663716814159292,0.00331858407079646,904.0,5.548997772828508,0.1736725663716814
m,9,842.0,0.3028503562945368,0.4290045477513896,0.0025265285497726125,0.22511369378473978,0.0,0.343355229914098,0.07363420427553444,0.0,0.0011876484560570072,841.0,-2.0773809523809526,0.09631391200951249
m,10,808.0,3.1189591078066914,0.37782340862423,0.029568788501026694,0.16078028747433265,0.0,0.4318275154004107,0.10272277227722772,0.0012376237623762376,0.0,808.0,-0.40993788819875776,0.10767326732673267
m,11,771.0,1.490272373540856,0.5467185761957731,0.016407119021134595,0.10150166852057842,0.0,0.3353726362625139,0.07782101167315175,0.0,0.0,771.0,-7.023376623376623,0.08690012970168612
m,12,817.0,11.199257425742575,0.2529561579043114,0.04738948517373113,0.22039294160451156,0.001637256685464799,0.4776241586319811,0.19828641370869032,0.011015911872705019,0.0036719706242350062,817.0,13.471534653465346,0.27906976744186046
d,1,1478.0,3.957736877982277,0.38145972319028176,0.0220053768794185,0.1552325002489296,0.0,0.4413023996813701,0.11569688768606225,0.007442489851150203,0.0013531799729364006,1477.0,2.713410483321988,0.14827352742044686
d,2,1479.0,5.762423417290674,0.36370777690494893,0.09803613511390416,0.13424980361351138,0.0014139827179890023,0.4025923016496465,0.13319810682893848,0.0067613252197430695,0.002704530087897228,1479.0,2.734513274336283,0.16024340770791076
d,3,1484.0,2.4840677966101694,0.572183521498919,0.01441268316118184,0.16370405957242373,0.0,0.24969973576747537,0.09299191374663072,0.006064690026954178,0.0020215633423180594,1487.0,-0.26119402985074625,0.13315400134498992
d,4,1485.0,3.378818737270876,0.3587058946707151,0.027431682546330226,0.1879384357658884,0.0,0.4259239870170663,0.1111111111111111,0.00808080808080808,0.0006734006734006734,1480.0,2.4545454545454546,0.16283783783783784
d,5,1488.0,3.354882154882155,0.31747895870033277,0.027891955372871403,0.18506557056175377,0.0,0.4695635153650421,0.11760752688172044,0.0020161290322580645,0.0020161290322580645,1490.0,2.5178211163416275,0.1697986577181208
d,6,1260.0,4.067092651757188,0.42415420138540305,0.008432888264230498,0.16173074992470635,0.0016062644312819997,0.4040758959943781,0.1,0.007142857142857143,0.0015873015873015873,1252.0,1.9035369774919615,0.1485623003194888
d,7,1368.0,2.5824175824175826,0.25511057979677226,0.06527196652719665,0.16772265391512253,0.0,0.5118947997609086,0.1111111111111111,0.0021929824561403508,0.0014619883040935672,1378.0,2.606986899563319,0.14658925979680695
h,0001-0559,1099.0,-0.7610294117647058,0.5303250849102378,0.12518195050946143,0.19335274138767589,0.003153808830664726,0.14798641436196022,0.039126478616924476,0.010009099181073703,0.0,0.0,0.0,0.0
h,0600-0659,1394.0,-0.0707070707070707,0.6261420846541115,0.1159798620175275,0.24986015289949656,0.003915718814096587,0.004102181614767854,0.04447632711621234,0.006456241032998565,0.0,74.0,-7.164383561643835,0.013513513513513514
h,0700-0759,856.0,2.1343457943925235,0.7627695800227015,0.03564131668558456,0.10828603859250852,0.0,0.09330306469920545,0.04672897196261682,0.0,0.0011682242990654205,557.0,-2.2490974729241877,0.09515260323159784
h,0800-0859,422.0,-2.831353919239905,0.8125,0.09235074626865672,0.08022388059701492,0.0,0.014925373134328358,0.02843601895734597,0.002369668246445498,0.002369668246445498,688.0,-1.186490455212922,0.09738372093023256
