Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,320.0,10.337579617834395,0.5524374887569706,0.0,0.1757510343586976,0.0,0.2718114768843317,0.1375,0.021875,0.003125,321.0,7.031847133757962,0.1557632398753894
m,7,49.0,27.714285714285715,0.664364640883978,0.0,0.0718232044198895,0.0,0.2638121546961326,0.2857142857142857,0.0,0.0,50.0,40.4,0.3
m,8,58.0,29.296296296296298,0.7467248908296943,0.0,0.0769650655021834,0.0,0.17631004366812228,0.20689655172413793,0.06896551724137931,0.0,58.0,8.666666666666666,0.1896551724137931
m,9,56.0,-1.2857142857142858,0.19594594594594594,0.0,0.4189189189189189,0.0,0.38513513513513514,0.08928571428571429,0.0,0.017857142857142856,56.0,-0.4727272727272727,0.16071428571428573
m,10,57.0,1.6491228070175439,0.469721767594108,0.0,0.33387888707037644,0.0,0.19639934533551553,0.05263157894736842,0.0,0.0,57.0,-7.982456140350878,0.05263157894736842
m,11,43.0,-2.441860465116279,0.14285714285714285,0.0,0.2979591836734694,0.0,0.5591836734693878,0.09302325581395349,0.0,0.0,43.0,0.813953488372093,0.11627906976744186
m,12,57.0,7.072727272727272,0.3391215526046987,0.0,0.27477017364657813,0.0,0.3861082737487232,0.10526315789473684,0.05263157894736842,0.0,57.0,3.018181818181818,0.12280701754385964
d,1,48.0,3.723404255319149,0.5070422535211268,0.0,0.2152917505030181,0.0,0.2776659959758551,0.125,0.020833333333333332,0.0,48.0,-3.3958333333333335,0.125
d,2,49.0,4.5625,0.40344168260038243,0.0,0.20076481835564053,0.0,0.39579349904397704,0.14285714285714285,0.02040816326530612,0.0,50.0,-2.2653061224489797,0.14
d,3,50.0,8.32,0.6785260482846251,0.0,0.2121982210927573,0.0,0.10927573062261753,0.14,0.0,0.0,50.0,-3.72,0.1
d,4,50.0,8.38,0.19923857868020303,0.0,0.2017766497461929,0.0,0.5989847715736041,0.12,0.0,0.02,49.0,39.170212765957444,0.1836734693877551
d,5,49.0,19.659574468085108,0.6233671988388969,0.0,0.16618287373004353,0.0,0.2104499274310595,0.20408163265306123,0.04081632653061224,0.0,50.0,16.244897959183675,0.22
d,6,26.0,25.576923076923077,0.8909512761020881,0.0,0.10904872389791183,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,26.0,-5.8,0.15384615384615385
d,7,48.0,9.304347826086957,0.4005524861878453,0.0,0.16022099447513813,0.0,0.43922651933701656,0.14583333333333334,0.041666666666666664,0.0,48.0,3.8260869565217392,0.16666666666666666
h,0700-0759,171.0,12.089285714285714,0.7961019490254873,0.0,0.20389805097451275,0.0,0.0,0.07602339181286549,0.023391812865497075,0.0,0.0,0.0,0.0
h,1600-1659,42.0,25.05,0.3146788990825688,0.0,0.10366972477064221,0.0,0.581651376146789,0.38095238095238093,0.047619047619047616,0.0,0.0,0.0,0.0
h,1700-1759,106.0,2.123809523809524,0.06437389770723104,0.0,0.16225749559082892,0.0,0.7733686067019401,0.14150943396226415,0.009433962264150943,0.009433962264150943,0.0,0.0,0.0
h,1400-1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,6.897260273972603,0.17567567567567569
h,1800-1859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-17.0,0.0
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,-2.4705882352941178,0.11570247933884298
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,33.41304347826087,0.20408163265306123
