Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,9215.0,6.184997242140099,0.30692953055952865,0.038351514633990134,0.27447003821275323,0.0,0.380248916593728,0.12425393380358112,0.016494845360824743,0.0019533369506239827,9218,2.3626725565985645,0.152961596875678
m,1,753.0,6.4809264305177114,0.46813097965233796,0.00862417463953645,0.224632798814176,0.0,0.2986120468939496,0.11686586985391766,0.025232403718459494,0.0,758,-1.7937584803256446,0.12928759894459102
m,2,727.0,6.829302987197724,0.28463855421686746,0.01536144578313253,0.2891566265060241,0.0,0.4108433734939759,0.14580467675378267,0.0343878954607978,0.001375515818431912,727,0.10638297872340426,0.15268225584594222
m,3,793.0,5.387468030690537,0.30083990837363195,0.14965640111987782,0.24777297022143038,0.0,0.3017307202850598,0.12610340479192939,0.013871374527112233,0.0025220680958385876,792,2.8260869565217392,0.15025252525252525
m,4,746.0,1.628032345013477,0.24192897497982244,0.0,0.2782485875706215,0.0,0.4798224374495561,0.0777479892761394,0.005361930294906166,0.0,745,0.677027027027027,0.13020134228187918
m,5,827.0,1.520631067961165,0.15501773419570206,0.053411224702691426,0.3338201543918214,0.0,0.4577508867097851,0.09068923821039904,0.0036275695284159614,0.0048367593712212815,827,0.8436363636363636,0.13180169286577992
m,6,835.0,4.79030303030303,0.38980193847450484,0.0022475066722854333,0.23584773142295265,0.0,0.3721028234302571,0.11137724550898204,0.011976047904191617,0.003592814371257485,836,4.99878640776699,0.1674641148325359
m,7,691.0,11.285714285714286,0.2458009012699713,0.02642359688652192,0.3376689881196231,0.0,0.39010651372388366,0.170767004341534,0.03762662807525326,0.001447178002894356,692,10.48644578313253,0.22832369942196531
m,8,726.0,10.967651195499297,0.38885647607934654,0.017891870867366783,0.2486386619992221,0.0,0.34461299105406457,0.15151515151515152,0.02066115702479339,0.004132231404958678,723,5.723554301833569,0.19225449515905949
m,9,773.0,3.674934725848564,0.28353057199211046,0.1111111111111111,0.21745562130177515,0.0,0.3879026955950033,0.08408796895213454,0.009055627425614488,0.0,773,-1.3947712418300653,0.10996119016817593
m,10,810.0,1.34863523573201,0.16277951430632365,0.016350084154844916,0.1800913681173359,0.0,0.6407790334214956,0.1037037037037037,0.0049382716049382715,0.0012345679012345679,811,-2.6910669975186106,0.10727496917385944
m,11,792.0,6.041878172588833,0.3133864145309779,0.05785021149539687,0.2540432943518288,0.0,0.3747200796217965,0.1111111111111111,0.005050505050505051,0.0025252525252525255,792,-1.693384223918575,0.10732323232323232
m,12,742.0,16.57440890125174,0.3011466505733253,0.01979480989740495,0.3351840675920338,0.0,0.34387447193723597,0.215633423180593,0.03234501347708895,0.0013477088948787063,742,12.164325842696629,0.24528301886792453
d,1,1364.0,5.027529761904762,0.3083973247460986,0.00619271736437949,0.2269011642308645,0.0,0.45850879365865743,0.125366568914956,0.01466275659824047,0.001466275659824047,1362,1.6949404761904763,0.14904552129221732
d,2,1393.0,8.625909752547306,0.33436341161928307,0.05893920665243286,0.2539611192268794,0.0,0.35273626250140466,0.13711414213926776,0.013639626704953339,0.003589375448671931,1395,3.029818181818182,0.16129032258064516
d,3,1393.0,6.3953147877013174,0.18804483188044832,0.09983395599833957,0.332572298325723,0.0,0.37954891379548916,0.12849964106245512,0.020100502512562814,0.0,1400,2.5304922850844966,0.1492857142857143
d,4,1405.0,5.522875816993464,0.2475023415547924,0.024898532625663442,0.29074305338744927,0.0,0.4368560724320949,0.12313167259786477,0.0199288256227758,0.002135231316725979,1395,3.047410649161196,0.15913978494623657
d,5,1394.0,6.282703488372093,0.35902395476863563,0.010191935723850618,0.22823984526112184,0.0,0.4025442642463919,0.133428981348637,0.01291248206599713,0.0007173601147776184,1406,2.9474063400576367,0.17140825035561877
d,6,1028.0,4.663043478260869,0.3276461295418641,0.04033701948393892,0.37862032648762506,0.0,0.2533965244865719,0.10116731517509728,0.01556420233463035,0.0038910505836575876,992,0.4657113613101331,0.1280241935483871
d,7,1238.0,6.375822368421052,0.38625313098570796,0.013776337115072933,0.2395019890968027,0.0,0.36046854280241636,0.11389337641357028,0.018578352180936994,0.0024232633279483036,1268,2.245359160613398,0.1443217665615142
h,0001-0559,608.0,0.8266666666666667,0.6505145797598628,0.07547169811320754,0.2118353344768439,0.0,0.062178387650085765,0.054276315789473686,0.013157894736842105,0.001644736842105263,2,-27.5,0.0
h,0600-0659,1042.0,1.8019512195121952,0.6431587177482408,0.08115715402658327,0.2589523064894449,0.0,0.01673182173573104,0.04990403071017274,0.016314779270633396,0.0,30,-0.3448275862068966,0.16666666666666666
h,0700-0759,620.0,2.034090909090909,0.7013554875382597,0.09269785745518146,0.20594665500655882,0.0,0.0,0.05806451612903226,0.0064516129032258064,0.0032258064516129032,520,-0.13894324853228962,0.14807692307692308
h,0800-0859,402.0,5.776649746192893,0.5147325475974615,0.046010879419764276,0.41092475067996376,0.0,0.028331822302810516,0.10945273631840796,0.01990049751243781,0.0,882,-1.142692750287687,0.11678004535147392
h,0900-0959,144.0,6.006993006993007,0.20202020202020202,0.041181041181041184,0.3815073815073815,0.0,0.3752913752913753,0.1388888888888889,0.006944444444444444,0.0,394,0.26785714285714285,0.14974619289340102
h,1000-1059,738.0,4.085164835164835,0.19119010819165377,0.1403400309119011,0.19412673879443587,0.0,0.4743431221020093,0.12872628726287264,0.013550135501355014,0.0013550135501355014,652,-0.74884437596302,0.09969325153374232
h,1100-1159,676.0,8.860778443113773,0.5340314136125655,0.0005690871841566128,0.18757113589801958,0.0,0.27782836330525834,0.1301775147928994,0.011834319526627219,0.0014792899408284023,451,1.1730337078651685,0.11086474501108648
h,1200-1259,380.0,9.24074074074074,0.21918465227817746,0.03405275779376499,0.11294964028776978,0.0,0.6338129496402878,0.18947368421052632,0.005263157894736842,0.0,657,-1.4675925925925926,0.1187214611872146
h,1300-1359,792.0,6.063371356147021,0.20079493596349182,0.01648756072427499,0.23656705432062416,0.0,0.546150448991609,0.12121212121212122,0.003787878787878788,0.0012626262626262627,659,-2.0490045941807042,0.11229135053110774
h,1400-1459,309.0,16.366666666666667,0.15341392814575175,0.026902775412906522,0.49872296952153927,0.0,0.3209603269198025,0.23948220064724918,0.02912621359223301,0.0,375,-1.4366576819407009,0.10933333333333334
h,1500-1559,637.0,5.507154213036566,0.27639064475347663,0.042667509481668774,0.32964601769911506,0.0,0.35129582806573956,0.130298273155416,0.012558869701726845,0.007849293563579277,1006,2.1417004048582995,0.13021868787276342
h,1600-1659,444.0,8.297727272727272,0.33326863354037267,0.0,0.3171583850931677,0.0,0.34957298136645965,0.1373873873873874,0.009009009009009009,0.0045045045045045045,242,0.899581589958159,0.1322314049586777
h,1700-1759,835.0,2.7710109622411694,0.17274239903191652,0.037210709423687795,0.35289668733928303,0.0,0.4371502042051127,0.1029940119760479,0.016766467065868262,0.004790419161676647,761,10.503477051460361,0.2325886990801577
h,1800-1859,979.0,8.12993762993763,0.1262663100737499,0.02536672339735797,0.2618526622902991,0.0,0.5865143042385931,0.14300306435137897,0.018386108273748723,0.0010214504596527069,268,19.93385214007782,0.291044776119403
h,1900-1959,167.0,13.308641975308642,0.10667183863460046,0.018231186966640806,0.13033359193173003,0.0,0.7447633824670287,0.2275449101796407,0.029940119760479042,0.0,173,0.9942196531791907,0.11560693641618497
h,2000-2059,417.0,19.61917098445596,0.19511153805101933,0.0018144946098836588,0.29533568150282846,0.0,0.5077382858362686,0.2805755395683453,0.07673860911270983,0.0,710,6.779202279202279,0.21690140845070421
h,2100-2159,24.0,14.173913043478262,0.041474654377880185,0.0,0.09216589861751152,0.0,0.8663594470046083,0.4166666666666667,0.041666666666666664,0.0,789,5.251937984496124,0.19391634980988592
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635,1.8392282958199357,0.1732283464566929
h,2300-2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4.833333333333333,0.25
