Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,84.0,-0.39759036144578314,0.29891304347826086,0.0,0.04528985507246377,0.3804347826086957,0.2753623188405797,0.17857142857142858,0.011904761904761904,0.0,84.0,-7.682926829268292,0.08333333333333333
m,6,26.0,-0.6153846153846154,0.2916666666666667,0.0,0.0,0.2824074074074074,0.42592592592592593,0.15384615384615385,0.0,0.0,26.0,-6.64,0.07692307692307693
m,7,31.0,4.193548387096774,0.4473684210526316,0.0,0.013157894736842105,0.37280701754385964,0.16666666666666666,0.22580645161290322,0.0,0.0,31.0,-5.096774193548387,0.12903225806451613
m,8,27.0,-5.653846153846154,0.0,0.0,0.2037037037037037,0.5925925925925926,0.2037037037037037,0.14814814814814814,0.037037037037037035,0.0,27.0,-11.76923076923077,0.037037037037037035
d,1,12.0,-4.916666666666667,0.375,0.0,0.0,0.625,0.0,0.16666666666666666,0.0,0.0,12.0,-11.25,0.0
d,2,12.0,-6.833333333333333,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,12.0,-7.75,0.0
d,3,12.0,-14.363636363636363,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.0,12.0,-13.363636363636363,0.0
d,4,12.0,0.6666666666666666,0.3170731707317073,0.0,0.0,0.21951219512195122,0.4634146341463415,0.16666666666666666,0.0,0.0,12.0,-3.25,0.25
d,5,12.0,6.416666666666667,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,12.0,-7.416666666666667,0.16666666666666666
d,6,12.0,15.833333333333334,0.4669811320754717,0.0,0.014150943396226415,0.08490566037735849,0.4339622641509434,0.4166666666666667,0.0,0.0,12.0,-9.454545454545455,0.0
d,7,12.0,-0.75,0.0,0.0,0.20952380952380953,0.580952380952381,0.20952380952380953,0.16666666666666666,0.0,0.0,12.0,-1.9166666666666667,0.16666666666666666
h,1700-1759,84.0,-0.39759036144578314,0.29891304347826086,0.0,0.04528985507246377,0.3804347826086957,0.2753623188405797,0.17857142857142858,0.011904761904761904,0.0,0.0,0.0,0.0
h,1600-1659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,-7.682926829268292,0.08333333333333333
