Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,1025.0,5.453546453546454,0.26643829893892557,0.052719525440721865,0.28172779680842175,0.0006683933494861726,0.39844598546244464,0.15317073170731707,0.026341463414634145,0.0,1026.0,3.4875124875124874,0.17738791423001948
m,1,185.0,3.1452513966480447,0.3212520593080725,0.13783635365183966,0.23064250411861614,0.004393190554640308,0.30587589236683144,0.14594594594594595,0.03783783783783784,0.0,184.0,-2.683333333333333,0.1358695652173913
m,2,174.0,-6.209302325581396,0.05242718446601942,0.017475728155339806,0.5145631067961165,0.0,0.4155339805825243,0.040229885057471264,0.011494252873563218,0.0,175.0,-6.517441860465116,0.10857142857142857
m,3,189.0,3.306451612903226,0.24091778202676864,0.0,0.22418738049713194,0.0,0.5348948374760994,0.14814814814814814,0.015873015873015872,0.0,189.0,-0.5243243243243243,0.164021164021164
m,4,39.0,7.243243243243243,0.04340567612687813,0.5592654424040067,0.3973288814691152,0.0,0.0,0.10256410256410256,0.05128205128205128,0.0,39.0,-3.6315789473684212,0.07692307692307693
m,5,31.0,-6.032258064516129,0.6875,0.0,0.3125,0.0,0.0,0.0967741935483871,0.0,0.0,31.0,1.0,0.1935483870967742
m,6,30.0,7.551724137931035,0.9440559440559441,0.0,0.055944055944055944,0.0,0.0,0.13333333333333333,0.03333333333333333,0.0,30.0,13.241379310344827,0.23333333333333334
m,7,32.0,7.433333333333334,0.03355704697986577,0.0,0.9664429530201343,0.0,0.0,0.125,0.0625,0.0,32.0,0.5,0.15625
m,8,47.0,2.574468085106383,0.16699410609037327,0.0,0.8015717092337917,0.0,0.03143418467583497,0.0851063829787234,0.0,0.0,47.0,12.191489361702128,0.19148936170212766
m,9,60.0,2.3,0.0,0.0,0.8701067615658363,0.0,0.1298932384341637,0.06666666666666667,0.0,0.0,60.0,-4.016666666666667,0.08333333333333333
m,10,53.0,-0.5576923076923077,0.12595419847328243,0.13740458015267176,0.04580152671755725,0.0,0.6908396946564885,0.09433962264150944,0.018867924528301886,0.0,53.0,-3.980392156862745,0.03773584905660377
m,11,30.0,6.689655172413793,0.39908256880733944,0.0,0.39908256880733944,0.0,0.2018348623853211,0.16666666666666666,0.03333333333333333,0.0,29.0,7.75,0.1724137931034483
m,12,155.0,29.543624161073826,0.3020709354915496,0.0,0.09783384908355154,0.0,0.6000952154248989,0.4,0.05161290322580645,0.0,157.0,30.36,0.4140127388535032
d,1,127.0,1.376,0.22938388625592418,0.0,0.2909952606635071,0.0,0.47962085308056873,0.14173228346456693,0.015748031496062992,0.0,127.0,4.390243902439025,0.2125984251968504
d,2,129.0,3.515873015873016,0.40634441087613293,0.0,0.30060422960725075,0.0,0.2930513595166163,0.16279069767441862,0.023255813953488372,0.0,123.0,0.4583333333333333,0.13821138211382114
d,3,131.0,-0.19230769230769232,0.35110663983903423,0.009054325955734407,0.3028169014084507,0.0,0.33702213279678067,0.17557251908396945,0.007633587786259542,0.0,135.0,2.255639097744361,0.18518518518518517
d,4,122.0,6.815126050420168,0.023508137432188065,0.0,0.5539481615430982,0.0,0.42254370102471367,0.1557377049180328,0.02459016393442623,0.0,124.0,8.421487603305785,0.18548387096774194
d,5,135.0,3.91044776119403,0.2032590051457976,0.43310463121783876,0.13979416809605488,0.0,0.22384219554030874,0.1259259259259259,0.022222222222222223,0.0,130.0,3.4186046511627906,0.17692307692307693
d,6,194.0,11.5,0.4546068174147823,0.0,0.13904826189672628,0.0,0.4063449206884914,0.17010309278350516,0.06701030927835051,0.0,222.0,3.2863849765258215,0.17117117117117117
d,7,187.0,7.789189189189189,0.15562678062678062,0.041666666666666664,0.31054131054131057,0.002849002849002849,0.4893162393162393,0.13903743315508021,0.0106951871657754,0.0,165.0,2.691358024691358,0.17575757575757575
h,0600-0659,30.0,8.233333333333333,0.0,0.0,1.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
h,0700-0759,137.0,4.503759398496241,0.2820359281437126,0.04910179640718563,0.6688622754491018,0.0,0.0,0.13138686131386862,0.029197080291970802,0.0,4.0,3.75,0.25
h,0800-0859,152.0,3.141891891891892,0.41961414790996787,0.28938906752411575,0.2867095391211147,0.004287245444801715,0.0,0.125,0.02631578947368421,0.0,27.0,8.72,0.14814814814814814
h,0900-0959,4.0,2.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,34.0,-4.848484848484849,0.20588235294117646
h,1100-1159,13.0,26.916666666666668,0.25,0.0,0.0,0.0,0.75,0.38461538461538464,0.07692307692307693,0.0,317.0,2.6514657980456025,0.19242902208201892
h,1200-1259,190.0,4.117647058823529,0.22742040285899934,0.005847953216374269,0.2871994801819363,0.0,0.47953216374269003,0.14736842105263157,0.015789473684210527,0.0,103.0,-1.04,0.1262135922330097
h,1300-1359,157.0,4.240259740259741,0.09203655352480418,0.0,0.15535248041775457,0.0,0.7526109660574413,0.18471337579617833,0.01910828025477707,0.0,32.0,22.06451612903226,0.28125
h,1400-1459,114.0,4.212389380530974,0.17223650385604114,0.0,0.16452442159383032,0.0,0.6632390745501285,0.13157894736842105,0.008771929824561403,0.0,59.0,8.0,0.22033898305084745
h,1500-1559,22.0,19.727272727272727,0.0,0.0,0.28014842300556586,0.0,0.7198515769944341,0.4090909090909091,0.045454545454545456,0.0,41.0,5.7073170731707314,0.24390243902439024
h,1600-1659,110.0,9.346153846153847,0.5032292787944026,0.0,0.11410118406889128,0.0,0.38266953713670615,0.10909090909090909,0.05454545454545454,0.0,0.0,0.0,0.0
h,1700-1759,36.0,0.4444444444444444,0.21498371335504887,0.0,0.14006514657980457,0.0,0.6449511400651465,0.19444444444444445,0.027777777777777776,0.0,26.0,-7.115384615384615,0.15384615384615385
h,1800-1859,59.0,6.807017543859649,0.23390275952693823,0.0,0.0735873850197109,0.0,0.6925098554533509,0.2033898305084746,0.05084745762711865,0.0,95.0,16.46153846153846,0.22105263157894736
h,1000-1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,-5.22680412371134,0.10309278350515463
h,1900-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,6.47682119205298,0.18831168831168832
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0,0.0
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,-12.333333333333334,0.0
h,2300-2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-16.5,0.0
