Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,991.0,8.449740932642488,0.26237132580925215,0.055748480714374306,0.11608582413493737,0.0,0.5657943693414362,0.12209889001009082,0.027245206861755803,0.0010090817356205853,991.0,0.13403141361256546,0.11604439959636731
m,1,83.0,33.71604938271605,0.2945086705202312,0.1046242774566474,0.10780346820809249,0.0,0.4930635838150289,0.20481927710843373,0.024096385542168676,0.012048192771084338,83.0,21.911392405063292,0.21686746987951808
m,2,79.0,14.779220779220779,0.07879564381806534,0.0,0.05957719410634209,0.0,0.8616271620755925,0.189873417721519,0.02531645569620253,0.0,79.0,13.116883116883116,0.21518987341772153
m,3,85.0,-0.9871794871794872,0.011363636363636364,0.2556818181818182,0.3106060606060606,0.0,0.42234848484848486,0.047058823529411764,0.08235294117647059,0.0,85.0,-7.230769230769231,0.03529411764705882
m,4,81.0,6.405063291139241,0.8194675540765392,0.0,0.1281198003327787,0.0,0.0524126455906822,0.06172839506172839,0.037037037037037035,0.0,81.0,-8.871794871794872,0.06172839506172839
m,5,84.0,5.867469879518072,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.011904761904761904,0.0,84.0,-11.91139240506329,0.023809523809523808
m,6,82.0,13.682926829268293,0.0896551724137931,0.0,0.08793103448275862,0.0,0.8224137931034483,0.15853658536585366,0.0,0.0,82.0,9.691358024691358,0.15853658536585366
m,7,83.0,5.0120481927710845,0.2912400455062571,0.06598407281001138,0.10238907849829351,0.0,0.540386803185438,0.1686746987951807,0.0,0.0,83.0,2.0843373493975905,0.13253012048192772
m,8,85.0,6.097560975609756,0.2383654937570942,0.23155505107832008,0.16345062429057888,0.0,0.36662883087400683,0.17647058823529413,0.03529411764705882,0.0,85.0,1.0121951219512195,0.15294117647058825
m,9,82.0,9.268292682926829,0.4011756061719324,0.07200587803085966,0.06465833945628215,0.0,0.46216017634092577,0.13414634146341464,0.0,0.0,82.0,-0.47560975609756095,0.12195121951219512
m,10,83.0,-9.46987951807229,0.052941176470588235,0.0,0.5823529411764706,0.0,0.36470588235294116,0.024096385542168676,0.0,0.0,83.0,-11.337349397590362,0.04819277108433735
m,11,80.0,16.973684210526315,0.3701899659035558,0.0,0.0282513395031661,0.0,0.6015586945932782,0.0875,0.05,0.0,80.0,-5.364864864864865,0.0625
m,12,84.0,0.8481012658227848,0.13360995850622406,0.034854771784232366,0.3784232365145228,0.0,0.45311203319502075,0.14285714285714285,0.05952380952380952,0.0,84.0,-1.0126582278481013,0.16666666666666666
d,1,155.0,-1.2162162162162162,0.2659817351598174,0.11643835616438356,0.136986301369863,0.0,0.4805936073059361,0.10967741935483871,0.04516129032258064,0.0,155.0,-4.493243243243243,0.10967741935483871
d,2,156.0,6.097402597402597,0.21518375241779497,0.047388781431334626,0.1281431334622824,0.0,0.6092843326885881,0.15384615384615385,0.019230769230769232,0.0,156.0,3.2012987012987013,0.15384615384615385
d,3,156.0,19.38562091503268,0.30245167373880244,0.0,0.08486562942008487,0.0,0.6126826968411127,0.12179487179487179,0.019230769230769232,0.0,156.0,3.9194630872483223,0.10897435897435898
d,4,155.0,5.086092715231788,0.43213429256594726,0.0671462829736211,0.12326139088729017,0.0,0.3774580335731415,0.10967741935483871,0.025806451612903226,0.0,155.0,-5.02,0.1032258064516129
d,5,158.0,5.48051948051948,0.26042677012609117,0.0,0.10038797284190107,0.0,0.6391852570320078,0.11392405063291139,0.02531645569620253,0.0,158.0,0.4868421052631579,0.11392405063291139
d,6,107.0,10.723809523809523,0.3737750816612226,0.0,0.10125991600559962,0.0,0.5249650023331778,0.11214953271028037,0.018691588785046728,0.009345794392523364,107.0,-3.9038461538461537,0.102803738317757
d,7,104.0,16.91,0.01169811320754717,0.2109433962264151,0.16830188679245284,0.0,0.609056603773585,0.1346153846153846,0.038461538461538464,0.0,104.0,8.173469387755102,0.11538461538461539
h,0700-0759,365.0,19.763532763532762,0.05276924826566587,0.08336176504037303,0.11827590128511316,0.0,0.7455930854088479,0.14246575342465753,0.038356164383561646,0.0,0.0,0.0,0.0
h,1200-1259,261.0,6.875968992248062,0.46230349695219763,0.019249278152069296,0.07860121912094963,0.0,0.43984600577478344,0.11494252873563218,0.011494252873563218,0.0,0.0,0.0,0.0
h,2100-2159,328.0,0.7523219814241486,0.5592690550613129,0.02548689588843472,0.13560952151959604,0.0,0.27963452753065643,0.11585365853658537,0.018292682926829267,0.003048780487804878,0.0,0.0,0.0
h,2200-2259,37.0,-24.242424242424242,0.0,0.0,0.40350877192982454,0.0,0.5964912280701754,0.02702702702702703,0.10810810810810811,0.0,0.0,0.0,0.0
h,0001-0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,-16.778846153846153,0.01694915254237288
h,0600-0659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,15.184100418410042,0.1659919028340081
h,1100-1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,-4.443579766536965,0.10727969348659004
h,1900-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.4090909090909091,0.12637362637362637
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-3.8324022346368714,0.11475409836065574
