Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,621.0,4.115702479338843,0.36174026397262504,0.05214274075281082,0.5041551246537396,0.0,0.08196187062082451,0.10144927536231885,0.02576489533011272,0.00644122383252818,623.0,-5.217028380634391,0.11075441412520064
m,1,49.0,0.7391304347826086,0.1654320987654321,0.5432098765432098,0.291358024691358,0.0,0.0,0.061224489795918366,0.061224489795918366,0.0,49.0,-8.72340425531915,0.04081632653061224
m,2,49.0,-1.530612244897959,0.9429530201342282,0.0,0.05704697986577181,0.0,0.0,0.04081632653061224,0.0,0.0,49.0,-12.326530612244898,0.02040816326530612
m,3,49.0,4.9375,0.6402116402116402,0.07760141093474426,0.2821869488536155,0.0,0.0,0.08163265306122448,0.02040816326530612,0.0,49.0,-5.541666666666667,0.04081632653061224
m,4,47.0,-4.840909090909091,0.11940298507462686,0.13432835820895522,0.746268656716418,0.0,0.0,0.06382978723404255,0.06382978723404255,0.0,47.0,-6.533333333333333,0.10638297872340426
m,5,57.0,1.7777777777777777,0.5288461538461539,0.0,0.40865384615384615,0.0,0.0625,0.08771929824561403,0.05263157894736842,0.017543859649122806,56.0,3.9423076923076925,0.21428571428571427
m,6,56.0,10.814814814814815,0.3643312101910828,0.0,0.5936305732484076,0.0,0.04203821656050955,0.16071428571428573,0.03571428571428571,0.017857142857142856,56.0,6.588235294117647,0.23214285714285715
m,7,56.0,5.62962962962963,0.2138157894736842,0.0,0.6661184210526315,0.0,0.12006578947368421,0.125,0.03571428571428571,0.0,56.0,-3.3207547169811322,0.10714285714285714
m,8,55.0,14.0,0.46875,0.0,0.34375,0.0,0.1875,0.2,0.0,0.01818181818181818,56.0,5.055555555555555,0.19642857142857142
m,9,47.0,1.2553191489361701,0.9125364431486881,0.0,0.08746355685131195,0.0,0.0,0.06382978723404255,0.0,0.0,47.0,-7.468085106382978,0.10638297872340426
m,10,52.0,-6.769230769230769,0.0,0.0,0.759493670886076,0.0,0.24050632911392406,0.057692307692307696,0.0,0.0,52.0,-15.788461538461538,0.057692307692307696
m,11,52.0,-3.730769230769231,0.0,0.4810126582278481,0.0,0.0,0.5189873417721519,0.057692307692307696,0.0,0.019230769230769232,52.0,-10.346153846153847,0.07692307692307693
m,12,52.0,24.8,0.0856353591160221,0.0,0.8287292817679558,0.0,0.0856353591160221,0.19230769230769232,0.038461538461538464,0.0,54.0,-9.775510204081632,0.09259259259259259
d,1,101.0,8.316326530612244,0.3769808173477898,0.22018348623853212,0.195162635529608,0.0,0.20767306088407006,0.15841584158415842,0.0297029702970297,0.009900990099009901,102.0,-0.11,0.16666666666666666
d,2,72.0,8.690140845070422,0.08617234468937876,0.0,0.872745490981964,0.0,0.041082164328657314,0.1111111111111111,0.013888888888888888,0.0,74.0,-6.217391304347826,0.10810810810810811
d,3,83.0,4.481927710843373,0.28734439834024894,0.03941908713692946,0.6556016597510373,0.0,0.017634854771784232,0.10843373493975904,0.0,0.012048192771084338,83.0,-4.827160493827161,0.0963855421686747
d,4,103.0,11.858585858585858,0.521763085399449,0.009917355371900827,0.46831955922865015,0.0,0.0,0.11650485436893204,0.038834951456310676,0.009708737864077669,103.0,-10.494845360824742,0.05825242718446602
d,5,105.0,0.04040404040404041,0.2599337748344371,0.0,0.4155629139072848,0.0,0.32450331125827814,0.06666666666666667,0.05714285714285714,0.0,105.0,-4.425742574257426,0.10476190476190476
d,6,54.0,1.9074074074074074,0.5373831775700935,0.0,0.46261682242990654,0.0,0.0,0.1111111111111111,0.0,0.0,53.0,-8.74,0.07547169811320754
d,7,103.0,-5.891089108910891,0.5503875968992248,0.0,0.4496124031007752,0.0,0.0,0.04854368932038835,0.019417475728155338,0.009708737864077669,103.0,-3.881188118811881,0.14563106796116504
h,0600-0659,306.0,6.747474747474747,0.4981981981981982,0.0960960960960961,0.4057057057057057,0.0,0.0,0.11764705882352941,0.029411764705882353,0.006535947712418301,2.0,-3.0,0.0
h,0900-0959,59.0,1.5517241379310345,0.704954954954955,0.0,0.29504504504504503,0.0,0.0,0.0847457627118644,0.01694915254237288,0.0,0.0,0.0,0.0
h,1200-1259,254.0,1.5887096774193548,0.10495133305120609,0.0,0.6821836648328397,0.0,0.2128650021159543,0.08661417322834646,0.023622047244094488,0.007874015748031496,0.0,0.0,0.0
h,1000-1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,-11.004347826086956,0.07203389830508475
h,1100-1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-13.722222222222221,0.05555555555555555
h,1700-1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-21.5,0.0
h,1800-1859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,-0.12797619047619047,0.14488636363636365
