Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,626.0,3.099009900990099,0.1345213137665968,0.037037037037037035,0.25593990216631723,0.0,0.572501747030049,0.11022364217252396,0.03354632587859425,0.003194888178913738,626.0,-3.459234608985025,0.10702875399361023
m,1,52.0,6.38,0.08925318761384335,0.051001821493624776,0.331511839708561,0.0,0.5282331511839709,0.15384615384615385,0.038461538461538464,0.0,52.0,4.52,0.19230769230769232
m,2,50.0,9.319148936170214,0.6717752234993615,0.02554278416347382,0.27330779054916987,0.0,0.02937420178799489,0.08,0.06,0.0,50.0,-8.347826086956522,0.04
m,3,54.0,8.884615384615385,0.0,0.0,0.35096774193548386,0.0,0.6490322580645161,0.18518518518518517,0.037037037037037035,0.0,54.0,1.1538461538461537,0.16666666666666666
m,4,51.0,-5.408163265306122,0.043010752688172046,0.0,0.46236559139784944,0.0,0.4946236559139785,0.0392156862745098,0.0392156862745098,0.0,51.0,-13.142857142857142,0.0392156862745098
m,5,53.0,5.588235294117647,0.010606060606060607,0.15454545454545454,0.22424242424242424,0.0,0.6106060606060606,0.16981132075471697,0.03773584905660377,0.0,53.0,-6.2,0.1320754716981132
m,6,52.0,-2.276595744680851,0.0,0.0,0.41533546325878595,0.0,0.5846645367412141,0.057692307692307696,0.09615384615384616,0.019230769230769232,53.0,-5.51063829787234,0.09433962264150944
m,7,52.0,13.392156862745098,0.1944739638682253,0.044633368756641874,0.09032943676939426,0.0,0.6705632306057385,0.21153846153846154,0.019230769230769232,0.0,52.0,1.5098039215686274,0.11538461538461539
m,8,54.0,0.32075471698113206,0.0,0.0,0.5675675675675675,0.0,0.43243243243243246,0.1111111111111111,0.037037037037037035,0.0,54.0,-2.981132075471698,0.14814814814814814
m,9,53.0,-2.5283018867924527,0.0,0.0,0.28169014084507044,0.0,0.7183098591549296,0.05660377358490566,0.0,0.018867924528301886,52.0,-4.333333333333333,0.057692307692307696
m,10,52.0,-4.1923076923076925,0.0,0.0,0.0,0.0,1.0,0.038461538461538464,0.0,0.0,52.0,-8.76923076923077,0.038461538461538464
m,11,51.0,2.92,0.0,0.0,0.0387409200968523,0.0,0.9612590799031477,0.09803921568627451,0.0196078431372549,0.0,51.0,0.94,0.09803921568627451
m,12,52.0,4.9411764705882355,0.0017574692442882249,0.0351493848857645,0.22144112478031636,0.0,0.7416520210896309,0.11538461538461539,0.019230769230769232,0.0,52.0,-1.14,0.15384615384615385
d,1,104.0,10.05,0.023477157360406092,0.0266497461928934,0.2201776649746193,0.0,0.7296954314720813,0.14423076923076922,0.038461538461538464,0.0,104.0,3.67,0.1346153846153846
d,2,104.0,3.8613861386138613,0.43292181069958846,0.0,0.3069958847736626,0.0,0.26008230452674896,0.11538461538461539,0.028846153846153848,0.009615384615384616,104.0,-5.96,0.10576923076923077
d,3,104.0,1.8080808080808082,0.0,0.0,0.19325842696629214,0.0,0.8067415730337079,0.09615384615384616,0.04807692307692308,0.0,104.0,-5.989690721649485,0.08653846153846154
d,4,104.0,-1.9108910891089108,0.0,0.05384615384615385,0.26346153846153847,0.0,0.6826923076923077,0.09615384615384616,0.028846153846153848,0.009615384615384616,103.0,-6.161616161616162,0.0970873786407767
d,5,106.0,5.0,0.15079365079365079,0.01763668430335097,0.31922398589065254,0.0,0.5123456790123457,0.12264150943396226,0.018867924528301886,0.0,107.0,-1.2019230769230769,0.12149532710280374
d,6,53.0,-1.411764705882353,0.12698412698412698,0.15873015873015872,0.0,0.0,0.7142857142857143,0.07547169811320754,0.03773584905660377,0.0,53.0,-3.9411764705882355,0.07547169811320754
d,7,51.0,0.98,0.07604562737642585,0.38783269961977185,0.2813688212927757,0.0,0.25475285171102663,0.09803921568627451,0.0392156862745098,0.0,51.0,-6.66,0.11764705882352941
h,1000-1059,263.0,3.88671875,0.2193221659524737,0.03506038176860148,0.25438254772107516,0.0,0.4912349045578496,0.11406844106463879,0.026615969581749048,0.0,18.0,-5.529411764705882,0.05555555555555555
h,1200-1259,51.0,-1.2448979591836735,0.12698412698412698,0.15873015873015872,0.0,0.0,0.7142857142857143,0.0784313725490196,0.0392156862745098,0.0,0.0,0.0,0.0
h,1700-1759,311.0,3.03,0.06301550643352029,0.03365225998020455,0.2678983833718245,0.0,0.6354338502144506,0.10932475884244373,0.03858520900321544,0.003215434083601286,0.0,0.0,0.0
h,0700-0759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,-3.854330708661417,0.10646387832699619
h,0900-0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,-2.3125,0.09090909090909091
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,-3.12751677852349,0.11254019292604502
