Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,398.0,7.274869109947644,0.1855721393034826,0.005472636815920398,0.44850746268656716,0.0037313432835820895,0.3567164179104478,0.21608040201005024,0.04020100502512563,0.005025125628140704,398.0,2.3558441558441556,0.1708542713567839
m,1,31.0,0.06896551724137931,0.02197802197802198,0.0,0.3956043956043956,0.0,0.5824175824175825,0.16129032258064516,0.06451612903225806,0.03225806451612903,31.0,5.6,0.1935483870967742
m,2,37.0,2.735294117647059,0.026200873362445413,0.0,0.6746724890829694,0.0,0.29912663755458513,0.1891891891891892,0.08108108108108109,0.0,37.0,10.352941176470589,0.2702702702702703
m,3,44.0,4.545454545454546,0.0,0.0,0.8622047244094488,0.0,0.1377952755905512,0.2727272727272727,0.0,0.0,44.0,12.568181818181818,0.29545454545454547
m,4,34.0,14.030303030303031,0.15298507462686567,0.0,0.1921641791044776,0.0,0.6548507462686567,0.14705882352941177,0.029411764705882353,0.0,33.0,0.5,0.12121212121212122
m,5,26.0,6.5,0.696551724137931,0.0,0.0,0.0,0.30344827586206896,0.19230769230769232,0.07692307692307693,0.0,26.0,-6.416666666666667,0.07692307692307693
m,6,25.0,5.541666666666667,0.08247422680412371,0.0,0.010309278350515464,0.0,0.9072164948453608,0.12,0.04,0.0,26.0,1.8846153846153846,0.11538461538461539
m,7,27.0,2.5925925925925926,0.028985507246376812,0.0,0.6811594202898551,0.0,0.2898550724637681,0.18518518518518517,0.0,0.0,27.0,-7.703703703703703,0.07407407407407407
m,8,27.0,20.0,0.15417558886509636,0.0,0.4346895074946467,0.0,0.41113490364025695,0.2962962962962963,0.037037037037037035,0.0,26.0,14.576923076923077,0.23076923076923078
m,9,23.0,-2.0,0.42105263157894735,0.0,0.5789473684210527,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,23.0,-10.304347826086957,0.043478260869565216
m,10,23.0,9.25,0.1050228310502283,0.0,0.8447488584474886,0.0,0.0502283105022831,0.2608695652173913,0.13043478260869565,0.0,23.0,-0.5,0.17391304347826086
m,11,39.0,4.0256410256410255,0.5845410628019324,0.0,0.14492753623188406,0.0,0.27053140096618356,0.15384615384615385,0.0,0.0,40.0,-5.025,0.125
m,12,62.0,14.338983050847459,0.3516355140186916,0.02570093457943925,0.37383177570093457,0.017523364485981307,0.23130841121495327,0.3709677419354839,0.04838709677419355,0.0,62.0,3.389830508474576,0.1935483870967742
d,1,97.0,4.228260869565218,0.21145975443383355,0.017735334242837655,0.5115961800818554,0.0,0.2592087312414734,0.1958762886597938,0.05154639175257732,0.010309278350515464,67.0,-2.3484848484848486,0.13432835820895522
d,2,28.0,4.928571428571429,0.24324324324324326,0.030405405405405407,0.3885135135135135,0.0,0.33783783783783783,0.25,0.0,0.0,28.0,4.464285714285714,0.25
d,3,58.0,11.982142857142858,0.2654761904761905,0.0,0.45595238095238094,0.0,0.2785714285714286,0.25862068965517243,0.034482758620689655,0.0,57.0,3.8181818181818183,0.17543859649122806
d,4,28.0,4.777777777777778,0.27672955974842767,0.0,0.5408805031446541,0.04716981132075472,0.13522012578616352,0.25,0.03571428571428571,0.0,59.0,7.859649122807017,0.2033898305084746
d,5,99.0,10.957446808510639,0.0594059405940594,0.0,0.40234023402340235,0.0,0.5382538253825383,0.23232323232323232,0.050505050505050504,0.0,69.0,2.4925373134328357,0.15942028985507245
d,6,60.0,6.305084745762712,0.2510460251046025,0.0,0.3702928870292887,0.0,0.3786610878661088,0.16666666666666666,0.016666666666666666,0.016666666666666666,60.0,-3.2982456140350878,0.1
d,7,28.0,1.9230769230769231,0.09016393442622951,0.0,0.5491803278688525,0.0,0.36065573770491804,0.17857142857142858,0.07142857142857142,0.0,58.0,5.454545454545454,0.22413793103448276
h,0001-0559,215.0,6.1352657004830915,0.11541565778853914,0.00887812752219532,0.46448748991121874,0.006053268765133172,0.40516545601291365,0.22325581395348837,0.037209302325581395,0.009302325581395349,0.0,0.0,0.0
h,1100-1159,45.0,10.636363636363637,0.6253369272237197,0.0,0.3611859838274933,0.0,0.013477088948787063,0.28888888888888886,0.022222222222222223,0.0,111.0,-3.8425925925925926,0.09009009009009009
h,1300-1359,111.0,5.283018867924528,0.19464033850493653,0.0,0.38081805359661497,0.0,0.4245416078984485,0.14414414414414414,0.04504504504504504,0.0,0.0,0.0,0.0
h,1800-1859,27.0,19.24,0.19480519480519481,0.0,0.5367965367965368,0.0,0.2683982683982684,0.3333333333333333,0.07407407407407407,0.0,0.0,0.0,0.0
h,0700-0759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.411764705882353,0.17647058823529413
h,0800-0859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,-4.535714285714286,0.10714285714285714
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.28,0.25925925925925924
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,10.38,0.24271844660194175
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1.514018691588785,0.17857142857142858
