Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,137092,8.701058923366418,0.3081413433198351,0.07223054027893082,0.2538103748926004,0.0006221020232816969,0.36519563948535194,0.16328450967233682,0.012043007615324015,0.0025603244536515626,137092,0.5966835238116456,0.14521635106351938
m,1,11660,5.932892906815021,0.33837252706233667,0.04165500186636805,0.2892170586039567,0.00012831280328480776,0.33062709966405374,0.14159519725557462,0.014150943396226415,0.0018867924528301887,11642,-2.4276839618514305,0.12557979728568974
m,2,11094,3.8646493930059793,0.33473192160396487,0.019627168281144403,0.3428700157693174,0.0002111962153638207,0.3025596981302095,0.11420587705065802,0.005137912385073012,0.002523886785649901,11086,-6.310407569141193,0.09272956882554573
m,3,11780,9.745101394712073,0.28833296401855235,0.05366271117801227,0.3067936090713898,0.0005730746601667265,0.35063764107187884,0.1769949066213922,0.008404074702886248,0.0028862478777589135,11769,3.986913473956091,0.17427139094230606
m,4,11174,7.395415472779369,0.2538050226298714,0.13897344494733047,0.2681139103616774,0.00022029078383466175,0.33888733127728604,0.14855915518167173,0.03177018077680329,0.001968856273492035,11176,-0.21304630231047603,0.13842161775232642
m,5,11840,11.16462421801354,0.29630050614799314,0.10583641457331791,0.21050942424830002,0.001491030415683233,0.3858626246147057,0.16824324324324325,0.01680743243243243,0.002702702702702703,11854,1.577132957990472,0.15446262864855745
m,6,11747,14.97449113304796,0.270304631661572,0.13423471728567718,0.19942290790295567,0.0005196039954230627,0.3955181391543721,0.21171362901166255,0.026474844641184984,0.0037456371839618627,11763,6.885848388239461,0.18651704497152086
m,7,11683,11.688324080499653,0.2901718812661381,0.04908782619096198,0.2539593197920258,0.0005980314212744401,0.40618294132959976,0.1943850038517504,0.01360951810322691,0.004279722673970727,11681,4.212751091703057,0.1689067716805068
m,8,11677,11.958012958963282,0.258711121921405,0.07167224852034103,0.2736542743278388,0.0006361442176361629,0.39532621101277904,0.21092746424595357,0.009420227798235849,0.002312237732294254,11677,5.645724258289703,0.2012503211441295
m,9,10780,4.467224546722455,0.3267000064947717,0.07666428525037344,0.2780281873092161,0.0,0.31860752094563877,0.12022263450834879,0.002319109461966605,0.0016697588126159556,10775,-3.5322867021773665,0.11099767981438514
m,10,11571,4.600816255644321,0.371646549443818,0.015202773253142881,0.2869871500368932,0.0030489078227456876,0.3231146194434003,0.1191772534785239,0.0049261083743842365,0.0018148820326678765,11570,-5.1428198660520135,0.09049265341400173
m,11,10886,5.37338976812661,0.3522713588010972,0.047420887134542046,0.26110925269284807,0.0,0.3391985013715127,0.13365790924122725,0.0017453610141466103,0.0015616388021311776,10879,-4.2775265343793265,0.10984465483959922
m,12,11200,12.605635070663427,0.4068455968819105,0.034264963649407225,0.1842601563482261,8.875017565138931e-05,0.37454053294480477,0.21241071428571429,0.008482142857142856,0.0032142857142857142,11220,6.127755692085291,0.18128342245989304
d,1,20585,8.771739130434783,0.30607286249759247,0.06593379458840146,0.23958101841563328,0.00015309322389637072,0.3882592312744764,0.16526597036677193,0.021374787466601895,0.0023803740587806654,20674,0.9667841715902885,0.14704459707845602
d,2,19109,6.741775360405556,0.30266011756958416,0.06732761797739233,0.283006784719579,0.0011781124825548728,0.34582736725088964,0.14218431105761684,0.009524307917735099,0.002825893558009315,19030,-1.4043120930729,0.12490803993694168
d,3,19825,7.799562385507836,0.2815197804039896,0.08572730701533819,0.2744583438102422,0.00019906126896320508,0.3580955075014668,0.14940731399747792,0.009129886506935688,0.00287515762925599,19845,0.25935951785075845,0.14583018392542202
d,4,20658,10.225230076365772,0.2902606084291503,0.06732213011909415,0.2634963078758459,0.0004196063105498077,0.37850134726535983,0.18094684867847807,0.011617775196049956,0.002565592022461032,20655,2.838507786319732,0.16828854998789639
d,5,21097,9.603148699241624,0.3027585478919452,0.0927447375597055,0.2690067996094403,0.00013194584942339665,0.3353579690894857,0.17666018865241503,0.013651230032706073,0.0024174053182917004,21080,1.6634745598761849,0.1532258064516129
d,6,16327,7.252403846153846,0.37493617276905056,0.04705944192472892,0.22630132460276936,0.001186435587060343,0.3505166251163908,0.14877197280578183,0.00667605806333068,0.00244992956452502,16578,-1.4265156154317207,0.12613101701049584
d,7,19491,10.098952933858595,0.32237176114388044,0.06942021360065723,0.2167068206363712,0.00140308124024997,0.39009812337884114,0.1749525421989636,0.010825509209378687,0.0024113693499563903,19230,0.7096535308119545,0.1456058242329693
h,0001-0559,1651,2.4518109269490487,0.6435623200329083,0.1060263266145619,0.14037433155080214,0.0,0.11003702180172768,0.07692307692307693,0.013325257419745608,0.0006056935190793458,9939,-4.968154822854802,0.08592413723714659
h,0600-0659,1924,5.301678908709339,0.5379804481146396,0.03819296860768717,0.30208270083186595,0.003946809156597243,0.11779707328921003,0.11226611226611227,0.009875259875259876,0.0015592515592515593,15772,-3.5575049990324454,0.08546791782906417
h,0700-0759,11471,3.056947007645663,0.47776170252485184,0.06320685739176428,0.28972791338031456,0.0005600410696784431,0.1687434856333909,0.09266846831139396,0.008107401272774824,0.001743527155435446,8066,-3.391150888692802,0.10215720307463427
h,0800-0859,7141,3.7635927128936593,0.39465836039498975,0.08927032937901783,0.23480681291006694,0.005611151611549252,0.2756533457043763,0.10376697941464781,0.008402184567987676,0.0018204733230639965,8480,-1.5797553370112738,0.11804245283018867
h,0900-0959,9530,4.031051964512041,0.3540110216738163,0.09964492858405231,0.2596841310390257,0.0006426631962854067,0.2860172555068203,0.10944386149003148,0.0066107030430220355,0.0026232948583420775,7235,-1.9334079462786793,0.1243953006219765
h,1000-1059,9425,4.963474721508141,0.3371956067253614,0.08899914607932628,0.3040252053826448,0.002561762021141898,0.26721827979152557,0.12986737400530504,0.010079575596816976,0.001803713527851459,6457,-1.9593406593406593,0.11863094316245934
h,1100-1159,7011,6.268429372036212,0.3243227643527782,0.05433276897029398,0.2440549484377405,0.0,0.3772895182391873,0.1407787762088147,0.007416916274425902,0.0027100271002710027,9933,-0.6649241492414925,0.13822611497030102
h,1200-1259,9289,6.7562751276757576,0.2953245065181655,0.0723051240554076,0.3378486868094759,0.00015291883832655817,0.2943687637786245,0.1415652922811928,0.01011949617827538,0.002799009581225105,8202,1.5837356108429261,0.15496220434040478
h,1300-1359,10107,8.02148496052763,0.25317493594223156,0.08493827160493828,0.35270440251572327,0.0006522245515956208,0.3085301653855113,0.15177599683387752,0.011180370040565945,0.0027703571781933314,7326,-0.008748784890987363,0.14591864591864592
h,1400-1459,9723,9.726016006652115,0.2768078358029095,0.10182301959914777,0.2811364227940113,9.640505548110943e-06,0.3402230812983833,0.18152833487606707,0.011004833899002366,0.002776920703486578,9724,2.9311213775724485,0.16844919786096257
h,1500-1559,9593,11.025559780312632,0.2638374873088134,0.07039924016637736,0.28641961156781187,0.00038482952870664525,0.3789588314282907,0.18388408214322943,0.013655790680704681,0.0036484936933180445,9354,5.476408912188728,0.1870857387214026
h,1600-1659,5497,14.793753465163556,0.2644817163515676,0.06137616310081195,0.241569371184733,0.0,0.4325727493628875,0.21957431326177915,0.015826814626159723,0.002364926323449154,7114,3.9639833548572248,0.18639302783244308
h,1700-1759,10708,13.252493587916785,0.27230350210099424,0.044097571370540795,0.2573801168032923,0.00025305160254916195,0.4259657581226235,0.2096563317146059,0.017837131116921926,0.0028950317519611506,9224,5.220565495913409,0.19102341717259325
h,1800-1859,5391,15.016368767638758,0.2558170922636722,0.06989958430059925,0.23922960643524266,0.0015386276521081898,0.4335150893483777,0.24336857725839361,0.014654053051381934,0.004080875533296235,9347,4.455568914635479,0.19963624692414678
h,1900-1959,14048,13.74779656119058,0.3094356581847754,0.07258116292507544,0.17053309649667217,3.7451580456695274e-05,0.4474126308130203,0.21504840546697038,0.015304669703872438,0.0027761958997722094,5296,2.3441608662026296,0.17314954682779457
h,2000-2059,3094,11.329272308198881,0.2569458586681407,0.06830942891222762,0.19657871003403835,0.0,0.47816600238559337,0.21525533290239174,0.018422753716871364,0.0022624434389140274,2626,10.108108108108109,0.25704493526275707
