Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,5974.0,-0.9901089689857502,0.2972340193836437,0.048840248284874224,0.03223347489927039,0.0007078296852880323,0.6209844277469236,0.06863073317710076,0.0016739203213927017,0.0008369601606963508,6140.0,-0.4226753670473083,0.0745928338762215
m,1,492.0,-2.7560975609756095,0.36126840317100795,0.05436013590033975,0.0,0.0,0.5843714609286523,0.03861788617886179,0.0,0.0,492.0,-2.7637474541751526,0.052845528455284556
m,2,465.0,-2.1530172413793105,0.16467065868263472,0.005988023952095809,0.014970059880239521,0.0,0.8143712574850299,0.053763440860215055,0.002150537634408602,0.004301075268817204,465.0,-0.9137931034482759,0.06451612903225806
m,3,517.0,-1.6453488372093024,0.1705685618729097,0.1505016722408027,0.014214046822742474,0.0,0.6647157190635451,0.06769825918762089,0.0019342359767891683,0.0019342359767891683,517.0,-0.402321083172147,0.08123791102514506
m,4,503.0,-1.5447316103379722,0.7484240687679083,0.004584527220630372,0.0,0.0,0.24699140401146133,0.039761431411530816,0.0,0.0,503.0,-2.548707753479125,0.04970178926441352
m,5,516.0,-0.5786407766990291,0.20335570469798658,0.012751677852348993,0.0,0.0,0.7838926174496644,0.09108527131782945,0.001937984496124031,0.0,516.0,-0.5155038759689923,0.0872093023255814
m,6,511.0,-0.7788649706457925,0.22679200940070504,0.0099882491186839,0.033490011750881316,0.0,0.7297297297297297,0.07632093933463796,0.0,0.003913894324853229,511.0,0.25098039215686274,0.07240704500978473
m,7,531.0,2.1136363636363638,0.1925754060324826,0.024196221411998675,0.04673516738481936,0.0,0.7364932051706994,0.11299435028248588,0.005649717514124294,0.0,543.0,2.537037037037037,0.11786372007366483
m,8,531.0,-2.3679245283018866,0.24099485420240138,0.0,0.04631217838765009,0.0,0.7126929674099486,0.06591337099811675,0.0018832391713747645,0.0,562.0,-0.6078431372549019,0.06761565836298933
m,9,466.0,-1.1394849785407726,0.573502722323049,0.09437386569872959,0.03508771929824561,0.0,0.2970356926799758,0.060085836909871244,0.0,0.0,496.0,-1.6633064516129032,0.07459677419354839
m,10,483.0,-1.6666666666666667,0.30560420315236425,0.0,0.0542907180385289,0.0,0.6401050788091068,0.043478260869565216,0.002070393374741201,0.0,515.0,-1.2592592592592593,0.038834951456310676
m,11,468.0,-2.047008547008547,0.2119205298013245,0.03421633554083885,0.10816777041942605,0.0,0.6456953642384106,0.053418803418803416,0.0,0.0,498.0,-0.8835341365461847,0.06626506024096386
m,12,491.0,2.462167689161554,0.17248376623376624,0.14569805194805194,0.036525974025974024,0.005275974025974026,0.6400162337662337,0.11405295315682282,0.004073319755600814,0.0,522.0,3.2629558541266794,0.11685823754789272
d,1,879.0,-1.2684869169510808,0.5345536047814718,0.02540156892043332,0.038475905864774,0.0,0.4015689204333209,0.05233219567690557,0.0,0.0011376564277588168,903.0,-1.4900221729490022,0.059800664451827246
d,2,858.0,-2.6600467289719627,0.21641791044776118,0.04228855721393035,0.009950248756218905,0.0,0.7313432835820896,0.0641025641025641,0.0034965034965034965,0.002331002331002331,881.0,-1.2727272727272727,0.08172531214528944
d,3,828.0,-0.5503030303030303,0.1791907514450867,0.06466763005780347,0.03757225433526012,0.0,0.7185693641618497,0.07246376811594203,0.0036231884057971015,0.0,852.0,0.6223529411764706,0.07629107981220658
d,4,877.0,0.8070776255707762,0.206559444970041,0.06338694418164617,0.046357615894039736,0.004099653106275623,0.6795963418479974,0.10832383124287344,0.0011402508551881414,0.002280501710376283,901.0,0.6666666666666666,0.10321864594894561
d,5,921.0,-0.4206521739130435,0.31698485845951285,0.04707044107965767,0.031270572745227126,0.0,0.6046741277156024,0.06406080347448426,0.0010857763300760044,0.0,945.0,0.10934182590233546,0.06878306878306878
