Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,2475.0,-2.2759885854056257,0.26467182643671155,0.044122128100432687,0.0801998903041014,0.0031080504601133526,0.607898104698641,0.10626262626262627,0.010505050505050505,0.0036363636363636364,2476.0,-1.2451060358890702,0.11591276252019386
m,1,186.0,-6.149171270718232,0.15,0.020588235294117647,0.047058823529411764,0.0,0.7823529411764706,0.10215053763440861,0.03225806451612903,0.016129032258064516,186.0,-7.910614525139665,0.06451612903225806
m,2,174.0,-9.497109826589595,0.38791946308724834,0.14630872483221477,0.12885906040268458,0.0,0.33691275167785234,0.08045977011494253,0.005747126436781609,0.0,174.0,-11.203488372093023,0.028735632183908046
m,3,186.0,-2.864864864864865,0.28987854251012146,0.0,0.09149797570850203,0.0,0.6186234817813765,0.0913978494623656,0.005376344086021506,0.005376344086021506,186.0,-3.345945945945946,0.10215053763440861
m,4,180.0,-4.516666666666667,0.4126984126984127,0.0,0.03373015873015873,0.0,0.5535714285714286,0.044444444444444446,0.0,0.0,180.0,-3.5555555555555554,0.06666666666666667
m,5,215.0,-2.227906976744186,0.62,0.0,0.08137931034482758,0.01793103448275862,0.2806896551724138,0.10232558139534884,0.0,0.0,215.0,-1.6511627906976745,0.09302325581395349
m,6,262.0,-4.934615384615385,0.09169363538295577,0.0,0.10140237324703344,0.0,0.8069039913700108,0.09541984732824428,0.011450381679389313,0.003816793893129771,262.0,0.2595419847328244,0.1450381679389313
m,7,273.0,-2.286764705882353,0.22473726758286175,0.03152789005658852,0.12368633791430882,0.008084074373484237,0.6119644300727567,0.10989010989010989,0.003663003663003663,0.0,273.0,0.16176470588235295,0.1575091575091575
m,8,271.0,1.0774907749077491,0.13810861423220974,0.14794007490636704,0.04073033707865169,0.007022471910112359,0.6661985018726592,0.12177121771217712,0.0036900369003690036,0.0,271.0,0.37174721189591076,0.1070110701107011
m,9,194.0,-2.295336787564767,0.2945205479452055,0.0,0.1386986301369863,0.0,0.5667808219178082,0.09278350515463918,0.010309278350515464,0.015463917525773196,194.0,-0.21243523316062177,0.10309278350515463
m,10,181.0,0.7222222222222222,0.45133689839572194,0.05561497326203209,0.06149732620320856,0.0,0.43155080213903746,0.09944751381215469,0.0055248618784530384,0.0,181.0,0.13812154696132597,0.09392265193370165
m,11,174.0,-1.263157894736842,0.07743097238895558,0.037815126050420166,0.1056422569027611,0.0,0.7791116446578632,0.10344827586206896,0.017241379310344827,0.0,174.0,-0.23976608187134502,0.13793103448275862
m,12,179.0,6.6104651162790695,0.1679178190438562,0.028447254049782694,0.07941525088897669,0.0,0.7242196760173845,0.22905027932960895,0.03910614525139665,0.00558659217877095,180.0,10.109826589595375,0.26666666666666666
d,1,356.0,-2.8619718309859157,0.28611898016997167,0.0,0.0906515580736544,0.0,0.623229461756374,0.11235955056179775,0.0028089887640449437,0.0056179775280898875,356.0,-1.2102272727272727,0.12078651685393259
d,2,357.0,-4.322033898305085,0.1442687747035573,0.1422924901185771,0.13965744400527008,0.0,0.5737812911725956,0.08123249299719888,0.014005602240896359,0.0056022408963585435,357.0,-1.7943661971830986,0.11764705882352941
d,3,357.0,-0.8207282913165266,0.28228346456692915,0.04173228346456693,0.09763779527559055,0.0,0.5783464566929134,0.08683473389355742,0.0,0.0028011204481792717,357.0,-0.1601123595505618,0.12324929971988796
d,4,354.0,-4.401146131805158,0.24636723910171732,0.0,0.08124174372523117,0.0,0.6723910171730515,0.09322033898305085,0.01694915254237288,0.002824858757062147,354.0,-1.7885714285714285,0.11299435028248588
d,5,363.0,0.20055710306406685,0.22710843373493975,0.06204819277108434,0.05903614457831325,0.00783132530120482,0.6439759036144578,0.14049586776859505,0.011019283746556474,0.0027548209366391185,363.0,-0.30362116991643456,0.1322314049586777
d,6,332.0,-0.8212121212121212,0.18638743455497384,0.048167539267015703,0.04991273996509599,0.0,0.7155322862129145,0.12349397590361445,0.006024096385542169,0.0,363.0,-0.5279329608938548,0.11019283746556474
d,7,356.0,-2.891117478510029,0.4498816101026046,0.022888713496448304,0.07971586424625099,0.009865824782951855,0.43764798737174426,0.10674157303370786,0.02247191011235955,0.0056179775280898875,326.0,-3.1335403726708075,0.09202453987730061
h,0800-0859,176.0,-5.198863636363637,0.27247191011235955,0.0,0.20224719101123595,0.07303370786516854,0.45224719101123595,0.0625,0.0,0.0,62.0,5.306451612903226,0.14516129032258066
h,0900-0959,554.0,2.03473491773309,0.2933799342105263,0.1235608552631579,0.07483552631578948,0.0,0.5082236842105263,0.1407942238267148,0.01263537906137184,0.009025270758122744,0.0,0.0,0.0
h,1200-1259,105.0,-2.6285714285714286,0.06418918918918919,0.0,0.18412162162162163,0.04222972972972973,0.7094594594594594,0.10476190476190476,0.0,0.0,156.0,1.1324503311258278,0.10897435897435898
h,1300-1359,470.0,-1.7004310344827587,0.24286126334006344,0.0,0.07528122295933083,0.0,0.6818575137006058,0.11914893617021277,0.014893617021276596,0.0,0.0,0.0,0.0
h,1600-1659,372.0,-2.145945945945946,0.3600400600901352,0.02303455182774161,0.06309464196294441,0.0,0.5538307461191788,0.09408602150537634,0.005376344086021506,0.008064516129032258,265.0,-3.7099236641221376,0.09811320754716982
h,1700-1759,364.0,-2.994475138121547,0.1908237747653806,0.019464720194647202,0.11470281543274244,0.0,0.6750086896072297,0.09065934065934066,0.005494505494505495,0.0,99.0,-0.45918367346938777,0.10101010101010101
h,1800-1859,99.0,-4.606060606060606,0.023297491039426525,0.0,0.0017921146953405018,0.0,0.974910394265233,0.08080808080808081,0.0,0.0,366.0,-2.002754820936639,0.09836065573770492
h,2000-2059,335.0,-7.218181818181818,0.3875147232037691,0.012367491166077738,0.03121319199057715,0.0,0.568904593639576,0.09253731343283582,0.023880597014925373,0.0029850746268656717,0.0,0.0,0.0
h,0700-0759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.0,-2.726550079491256,0.11912225705329153
h,1000-1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-1.161904761904762,0.10476190476190476
h,1100-1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.5686900958466453,0.14968152866242038
h,1400-1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,-2.181132075471698,0.12359550561797752
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,2.0980392156862746,0.10784313725490197
