Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,1140.0,8.776491540516474,0.4902140113407719,0.0,0.09438448875068593,0.0,0.41540149990854214,0.13508771929824562,0.014912280701754385,0.0,1141.0,5.5846702317290555,0.17002629272567923
m,1,87.0,-3.4367816091954024,0.08681672025723473,0.0,0.1414790996784566,0.0,0.7717041800643086,0.04597701149425287,0.0,0.0,88.0,-2.590909090909091,0.09090909090909091
m,2,86.0,1.4588235294117646,0.2911813643926789,0.0,0.059900166389351084,0.0,0.64891846921797,0.09302325581395349,0.011627906976744186,0.0,86.0,-2.2941176470588234,0.09302325581395349
m,3,93.0,10.755555555555556,0.28694404591104733,0.0,0.05954088952654232,0.0,0.6535150645624104,0.16129032258064516,0.03225806451612903,0.0,93.0,9.555555555555555,0.20430107526881722
m,4,86.0,8.313253012048193,0.8318098720292505,0.0,0.027422303473491772,0.0,0.14076782449725778,0.05813953488372093,0.03488372093023256,0.0,86.0,3.566265060240964,0.16279069767441862
m,5,65.0,6.234375,0.8766467065868263,0.0,0.12095808383233533,0.0,0.0023952095808383233,0.06153846153846154,0.015384615384615385,0.0,65.0,7.328125,0.09230769230769231
m,6,83.0,3.925925925925926,0.6047227926078029,0.0,0.16837782340862423,0.0,0.2268993839835729,0.07228915662650602,0.024096385542168676,0.0,83.0,5.2592592592592595,0.13253012048192772
m,7,62.0,13.360655737704919,0.5702938840349484,0.0,0.11517077045274027,0.0,0.3145353455123114,0.1935483870967742,0.016129032258064516,0.0,62.0,15.918032786885245,0.24193548387096775
m,8,101.0,24.474747474747474,0.4848595403137541,0.0,0.05800802626778548,0.0,0.45713243341846044,0.25742574257425743,0.019801980198019802,0.0,101.0,18.232323232323232,0.3069306930693069
m,9,118.0,5.512820512820513,0.3760361718161266,0.0,0.1838733986435569,0.0,0.4400904295403165,0.16101694915254236,0.00847457627118644,0.0,118.0,2.247863247863248,0.19491525423728814
m,10,123.0,-1.3495934959349594,0.015479876160990712,0.0,0.15944272445820434,0.0,0.8250773993808049,0.07317073170731707,0.0,0.0,123.0,-3.130081300813008,0.10569105691056911
m,11,114.0,5.578947368421052,0.4707297514033681,0.0,0.09061748195669607,0.0,0.43865276663993585,0.14035087719298245,0.0,0.0,114.0,0.911504424778761,0.10526315789473684
m,12,122.0,27.756302521008404,0.5196374622356495,0.0,0.08207452165156093,0.0,0.3982880161127895,0.2459016393442623,0.02459016393442623,0.0,122.0,15.940677966101696,0.2786885245901639
