Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,1046.0,5.194906953966699,0.07679726414392982,0.08021708423165563,0.5427105791390975,0.0,0.3002750724853171,0.16443594646271512,0.02390057361376673,0.0028680688336520078,1046.0,8.529411764705882,0.2045889101338432
m,1,93.0,10.376470588235295,0.24287564766839378,0.09909326424870467,0.3316062176165803,0.0,0.32642487046632124,0.20430107526881722,0.08602150537634409,0.0,93.0,12.788235294117648,0.26881720430107525
m,2,101.0,10.732673267326733,0.1488673139158576,0.0,0.5183387270765911,0.0,0.33279395900755127,0.16831683168316833,0.0,0.0,101.0,18.71,0.27722772277227725
m,3,114.0,13.070175438596491,0.0,0.0,0.9874934861907243,0.0,0.012506513809275664,0.22807017543859648,0.0,0.008771929824561403,114.0,23.57017543859649,0.3508771929824561
m,4,95.0,5.913978494623656,0.18490878938640132,0.0,0.3855721393034826,0.0,0.4295190713101161,0.18947368421052632,0.021052631578947368,0.010526315789473684,94.0,8.76086956521739,0.19148936170212766
m,5,85.0,-2.3095238095238093,0.0472972972972973,0.011824324324324325,0.22972972972972974,0.0,0.7111486486486487,0.11764705882352941,0.011764705882352941,0.0,85.0,1.8571428571428572,0.2
m,6,81.0,-1.2,0.18788819875776397,0.043478260869565216,0.07763975155279502,0.0,0.6909937888198758,0.16049382716049382,0.012345679012345678,0.012345679012345678,81.0,3.876543209876543,0.19753086419753085
m,7,84.0,9.452380952380953,0.0,0.011879804332634521,0.469601677148847,0.0,0.5185185185185185,0.21428571428571427,0.0,0.0,84.0,12.666666666666666,0.19047619047619047
m,8,84.0,13.646341463414634,0.0,0.45703544575725025,0.4892588614393126,0.0,0.05370569280343716,0.21428571428571427,0.023809523809523808,0.0,84.0,9.048780487804878,0.21428571428571427
m,9,70.0,4.614285714285714,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,70.0,-0.12857142857142856,0.15714285714285714
m,10,69.0,-1.7868852459016393,0.0,0.0,0.7258485639686684,0.0,0.2741514360313316,0.11594202898550725,0.11594202898550725,0.0,69.0,-4.032786885245901,0.08695652173913043
m,11,77.0,-2.5194805194805197,0.017716535433070866,0.0,0.14173228346456693,0.0,0.8405511811023622,0.05194805194805195,0.0,0.0,78.0,1.8205128205128205,0.08974358974358974
m,12,93.0,-3.8333333333333335,0.00196078431372549,0.045098039215686274,0.6862745098039216,0.0,0.26666666666666666,0.07526881720430108,0.03225806451612903,0.0,93.0,0.9662921348314607,0.12903225806451613
d,1,165.0,2.0,0.022181146025878003,0.0,0.6383240911891559,0.0,0.3394947627849661,0.15151515151515152,0.006060606060606061,0.0,165.0,7.181818181818182,0.22424242424242424
d,2,129.0,9.348837209302326,0.026381909547738693,0.3563651591289782,0.3907035175879397,0.0,0.22654941373534337,0.16279069767441862,0.0,0.0,129.0,7.2047244094488185,0.1937984496124031
d,3,117.0,5.017241379310345,0.14850136239782016,0.0,0.3480926430517711,0.0,0.5034059945504087,0.1452991452991453,0.008547008547008548,0.0,116.0,14.85344827586207,0.25862068965517243
d,4,155.0,1.5695364238410596,0.08048937540244688,0.0180296200901481,0.5344494526722473,0.0,0.36703155183515773,0.13548387096774195,0.025806451612903226,0.01935483870967742,156.0,5.856209150326797,0.1794871794871795
d,5,168.0,9.333333333333334,0.1037344398340249,0.04937759336099585,0.5929460580912863,0.0,0.25394190871369293,0.21428571428571427,0.05357142857142857,0.0,168.0,12.789808917197453,0.23214285714285715
d,6,147.0,5.578571428571428,0.14878706199460917,0.0215633423180593,0.6571428571428571,0.0,0.1725067385444744,0.17687074829931973,0.047619047619047616,0.0,147.0,8.215827338129497,0.1836734693877551
d,7,165.0,4.234567901234568,0.030176415970287838,0.01903435468895079,0.6230269266480966,0.0,0.3277623026926648,0.15757575757575756,0.01818181818181818,0.0,165.0,5.098159509202454,0.1696969696969697
h,0700-0759,78.0,-8.092105263157896,0.0,0.0,1.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0
h,0800-0859,77.0,-5.054054054054054,0.057736720554272515,0.053117782909930716,0.8891454965357968,0.0,0.0,0.03896103896103896,0.03896103896103896,0.0,150.0,7.466216216216216,0.17333333333333334
