Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,96569,13.488470848019023,0.2933811463370311,0.031236720824070644,0.2387156893420907,0.0004003394003653609,0.4362661040964422,0.2034503826279655,0.025463658109745362,0.0023299402499767008,96586,10.509189685352004,0.25099910960180566
m,1,8028,10.289034326165353,0.34696790872815153,0.02163772269993818,0.22217726072050806,0.00015736525599955038,0.4090597425954027,0.17750373692077728,0.06751370204285002,0.001245640259093174,8035,5.342548076923077,0.20958307405102675
m,2,7879,18.62486559139785,0.25494891331062813,0.050447666865629716,0.196011376005056,0.0,0.49859204381868616,0.24508186318060668,0.056986927275034904,0.000634598299276558,7880,16.265350578624915,0.2932741116751269
m,3,8302,11.419468810916179,0.25556770235718224,0.007263988146327801,0.28950245295122107,0.0006956804568000506,0.4469701760884689,0.21452662009154422,0.011924837388581066,0.002409058058299205,8302,10.800097871299242,0.28005299927728255
m,4,7752,8.991247550620509,0.3127479091995221,0.0182078853046595,0.23851851851851852,0.0002867383512544803,0.4302389486260454,0.15892672858617132,0.012899896800825593,0.001676986584107327,7747,6.067383324593602,0.2110494384923196
m,5,8032,8.863989962358845,0.30250076597183334,0.011526555451078172,0.2927702824058911,0.0002852584758745285,0.3929171376953228,0.17131474103585656,0.008715139442231075,0.00398406374501992,8036,7.594645550527903,0.24402687904430065
m,6,8418,17.337726723095525,0.2876785483738454,0.01282848792854544,0.25126465651811597,0.0009859039213154775,0.4472424032581777,0.24530767403183654,0.018294131622713233,0.003563791874554526,8417,14.843925006087169,0.2966615183557087
m,7,8497,26.600371057513915,0.30086701851271325,0.06759223075832986,0.23391893226605745,0.0003821924102599338,0.3972396260526395,0.27327291985406615,0.05225373661292221,0.00435447805107685,8498,21.117558402411454,0.3050129442221699
m,8,8688,17.36600996914313,0.271146456539715,0.029664623765747362,0.25851208716377255,0.0002553626149131767,0.44042146991585196,0.23031767955801105,0.0315377532228361,0.004258747697974218,8689,14.149934344037245,0.2665439060881574
m,9,8156,9.21076011846002,0.31247285934230784,0.0154652402194939,0.26187280407405944,0.0,0.4101890963641388,0.16760666993624326,0.006743501716527709,0.002574791564492398,8153,6.770905492330529,0.21832454311296456
m,10,7985,8.557044410413477,0.33795007023683366,0.03525396160386426,0.2194716218547453,0.0005545013184809129,0.4067698449860759,0.15929868503443959,0.018910457107075767,0.0007514088916718848,7994,3.0938303341902316,0.18213660245183888
m,11,7438,12.207725553754727,0.24971904041495568,0.0102334125783445,0.16170304733088395,0.0004430516533390966,0.5779014480224768,0.20744823877386395,0.004974455498789997,0.0005377789728421619,7441,13.778680753081403,0.28867087757021903
m,12,7394,11.612091369169745,0.33097072419106316,0.04985337243401759,0.22774491773945027,0.0005865102639296188,0.3908444753715393,0.1801460643765215,0.011360562618339193,0.001352447930754666,7394,5.62032598274209,0.20800649175006763
d,1,14846,14.278310407114075,0.2704000699193742,0.03819782812943824,0.21233639958922368,0.00037144667555225383,0.4786942556864116,0.20901252862723965,0.0317930755759127,0.0018860299070456688,14852,12.812565299157205,0.26568812281174253
d,2,14774,12.815452417022449,0.265673559842117,0.014782954580224411,0.23939032332795693,0.00044147794577252086,0.47971168430392913,0.20786516853932585,0.017936916204142412,0.0022336537159875457,14787,11.849163555924235,0.26543585581930074
d,3,14873,10.090248749400397,0.30314777981005603,0.01927168597923521,0.296007550832138,8.532013715212047e-05,0.38148766324141864,0.17535130773885566,0.0198345996100316,0.0029583809587843744,14865,5.760292393628026,0.2101580894719139
d,4,15006,15.412450565934815,0.274948458811699,0.0223286910673588,0.24345688982415817,8.15340831880603e-05,0.459184426213596,0.2227109156337465,0.0234572837531654,0.0019325603092096495,14995,14.033822722283205,0.2898299433144381
d,5,15165,17.638536221060495,0.2702295979684185,0.03438570089909324,0.23484761397165121,0.00020552693273695688,0.46033156022810007,0.244774151005605,0.029607649192218925,0.002637652489284537,15165,15.85924960559709,0.2978569073524563
d,6,9521,10.770144739684596,0.4024165870572834,0.07608003396667021,0.22813395605562042,0.0020079255563811346,0.2913614973640449,0.15996218884570948,0.028358365717886778,0.0031509295242096416,9327,2.9402059572583323,0.1707944676744934
d,7,12384,12.143759348512548,0.3482667130616328,0.03580904329023158,0.21525193087978525,0.0004784480883824105,0.4001938646799679,0.1847545219638243,0.028746770025839793,0.001695736434108527,12595,6.8473978000328355,0.22167526796347756
h,0001-0559,1366,-0.6026785714285714,0.5638741998330087,0.03562482605065405,0.3345393821319232,0.0,0.06596159198441413,0.048316251830161056,0.016105417276720352,0.0021961932650073207,1212,-2.269425675675676,0.09323432343234324
h,0600-0659,6693,0.9354789505796217,0.6243043831676358,0.03657850309510411,0.31097980366410305,0.005533670981054211,0.022603639092102796,0.05483340803824892,0.0210667861945316,0.0016435081428357986,9543,-1.320351893573651,0.11327674735408153
h,0700-0759,6683,2.060947737315252,0.5765003053350358,0.0758618775328929,0.29939488147449067,0.0006384278021428968,0.04760450785543774,0.07317073170731707,0.018554541373634596,0.001645967379919198,6557,-0.2964581057887346,0.14000305017538509
h,0800-0859,6702,5.145564821834723,0.4857664761629169,0.034363018158142224,0.23835274542429286,0.00023511538739781523,0.24128264486725023,0.10384959713518353,0.01611459265890779,0.001193673530289466,5139,-1.9531746031746031,0.13485113835376533
h,0900-0959,7995,6.976586489252814,0.38308773981920585,0.02846680991189147,0.2926652511665162,0.00011442665886870176,0.2956657724435177,0.13658536585365855,0.02263914946841776,0.0008755472170106316,5355,1.1193029490616622,0.16694677871148458
h,1000-1059,5305,7.801805262147109,0.362149749060133,0.015019352927014463,0.29336815008241196,0.0,0.32946274793044056,0.14910461828463714,0.018473138548539113,0.0022620169651272385,6087,2.5717398592021454,0.18334154756037457
h,1100-1159,6605,8.430576982412836,0.3138163177073683,0.013896609227348526,0.2433913902785498,0.0003088135383855228,0.4285868692483478,0.16048448145344435,0.01922785768357305,0.0025738077214231643,6989,4.6139018691588785,0.19487766490198885
