Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,715.0,-1.1991584852734922,0.49493873201917954,0.06632924880127863,0.07725093233883858,0.009323388385721897,0.35215769845498135,0.043356643356643354,0.002797202797202797,0.0,715.0,-7.204225352112676,0.04895104895104895
m,1,55.0,14.8,0.9609175870858114,0.0,0.02888700084961767,0.0,0.010195412064570943,0.05454545454545454,0.0,0.0,55.0,-11.181818181818182,0.05454545454545454
m,2,57.0,-6.0,0.0,0.0,0.40350877192982454,0.0,0.5964912280701754,0.03508771929824561,0.0,0.0,57.0,-11.842105263157896,0.03508771929824561
m,3,62.0,-4.290322580645161,0.13513513513513514,0.0,0.21621621621621623,0.0,0.6486486486486487,0.06451612903225806,0.0,0.0,62.0,-6.278688524590164,0.04838709677419355
m,4,60.0,-7.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-11.983333333333333,0.03333333333333333
m,5,59.0,-5.1525423728813555,0.1,0.0,0.03333333333333333,0.0,0.8666666666666667,0.01694915254237288,0.0,0.0,59.0,-7.779661016949152,0.03389830508474576
m,6,60.0,-6.2,0.0,0.0,0.0,0.0,1.0,0.016666666666666666,0.0,0.0,60.0,-8.666666666666666,0.03333333333333333
m,7,60.0,-3.216666666666667,0.0,0.0,0.0,0.0,1.0,0.016666666666666666,0.0,0.0,60.0,-2.6,0.03333333333333333
m,8,62.0,-3.4516129032258065,0.0375,0.0,0.03125,0.0,0.93125,0.016129032258064516,0.0,0.0,62.0,-5.209677419354839,0.016129032258064516
m,9,59.0,-1.4915254237288136,0.0,0.0,0.0,0.0,1.0,0.03389830508474576,0.0,0.0,59.0,-4.241379310344827,0.06779661016949153
m,10,62.0,-5.870967741935484,1.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,62.0,-9.5,0.016129032258064516
m,11,58.0,-4.241379310344827,0.0,0.0,0.0,0.0,1.0,0.034482758620689655,0.0,0.0,58.0,-10.206896551724139,0.06896551724137931
m,12,61.0,19.389830508474578,0.435546875,0.162109375,0.13020833333333334,0.022786458333333332,0.24934895833333334,0.19672131147540983,0.03278688524590164,0.0,61.0,2.793103448275862,0.14754098360655737
d,1,103.0,-2.5533980582524274,0.04040404040404041,0.0,0.13383838383838384,0.0,0.8257575757575758,0.05825242718446602,0.0,0.0,103.0,-6.594059405940594,0.05825242718446602
d,2,101.0,-5.98,0.0,0.0,0.07352941176470588,0.0,0.9264705882352942,0.019801980198019802,0.009900990099009901,0.0,101.0,-7.38,0.039603960396039604
d,3,101.0,-5.445544554455446,0.31645569620253167,0.0,0.27848101265822783,0.0,0.4050632911392405,0.019801980198019802,0.0,0.0,102.0,-7.77,0.029411764705882353
d,4,103.0,13.03921568627451,0.8404099560761347,0.0,0.04343582235236701,0.0,0.1161542215714983,0.04854368932038835,0.009708737864077669,0.0,103.0,-6.300970873786408,0.05825242718446602
d,5,104.0,-3.375,0.05952380952380952,0.21666666666666667,0.15476190476190477,0.0,0.569047619047619,0.04807692307692308,0.0,0.0,105.0,-6.685714285714286,0.047619047619047616
d,6,103.0,-2.058252427184466,0.043478260869565216,0.4579710144927536,0.02608695652173913,0.0,0.47246376811594204,0.06796116504854369,0.0,0.0,102.0,-9.5,0.06862745098039216
d,7,100.0,-2.11,0.1385390428211587,0.0,0.11838790931989925,0.08816120906801007,0.654911838790932,0.04,0.0,0.0,99.0,-6.202020202020202,0.04040404040404041
h,0001-0559,354.0,-6.417613636363637,0.14395886889460155,0.6401028277634961,0.2159383033419023,0.0,0.0,0.01694915254237288,0.005649717514124294,0.0,0.0,0.0,0.0
h,0600-0659,8.0,-5.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,1100-1159,59.0,1.2881355932203389,0.020134228187919462,0.0,0.016778523489932886,0.0,0.9630872483221476,0.03389830508474576,0.0,0.0,293.0,-2.0205479452054793,0.08191126279863481
h,1200-1259,291.0,4.676975945017182,0.5930311231393776,0.0,0.04905277401894452,0.011840324763193504,0.34607577807848444,0.07560137457044673,0.0,0.0,0.0,0.0,0.0
h,1000-1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.08771929824561403,0.03508771929824561
h,1700-1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-6.636363636363637,0.18181818181818182
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,-19.318181818181817,0.022727272727272728
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,-14.8,0.007633587786259542
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,-9.554913294797688,0.022857142857142857
