Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,5853.0,4.150789519347562,0.27576400679117147,0.05545415959252971,0.17529711375212223,0.002058573853989813,0.49142614601018675,0.10627028874081668,0.016060140099094483,0.0030753459764223477,5861.0,1.8449921888561014,0.15031564579423307
m,1,471.0,0.3577586206896552,0.2922192749778957,0.1931918656056587,0.05968169761273209,0.0,0.45490716180371354,0.07643312101910828,0.016985138004246284,0.0021231422505307855,472.0,-0.8642241379310345,0.1228813559322034
m,2,460.0,-2.4724061810154527,0.43662952646239556,0.0,0.1107242339832869,0.0,0.45264623955431754,0.04565217391304348,0.015217391304347827,0.0,461.0,-5.5131578947368425,0.0824295010845987
m,3,517.0,7.203921568627451,0.2516396272005523,0.07783914394200897,0.21108042802899551,0.0,0.45944080082844324,0.13152804642166344,0.013539651837524178,0.0,517.0,4.276470588235294,0.16054158607350097
m,4,515.0,5.104627766599598,0.32109058134294727,0.11153672825597116,0.1712483100495719,0.0,0.3961243803515097,0.1087378640776699,0.03495145631067961,0.001941747572815534,516.0,2.2404809619238475,0.15891472868217055
m,5,503.0,3.247983870967742,0.20089418777943369,0.061400894187779435,0.2599105812220566,0.0,0.47779433681073025,0.1172962226640159,0.017892644135188866,0.009940357852882704,502.0,2.453061224489796,0.1454183266932271
m,6,469.0,8.537444933920705,0.16208368915456875,0.02596071733561059,0.24543125533731852,0.011101622544833475,0.5554227156276687,0.1535181236673774,0.03411513859275053,0.008528784648187633,469.0,7.590308370044053,0.21535181236673773
m,7,456.0,12.009029345372461,0.27586206896551724,0.012719050310910118,0.1455624646693047,0.0,0.565856416054268,0.16228070175438597,0.02850877192982456,0.0043859649122807015,456.0,6.929384965831435,0.2149122807017544
m,8,500.0,6.9393939393939394,0.21183453904655908,0.1272491189018735,0.1563717306622148,0.0,0.5045446113893526,0.142,0.01,0.008,504.0,3.3634538152610443,0.17261904761904762
m,9,458.0,-0.4461538461538462,0.33258300506471583,0.011254924029262802,0.2442318514350028,0.0,0.41193021947101854,0.07205240174672489,0.006550218340611353,0.0,460.0,-1.301969365426696,0.11739130434782609
