Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,43591.0,6.64107022791032,0.2600630622902581,0.053532761977546084,0.22888544030527763,0.001369902183265358,0.45614883324365285,0.14035007226262303,0.010827923195154963,0.0021793489481773762,43597,2.822879171408003,0.1656536000183499
m,1,3320.0,4.246017156862745,0.2814966384098217,0.05680600214362272,0.2153366462048134,0.0005359056806002144,0.44582480756114196,0.11596385542168675,0.01716867469879518,0.0006024096385542169,3325,-0.8814024390243902,0.14045112781954888
m,2,3147.0,3.228884590586718,0.2812976022566996,0.014217207334273625,0.2509449929478138,0.0,0.453540197461213,0.0969176993962504,0.014934858595487766,0.0015888147442008262,3147,-2.5448966408268734,0.11757229107086113
m,3,3650.0,6.197019867549669,0.25001527463799106,0.04179140954359382,0.2550864544510295,0.0006415347956253436,0.45246532657176025,0.1345205479452055,0.0073972602739726025,0.0013698630136986301,3651,2.3545981772990885,0.1687208983840044
m,4,3622.0,5.191048951048951,0.22127200585538734,0.08563503987056512,0.19692592164567202,3.852228514195462e-05,0.4961285103432336,0.12921038100496962,0.013252346769740474,0.0016565433462175593,3626,1.9538719597428011,0.15554329840044126
m,5,3902.0,8.868598034143817,0.2389252175623187,0.1275628103643247,0.2217168985692512,0.0032941639215300655,0.40850090958257534,0.16273705791901588,0.009482316760635571,0.004100461301896463,3902,4.339661898569571,0.18170169144028703
m,6,3894.0,9.174487943997926,0.27314036873121433,0.02267294629967103,0.18296925662083166,0.0011123470522803114,0.5201050812960026,0.1689779147406266,0.010015408320493066,0.004365690806368772,3890,7.7524675324675325,0.21079691516709512
m,7,3950.0,13.013371046541527,0.2349376549893472,0.0641088330830219,0.21876637211414202,0.0003318081799448151,0.48185533163354405,0.21164556962025316,0.015443037974683544,0.0027848101265822785,3947,9.44927536231884,0.23486192044590828
m,8,3844.0,8.019752436133789,0.23856098387643443,0.041713068319372486,0.25955067060475473,0.0,0.46017527719943835,0.15218522372528617,0.01222684703433923,0.003121748178980229,3844,6.209370037056644,0.20213319458896983
m,9,3528.0,2.6459398069278817,0.23518954248366014,0.060444444444444446,0.2405751633986928,0.0009934640522875817,0.46279738562091505,0.09722222222222222,0.0017006802721088435,0.001984126984126984,3530,-0.2854302754899176,0.12209631728045325
m,10,3658.0,2.443926514943789,0.2647612769563989,0.009087484697240794,0.3436764290422827,0.0003295978905735003,0.3821452114135041,0.09021323127392017,0.0032804811372334607,0.0010934937124111536,3658,-1.8999725199230557,0.1038819026790596
m,11,3530.0,3.0102214650766608,0.30365193868349866,0.02479711451758341,0.21043733092876465,0.001690712353471596,0.4594229035166817,0.10339943342776203,0.0022662889518413596,0.00141643059490085,3533,-2.351006521122767,0.11519954712708746
m,12,3546.0,12.111656087709175,0.3173066938046481,0.04683378678684916,0.20955783089991484,0.004942989470186297,0.4213586990384016,0.20219966159052452,0.023406655386350818,0.0014100394811054709,3544,7.657522379439792,0.21275395033860045
d,1,6471.0,6.451185277604492,0.2889272113242797,0.03608895595315082,0.1971330028023281,0.0006826183803980743,0.47716821153984335,0.13676402410755678,0.009117601607170452,0.003090712409210323,6444,2.5984646717844275,0.16294227188081936
d,2,6474.0,5.556334735857877,0.2158349399377132,0.07112931929408275,0.2467929704879134,0.0012234910277324632,0.4650192792525582,0.13515600864998456,0.008958912573370404,0.0023169601482854493,6446,2.108705882352941,0.16056469128141482
d,3,6458.0,5.517311608961304,0.26008201659767166,0.04518686957028745,0.2532602569335121,0.0004081394670864673,0.44106271743144226,0.12728398885103748,0.011923196035924434,0.002322700526478786,6500,2.034267912772586,0.1549230769230769
d,4,6540.0,8.498919085855466,0.19036316886515436,0.08395332207464208,0.21974226725698723,0.0010954402300424482,0.5048458015731739,0.1636085626911315,0.009938837920489297,0.001987767584097859,6559,4.956339990710636,0.18890074706510138
d,5,6601.0,7.536883991429446,0.24328006539614355,0.0353908541569828,0.2423824712689737,8.014233278302265e-05,0.4788664668451169,0.15134070595364338,0.010452961672473868,0.0013634297833661567,6606,4.27758170937548,0.18468059339993945
d,6,4970.0,6.0122399020807835,0.3747768457606808,0.055024332982807955,0.21102443080384437,0.0045731334523489275,0.3546012570003179,0.12152917505030181,0.014285714285714285,0.0014084507042253522,4929,1.1858644137646817,0.13978494623655913
d,7,6077.0,6.732478774762777,0.2914675892873487,0.04479469859227122,0.229556812565215,0.0025262232961722223,0.4316546762589928,0.14201086062201745,0.012012506170807964,0.0026328780648346224,6113,2.1179385530227948,0.16064125633894977
h,0001-0559,2343.0,2.691240242844753,0.6981899064273661,0.10354348826507133,0.184537505752416,0.008206780181009357,0.005522319374137137,0.06103286384976526,0.016645326504481434,0.0012804097311139564,796,-2.31025641025641,0.0992462311557789
h,0600-0659,3842.0,2.4993401953021905,0.5405257642717208,0.11772745910975443,0.25750603672149075,0.008064148708369401,0.07617659118866463,0.0650702758979698,0.013794898490369599,0.0013014055179593961,1821,-7.455808782657032,0.03898956617243273
h,0700-0759,3315.0,1.0554033485540335,0.46350807738969413,0.16097311793627483,0.3321626971457761,0.00529978928548624,0.03805631824276866,0.06636500754147813,0.009653092006033183,0.0030165912518853697,2790,-5.524936294139061,0.06989247311827956
h,0800-0859,2335.0,2.341980112408128,0.4186494186494186,0.14807114807114807,0.2751982751982752,0.006314006314006314,0.15176715176715178,0.07494646680942184,0.009421841541755889,0.0021413276231263384,3222,-3.234394506866417,0.08814400993171943
h,0900-0959,2239.0,3.509706546275395,0.37961998958875587,0.043011452368558044,0.2379619989588756,0.0002602811035918792,0.3391462779802186,0.1013845466726217,0.011165698972755694,0.0,2550,-2.5256714060031595,0.09333333333333334
h,1000-1059,2676.0,3.14543404735062,0.36124176857949203,0.020189594037195165,0.18575873796946232,0.0,0.4328098994138505,0.08893871449925261,0.005605381165919282,0.0018684603886397607,3481,-1.116575065085334,0.10341855788566504
h,1100-1159,2125.0,3.7041785375118708,0.21568045140693445,0.013215531962283762,0.32645333729304327,0.0,0.4446506793377385,0.11764705882352941,0.009411764705882352,0.0018823529411764706,2212,-0.8088705989940558,0.12839059674502712
h,1200-1259,2375.0,4.909592529711375,0.24237318731572297,0.04542992959865214,0.28984896804861904,0.0010229255671219688,0.4213249894698839,0.11157894736842106,0.008,0.002105263157894737,3106,1.4865040650406505,0.1516419832582099
h,1300-1359,2947.0,6.639221045439016,0.19187156606787983,0.05576121264076686,0.3068230526438842,0.0005065658730467989,0.44503760277442234,0.14794706481167288,0.0067865626060400405,0.003053953172718018,2649,4.81048233953665,0.18082295205738014
h,1400-1459,2850.0,6.244074991156703,0.3061011282908483,0.04007521938988717,0.2265357292101964,0.0005432511491851233,0.42674467195988297,0.12596491228070175,0.008421052631578947,0.002456140350877193,1753,4.572910662824207,0.1853964632059327
h,1500-1559,2589.0,7.9375,0.20479235688419756,0.05085137529855921,0.2514446413437091,0.0,0.49291162647353415,0.15025106218617226,0.006179992275009656,0.0027037466203167246,3575,3.0606060606060606,0.1695104895104895
h,1600-1659,1956.0,10.938437661665805,0.23026487190620928,0.039730785931393835,0.24316109422492402,0.0,0.48684324793747286,0.19938650306748465,0.011758691206543968,0.002556237218813906,2633,9.339127076091154,0.24306874287884542
h,1700-1759,3809.0,11.257423117709438,0.22917020914810407,0.040426798163577624,0.18823329365754124,0.0002975684407413705,0.5418721305900357,0.20635337358886846,0.009713835652402206,0.002887897085849304,2516,7.857316578840697,0.21740858505564387
h,1800-1859,3887.0,12.456732026143792,0.1375586018633909,0.041184499436235235,0.20099697347338438,0.0003362807350701244,0.6199236444919194,0.22948289169024955,0.016207872395163365,0.0030872137895549268,2106,8.629110251450676,0.23694207027540362
h,1900-1959,2340.0,14.599393676916414,0.11114919195381087,0.025783659803327093,0.18908017189106535,0.0,0.6739869763517967,0.26153846153846155,0.013247863247863248,0.0017094017094017094,2778,9.10770354143848,0.25593952483801297
h,2000-2059,1448.0,12.213735108619481,0.15651290977661736,0.02789865583599265,0.16038100763949328,0.0,0.6552074267478967,0.23549723756906077,0.015193370165745856,0.0020718232044198894,3213,10.760304375396322,0.2679738562091503
h,2100-2159,465.0,12.302631578947368,0.08714561855670103,0.02883376288659794,0.1209729381443299,0.0,0.7630476804123711,0.2709677419354839,0.01935483870967742,0.0,1478,11.203983516483516,0.2821380243572395
h,2200-2259,50.0,17.270833333333332,0.03307888040712468,0.0,0.12849872773536897,0.0,0.8384223918575063,0.38,0.04,0.0,903,2.0324384787472036,0.17054263565891473
h,2300-2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,-4.642857142857143,0.06666666666666667
