Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,2223.0,6.2830446672743845,0.28405469726917026,0.0346093340325118,0.2076560041950708,0.0,0.4736799645032471,0.11470985155195682,0.01349527665317139,0.002249212775528565,2219.0,2.7021470991320236,0.15502478593961244
m,1,194.0,-2.4587628865979383,0.5136612021857924,0.0,0.19562841530054645,0.0,0.2907103825136612,0.04639175257731959,0.0,0.005154639175257732,194.0,-5.4974093264248705,0.04639175257731959
m,2,191.0,-4.742105263157895,0.23118279569892472,0.0,0.043010752688172046,0.0,0.7258064516129032,0.04712041884816754,0.005235602094240838,0.0,191.0,-5.094736842105263,0.12041884816753927
m,3,165.0,8.781818181818181,0.2914691943127962,0.032701421800947865,0.42417061611374407,0.0,0.25165876777251184,0.12121212121212122,0.0,0.0,165.0,3.9454545454545453,0.1696969696969697
m,4,186.0,2.9831460674157304,0.41416309012875535,0.1459227467811159,0.259656652360515,0.0,0.18025751072961374,0.07526881720430108,0.043010752688172046,0.0,186.0,-0.27932960893854747,0.11290322580645161
m,5,198.0,7.994818652849741,0.30962343096234307,0.0,0.26317991631799165,0.0,0.4271966527196653,0.15151515151515152,0.025252525252525252,0.005050505050505051,197.0,1.5235602094240839,0.15228426395939088
m,6,160.0,21.516129032258064,0.2758895379713224,0.10860329261816251,0.25517790759426445,0.0,0.3603292618162507,0.225,0.03125,0.0,160.0,11.683870967741935,0.26875
m,7,204.0,13.638190954773869,0.35734624145785876,0.0071184510250569474,0.09965831435079726,0.0,0.535876993166287,0.14705882352941177,0.024509803921568627,0.00980392156862745,203.0,11.141414141414142,0.2019704433497537
m,8,179.0,9.610169491525424,0.09534619750283768,0.01362088535754824,0.2762012864169504,0.0,0.6148316307226637,0.18435754189944134,0.01675977653631285,0.0,180.0,13.759776536312849,0.2611111111111111
m,9,183.0,-1.355191256830601,0.125,0.0,0.095,0.0,0.78,0.07650273224043716,0.0,0.00546448087431694,183.0,-2.2131147540983607,0.11475409836065574
m,10,186.0,6.575268817204301,0.25614849187935035,0.0,0.08863109048723898,0.0,0.6552204176334107,0.08602150537634409,0.0,0.0,186.0,-0.5913978494623656,0.11290322580645161
