Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,2527.0,8.790967226219024,0.5123176859909303,0.018905503125383014,0.11686481186419904,0.0,0.35191199901948766,0.11634349030470914,0.009893153937475268,0.002374356944994064,2529.0,5.011995201919232,0.17754052985369712
m,1,216.0,9.683720930232559,0.5947492426792326,0.00572197913160552,0.0851565129585998,0.0,0.3143722652305621,0.10185185185185185,0.004629629629629629,0.0,219.0,5.802752293577981,0.1872146118721461
m,2,95.0,11.0,0.44287729196050774,0.0,0.15585331452750353,0.0,0.4012693935119887,0.18947368421052632,0.010526315789473684,0.010526315789473684,91.0,6.191011235955056,0.21978021978021978
m,3,186.0,2.7747252747252746,0.45461147421931736,0.011619462599854757,0.13870733478576616,0.0,0.3950617283950617,0.06989247311827956,0.021505376344086023,0.0,188.0,3.5053763440860215,0.13297872340425532
m,4,306.0,0.9672131147540983,0.3235843186060983,0.0,0.11387678904791537,0.0,0.5625388923459863,0.0718954248366013,0.0032679738562091504,0.0,307.0,-0.40460526315789475,0.12052117263843648
m,5,264.0,4.3816793893129775,0.4374738603094939,0.0,0.18444165621079048,0.0,0.3780844834797156,0.10227272727272728,0.007575757575757576,0.0,263.0,2.3984674329501914,0.155893536121673
m,6,286.0,10.028169014084508,0.3996905621454358,0.03739040742650851,0.0959257349149046,0.0,0.4669932955131511,0.12937062937062938,0.006993006993006993,0.0034965034965034965,288.0,7.091228070175439,0.1875
m,7,165.0,4.30625,0.029819694868238558,0.0,0.4507628294036061,0.0,0.5194174757281553,0.12121212121212122,0.030303030303030304,0.012121212121212121,163.0,8.525316455696203,0.2085889570552147
m,8,173.0,15.088757396449704,0.675974025974026,0.001948051948051948,0.08116883116883117,0.0,0.2409090909090909,0.1791907514450867,0.023121387283236993,0.0,174.0,10.488095238095237,0.28160919540229884
m,9,145.0,18.2,0.8064214463840399,0.0,0.031795511221945134,0.0,0.16178304239401498,0.12413793103448276,0.0,0.0,145.0,4.062068965517241,0.13793103448275862
m,10,244.0,4.827868852459017,0.6430390492359932,0.1400679117147708,0.06706281833616298,0.0,0.149830220713073,0.09016393442622951,0.0,0.0,245.0,-1.2040816326530612,0.10204081632653061
m,11,259.0,9.996124031007753,0.5527497194163861,0.028900112233445567,0.10213243546576879,0.0,0.3162177328843995,0.11583011583011583,0.003861003861003861,0.007722007722007722,258.0,2.603112840466926,0.16279069767441862
m,12,188.0,24.17391304347826,0.44648203592814373,0.0,0.11770209580838323,0.0,0.43581586826347307,0.18085106382978725,0.02127659574468085,0.0,188.0,18.762162162162163,0.324468085106383
d,1,364.0,9.277777777777779,0.5932872655478776,0.05153010858835143,0.12161895360315893,0.0,0.23356367226061203,0.09615384615384616,0.01098901098901099,0.0,365.0,4.621546961325967,0.1726027397260274
d,2,382.0,8.33157894736842,0.557062382641352,0.045900271228875446,0.06592948049238473,0.0,0.33110786563738787,0.112565445026178,0.005235602094240838,0.005235602094240838,387.0,5.415143603133159,0.17829457364341086
d,3,383.0,8.328947368421053,0.5330535152151101,0.0,0.2111227701993704,0.0,0.2558237145855194,0.10966057441253264,0.007832898172323759,0.0026109660574412533,379.0,5.037533512064343,0.17150395778364116
d,4,372.0,7.891304347826087,0.45654640344905834,0.02337190832766054,0.10982527796687089,0.0,0.41025641025641024,0.14516129032258066,0.010752688172043012,0.0,376.0,7.830645161290323,0.2074468085106383
d,5,377.0,6.152815013404826,0.3722608919824697,0.0,0.10363495746326373,0.0,0.5241041505542665,0.11671087533156499,0.010610079575596816,0.0,361.0,7.050420168067227,0.19390581717451524
d,6,298.0,13.068027210884354,0.7901626338754463,0.0,0.04264180880602935,0.0,0.1671955573185244,0.11073825503355705,0.013422818791946308,0.003355704697986577,281.0,-1.6618705035971224,0.13523131672597866
d,7,351.0,9.461095100864553,0.22732123799359658,0.007043756670224119,0.16542155816435433,0.0,0.600213447171825,0.1225071225071225,0.011396011396011397,0.005698005698005698,380.0,5.162234042553192,0.1736842105263158
h,0001-0559,193.0,2.6473684210526316,0.44279835390946504,0.013991769547325103,0.5432098765432098,0.0,0.0,0.06217616580310881,0.015544041450777202,0.0,2.0,-17.5,0.0
