Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,117.0,22.560439560439562,0.4397928355632283,0.0,0.27967198964177814,0.0,0.2805351747949935,0.18803418803418803,0.2222222222222222,0.0,117.0,5.88421052631579,0.1794871794871795
m,1,32.0,11.681818181818182,0.011799410029498525,0.0,0.7492625368731564,0.0,0.23893805309734514,0.15625,0.3125,0.0,32.0,7.0,0.15625
m,2,32.0,20.464285714285715,0.05098684210526316,0.0,0.4654605263157895,0.0,0.48355263157894735,0.25,0.125,0.0,32.0,8.366666666666667,0.28125
m,3,34.0,6.916666666666667,0.05865102639296188,0.0,0.2991202346041056,0.0,0.6422287390029325,0.17647058823529413,0.29411764705882354,0.0,34.0,5.291666666666667,0.14705882352941177
m,4,3.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-15.333333333333334,0.0
m,12,16.0,76.57142857142857,0.9368318756073858,0.0,0.008746355685131196,0.0,0.05442176870748299,0.1875,0.125,0.0,16.0,4.214285714285714,0.125
d,1,15.0,38.8,0.05555555555555555,0.0,0.5666666666666667,0.0,0.37777777777777777,0.4,0.3333333333333333,0.0,15.0,8.3,0.2
d,2,15.0,-2.4615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,15.0,-7.384615384615385,0.06666666666666667
d,3,15.0,0.4166666666666667,0.0,0.0,0.09836065573770492,0.0,0.9016393442622951,0.13333333333333333,0.2,0.0,15.0,2.5,0.2
d,4,15.0,1.3636363636363635,0.0,0.0,0.41509433962264153,0.0,0.5849056603773585,0.06666666666666667,0.26666666666666666,0.0,15.0,3.3076923076923075,0.2
d,5,17.0,35.45454545454545,0.0022522522522522522,0.0,0.5405405405405406,0.0,0.4572072072072072,0.23529411764705882,0.35294117647058826,0.0,17.0,27.923076923076923,0.29411764705882354
d,6,24.0,53.666666666666664,0.8219983207388749,0.0,0.018471872376154493,0.0,0.15952980688497062,0.16666666666666666,0.125,0.0,24.0,7.476190476190476,0.16666666666666666
d,7,16.0,12.307692307692308,0.09134615384615384,0.0,0.7403846153846154,0.0,0.16826923076923078,0.3125,0.1875,0.0,16.0,-1.6153846153846154,0.125
h,1300-1359,7.0,12.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
h,1600-1659,13.0,6.375,0.19801980198019803,0.0,0.5148514851485149,0.0,0.2871287128712871,0.23076923076923078,0.38461538461538464,0.0,0.0,0.0,0.0
h,1700-1759,97.0,25.236842105263158,0.4757142857142857,0.0,0.2838095238095238,0.0,0.24047619047619048,0.18556701030927836,0.21649484536082475,0.0,0.0,0.0,0.0
h,1100-1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.285714285714285,0.14285714285714285
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,4.9772727272727275,0.1834862385321101
