Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,1647.0,6.429274292742927,0.43912872455502017,0.01593076998721605,0.15183400531025668,0.0014259022519421771,0.391680597895565,0.1050394656952034,0.012750455373406194,0.0012143290831815423,1645.0,2.3008684863523574,0.12826747720364742
m,1,151.0,10.456375838926174,0.20548489666136724,0.0,0.08227344992050874,0.0,0.712241653418124,0.152317880794702,0.013245033112582781,0.0,150.0,8.53061224489796,0.19333333333333333
m,2,161.0,6.193548387096774,0.4873348017621145,0.0,0.07929515418502203,0.003303964757709251,0.43006607929515417,0.08695652173913043,0.037267080745341616,0.0,162.0,2.0580645161290323,0.13580246913580246
m,3,162.0,9.748427672955975,0.6782140107775212,0.0026943802925327174,0.11739799846035412,0.0,0.201693610469592,0.09876543209876543,0.018518518518518517,0.0,162.0,-1.2179487179487178,0.08641975308641975
m,4,155.0,-0.39473684210526316,0.10666666666666667,0.03333333333333333,0.18133333333333335,0.0,0.6786666666666666,0.12258064516129032,0.01935483870967742,0.0,156.0,-2.24,0.10897435897435898
m,5,202.0,-3.485148514851485,0.14790575916230367,0.02617801047120419,0.20418848167539266,0.0,0.6217277486910995,0.054455445544554455,0.0,0.0049504950495049506,202.0,-2.095,0.07920792079207921
m,6,169.0,9.775147928994082,0.5089795918367347,0.0,0.061632653061224486,0.0,0.4293877551020408,0.09467455621301775,0.0,0.0,168.0,12.875,0.17857142857142858
m,7,173.0,1.5953757225433527,0.37595907928388744,0.0,0.13725490196078433,0.0196078431372549,0.46717817561807334,0.09826589595375723,0.0,0.0,173.0,-0.3583815028901734,0.13872832369942195
m,8,155.0,6.187096774193549,0.4549600912200684,0.0,0.09977194982896237,0.0,0.4452679589509692,0.09032258064516129,0.0,0.0064516129032258064,154.0,2.0324675324675323,0.14285714285714285
m,9,60.0,0.38333333333333336,0.0036363636363636364,0.0,0.9654545454545455,0.0,0.03090909090909091,0.03333333333333333,0.0,0.0,60.0,-6.766666666666667,0.05
