Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,11086.0,9.865253456221199,0.3753411524574574,0.035162864057027544,0.2575826690685861,6.185200361834222e-05,0.33185146241331054,0.14919718563954537,0.021919538156233088,0.0035179505682843225,11084,3.942121296039878,0.16158426560808373
m,1,846.0,8.713216957605985,0.340203824573457,0.17061719912973777,0.1600824458948815,0.0,0.3290965304019237,0.13829787234042554,0.05200945626477541,0.002364066193853428,847,3.6082603254067585,0.15230224321133412
m,2,812.0,8.349489795918368,0.3279430789133247,0.06144890038809832,0.3523070288917637,0.0,0.25830099180681326,0.1477832512315271,0.03571428571428571,0.0,812,2.126275510204082,0.14901477832512317
m,3,863.0,5.641355140186916,0.3375656742556918,0.0017513134851138354,0.3464681844716871,0.0,0.3142148277875073,0.13557358053302435,0.008111239860950173,0.0011587485515643105,862,-0.35011709601873536,0.12412993039443156
m,4,965.0,5.175732217573222,0.4289592760180995,0.005300581771170007,0.2823529411764706,0.0,0.28338720103425985,0.10984455958549223,0.010362694300518135,0.0031088082901554403,963,-0.218848167539267,0.11838006230529595
m,5,967.0,9.632398753894082,0.48687373785940957,0.023944610058659485,0.252908933551303,0.0,0.23627271853062795,0.1623578076525336,0.004136504653567736,0.004136504653567736,969,1.7925311203319503,0.14963880288957687
m,6,971.0,12.053627760252366,0.4278823712463046,0.026528707017270888,0.19067994398630778,0.0,0.3549089777501167,0.17507723995880536,0.02265705458290422,0.0020597322348094747,971,9.271293375394322,0.22657054582904224
m,7,1074.0,24.73196881091618,0.3657384096982842,0.040512800650683606,0.25864673302606606,0.0,0.3351020566249661,0.2206703910614525,0.04562383612662942,0.006517690875232775,1075,16.211856171039845,0.2427906976744186
m,8,1044.0,15.256637168141593,0.37634970393591083,0.023104609311505864,0.24869383490073146,0.0,0.35185185185185186,0.19061302681992337,0.02586206896551724,0.009578544061302681,1042,10.708661417322835,0.21305182341650672
m,9,904.0,7.384615384615385,0.2966919365954514,0.03537790029864461,0.28911095796002756,0.0009189065012634965,0.3779002986446129,0.13495575221238937,0.007743362831858407,0.00663716814159292,907,1.3028953229398663,0.1422271223814774
m,10,1022.0,4.490471414242728,0.46715328467153283,0.00252156602521566,0.3000663570006636,0.0,0.23025879230258792,0.08610567514677103,0.02446183953033268,0.0009784735812133072,1021,-3.6345381526104417,0.09598432908912831
m,11,816.0,5.93711467324291,0.41876814916704874,0.004585052728106373,0.21610881858474706,0.0,0.3605379795200978,0.1213235294117647,0.007352941176470588,0.0012254901960784314,814,-0.31017369727047145,0.1339066339066339
m,12,802.0,7.824050632911392,0.20501109226151637,0.005741876549654182,0.24233328983426855,0.0,0.5469137413545608,0.15211970074812967,0.016209476309226933,0.0024937655860349127,801,4.169014084507042,0.16978776529338327
d,1,1626.0,9.844360428481412,0.38462727319561074,0.0425531914893617,0.2411519241667096,0.0,0.33166761114831794,0.15559655596555966,0.024600246002460024,0.0012300123001230013,1638,3.3863494051346272,0.15323565323565325
