Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,725.0,-3.956090651558074,0.34712411705348134,0.12209889001009082,0.06323578876555667,0.01917255297679112,0.44836865119408004,0.08,0.02620689655172414,0.008275862068965517,725.0,-3.6133144475920678,0.06758620689655172
m,1,61.0,-6.049180327868853,0.1895734597156398,0.3459715639810427,0.07582938388625593,0.0,0.3886255924170616,0.08196721311475409,0.0,0.0,61.0,-6.557377049180328,0.04918032786885246
m,2,58.0,-5.535714285714286,0.0794979079497908,0.4393305439330544,0.05439330543933055,0.0,0.42677824267782427,0.08620689655172414,0.034482758620689655,0.017241379310344827,58.0,-3.2142857142857144,0.10344827586206896
m,3,62.0,-4.625,0.8378378378378378,0.0,0.10810810810810811,0.0,0.05405405405405406,0.08064516129032258,0.0967741935483871,0.0,62.0,-5.589285714285714,0.03225806451612903
m,4,60.0,-5.666666666666667,0.6081871345029239,0.16374269005847952,0.04678362573099415,0.06432748538011696,0.11695906432748537,0.06666666666666667,0.0,0.0,60.0,-6.033333333333333,0.06666666666666667
m,5,62.0,-6.75,0.08108108108108109,0.0,0.0,0.4864864864864865,0.43243243243243246,0.04838709677419355,0.03225806451612903,0.0,62.0,-4.866666666666666,0.04838709677419355
m,6,60.0,-7.3559322033898304,0.22058823529411764,0.0,0.04411764705882353,0.0,0.7352941176470589,0.05,0.016666666666666666,0.0,60.0,0.5423728813559322,0.06666666666666667
m,7,61.0,6.25,0.7276720351390923,0.0,0.007320644216691069,0.0,0.26500732064421667,0.09836065573770492,0.01639344262295082,0.01639344262295082,61.0,1.0833333333333333,0.08196721311475409
m,8,62.0,-1.2580645161290323,0.08740359897172237,0.06940874035989718,0.02313624678663239,0.038560411311053984,0.781491002570694,0.14516129032258066,0.0,0.0,62.0,-0.8387096774193549,0.12903225806451613
m,9,59.0,-6.135593220338983,0.2265625,0.171875,0.1875,0.1015625,0.3125,0.06779661016949153,0.0,0.0,59.0,-5.135593220338983,0.01694915254237288
m,10,62.0,-6.762711864406779,0.08791208791208792,0.0,0.01098901098901099,0.0,0.9010989010989011,0.06451612903225806,0.04838709677419355,0.0,62.0,-7.288135593220339,0.04838709677419355
m,11,58.0,-5.5,0.41706161137440756,0.35071090047393366,0.23222748815165878,0.0,0.0,0.06896551724137931,0.0,0.017241379310344827,58.0,-9.327586206896552,0.0
m,12,60.0,1.9107142857142858,0.017208413001912046,0.06500956022944551,0.06883365200764818,0.0,0.8489483747609943,0.1,0.06666666666666667,0.05,60.0,4.017857142857143,0.16666666666666666
d,1,103.0,0.6534653465346535,0.637855579868709,0.0787746170678337,0.030634573304157548,0.0,0.2527352297592998,0.11650485436893204,0.019417475728155338,0.0,103.0,-4.158415841584159,0.07766990291262135
d,2,104.0,-5.898989898989899,0.1417004048582996,0.09716599190283401,0.20242914979757085,0.0,0.5587044534412956,0.0673076923076923,0.04807692307692308,0.0,104.0,-2.1616161616161618,0.11538461538461539
d,3,104.0,-7.009708737864078,0.24444444444444444,0.035555555555555556,0.11555555555555555,0.0,0.6044444444444445,0.057692307692307696,0.009615384615384616,0.009615384615384616,104.0,-4.097087378640777,0.057692307692307696
d,4,102.0,-3.5257731958762886,0.055762081784386616,0.11895910780669144,0.08178438661710037,0.08921933085501858,0.654275092936803,0.058823529411764705,0.049019607843137254,0.0196078431372549,102.0,-3.783505154639175,0.049019607843137254
d,5,105.0,2.0679611650485437,0.24692737430167597,0.10502793296089385,0.05139664804469274,0.03687150837988827,0.5597765363128492,0.14285714285714285,0.01904761904761905,0.009523809523809525,105.0,0.2815533980582524,0.09523809523809523
d,6,106.0,-7.135922330097087,0.35625,0.35625,0.00625,0.0,0.28125,0.05660377358490566,0.02830188679245283,0.009433962264150943,106.0,-6.009708737864078,0.03773584905660377
d,7,101.0,-6.89,0.2509505703422053,0.2889733840304182,0.057034220532319393,0.0,0.40304182509505704,0.0594059405940594,0.009900990099009901,0.009900990099009901,101.0,-5.38,0.039603960396039604
h,0800-0859,312.0,-6.180327868852459,0.5313145216792843,0.01995870612525809,0.018582243633860976,0.016517549896765314,0.4136269786648314,0.05448717948717949,0.022435897435897436,0.003205128205128205,0.0,0.0,0.0
h,1200-1259,52.0,-11.32,1.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.038461538461538464,0.0,0.0,0.0,0.0
h,1900-1959,309.0,-1.0728476821192052,0.1767478397486253,0.24351924587588375,0.08719560094265515,0.025923016496465043,0.4666142969363708,0.11003236245954692,0.022653721682847898,0.016181229773462782,44.0,5.390243902439025,0.20454545454545456
h,2000-2059,52.0,-0.3673469387755102,0.08225108225108226,0.1038961038961039,0.21645021645021645,0.0,0.5974025974025974,0.11538461538461539,0.057692307692307696,0.0,0.0,0.0,0.0
h,0600-0659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,-5.327868852459017,0.04807692307692308
h,0900-0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-8.75,0.125
h,1000-1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,-9.261904761904763,0.022727272727272728
h,1600-1659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,-2.357615894039735,0.07119741100323625
h,1800-1859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.125
