Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,684.0,10.139605462822459,0.3623451193714113,0.05812430744434371,0.3227561196736174,0.0,0.25677445351062755,0.12573099415204678,0.03654970760233918,0.0043859649122807015,684.0,0.8122137404580153,0.1608187134502924
m,1,62.0,15.448275862068966,0.5285714285714286,0.0,0.03613445378151261,0.0,0.43529411764705883,0.11290322580645161,0.06451612903225806,0.0,62.0,14.542372881355933,0.25806451612903225
m,2,55.0,0.56,0.0,0.0,0.35656836461126007,0.0,0.6434316353887399,0.09090909090909091,0.09090909090909091,0.0,55.0,7.490196078431373,0.2727272727272727
m,3,58.0,-0.2807017543859649,0.025454545454545455,0.06545454545454546,0.24363636363636362,0.0,0.6654545454545454,0.06896551724137931,0.017241379310344827,0.017241379310344827,58.0,-2.9649122807017543,0.13793103448275862
m,4,56.0,12.732142857142858,0.65599173553719,0.0,0.2809917355371901,0.0,0.06301652892561983,0.125,0.0,0.0,56.0,-7.017857142857143,0.10714285714285714
m,5,58.0,16.913793103448278,0.3920406435224386,0.0,0.31160033869602033,0.0,0.29635901778154106,0.15517241379310345,0.0,0.0,58.0,1.709090909090909,0.15517241379310345
m,6,56.0,-0.10909090909090909,0.0,0.0,0.5912596401028277,0.0,0.4087403598971722,0.08928571428571429,0.017857142857142856,0.0,56.0,-3.381818181818182,0.07142857142857142
m,7,57.0,28.056603773584907,0.41365461847389556,0.025243832472748137,0.4509466437177281,0.0,0.11015490533562823,0.2807017543859649,0.07017543859649122,0.0,57.0,3.5555555555555554,0.21052631578947367
m,8,58.0,12.053571428571429,0.001075268817204301,0.0,0.7623655913978494,0.0,0.23655913978494625,0.15517241379310345,0.034482758620689655,0.0,58.0,0.34545454545454546,0.20689655172413793
m,9,56.0,0.8909090909090909,0.1048158640226629,0.0,0.7535410764872521,0.0,0.141643059490085,0.08928571428571429,0.017857142857142856,0.03571428571428571,56.0,-11.145454545454545,0.05357142857142857
m,10,57.0,13.070175438596491,0.766120218579235,0.0,0.16830601092896175,0.0,0.06557377049180328,0.12280701754385964,0.0,0.0,57.0,-4.824561403508772,0.12280701754385964
m,11,55.0,4.036363636363636,0.23175182481751824,0.0,0.28102189781021897,0.0,0.48722627737226276,0.07272727272727272,0.0,0.0,55.0,-8.11320754716981,0.07272727272727272
m,12,56.0,18.53061224489796,0.2598870056497175,0.4849340866290019,0.02071563088512241,0.0,0.2344632768361582,0.14285714285714285,0.125,0.0,56.0,21.9375,0.25
d,1,105.0,20.398058252427184,0.6732751784298177,0.0,0.10388580491673276,0.0,0.22283901665344966,0.19047619047619047,0.01904761904761905,0.009523809523809525,105.0,7.650485436893204,0.2
d,2,104.0,9.57843137254902,0.38152105593966057,0.0,0.2501571338780641,0.0,0.3683218101822753,0.125,0.019230769230769232,0.0,104.0,0.6699029126213593,0.16346153846153846
d,3,104.0,13.848484848484848,0.3171382808328884,0.022423918846769888,0.5344367325146824,0.0,0.12600106780565937,0.1346153846153846,0.04807692307692308,0.019230769230769232,104.0,1.3775510204081634,0.17307692307692307
d,4,103.0,4.97,0.0026455026455026454,0.0,0.6358024691358025,0.0,0.36155202821869487,0.11650485436893204,0.02912621359223301,0.0,103.0,1.6464646464646464,0.21359223300970873
d,5,106.0,6.637254901960785,0.4146341463414634,0.0,0.4695121951219512,0.0,0.11585365853658537,0.10377358490566038,0.03773584905660377,0.0,106.0,-5.475247524752476,0.09433962264150944
d,6,59.0,-0.7586206896551724,0.9395973154362416,0.0,0.06040268456375839,0.0,0.0,0.03389830508474576,0.01694915254237288,0.0,59.0,-10.924528301886792,0.03389830508474576
d,7,103.0,11.610526315789473,0.05231788079470199,0.3543046357615894,0.1814569536423841,0.0,0.4119205298013245,0.13592233009708737,0.07766990291262135,0.0,103.0,5.1938775510204085,0.1941747572815534
h,0600-0659,366.0,5.753501400560224,0.7250387997930677,0.13321262286601138,0.1389032591826177,0.0,0.0028453181583031556,0.0546448087431694,0.02459016393442623,0.00546448087431694,0.0,0.0,0.0
h,1600-1659,287.0,14.505535055350553,0.15155589704187475,0.011909335382251248,0.44102958125240105,0.0,0.3955051863234729,0.20209059233449478,0.05574912891986063,0.003484320557491289,0.0,0.0,0.0
h,1700-1759,30.0,23.566666666666666,0.005847953216374269,0.0,0.43391812865497076,0.0,0.560233918128655,0.26666666666666666,0.0,0.0,0.0,0.0,0.0
h,1400-1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,1.6290322580645162,0.210727969348659
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0701754385964914,0.1724137931034483
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-6.76,0.08
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,0.6904024767801857,0.12759643916913946
