Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,371.0,5.547683923705722,0.08805555555555555,0.008888888888888889,0.7177777777777777,0.0,0.1852777777777778,0.21024258760107817,0.01078167115902965,0.0026954177897574125,371.0,3.7166212534059944,0.20485175202156333
m,1,31.0,2.0,0.1649746192893401,0.0,0.751269035532995,0.0,0.08375634517766498,0.1935483870967742,0.0,0.03225806451612903,31.0,6.838709677419355,0.25806451612903225
m,2,29.0,2.1481481481481484,0.03666666666666667,0.0,0.95,0.0,0.013333333333333334,0.20689655172413793,0.06896551724137931,0.0,29.0,7.333333333333333,0.27586206896551724
m,3,31.0,5.967741935483871,0.0,0.0,0.9734299516908212,0.0,0.026570048309178744,0.3225806451612903,0.0,0.0,31.0,15.774193548387096,0.41935483870967744
m,4,28.0,0.4642857142857143,0.03225806451612903,0.0,0.7161290322580646,0.0,0.25161290322580643,0.14285714285714285,0.0,0.0,27.0,-2.7037037037037037,0.18518518518518517
m,5,27.0,9.37037037037037,0.08395061728395062,0.0,0.8148148148148148,0.0,0.10123456790123457,0.18518518518518517,0.0,0.0,27.0,1.5555555555555556,0.1111111111111111
m,6,26.0,13.72,0.018134715025906734,0.0,0.36787564766839376,0.0,0.6139896373056994,0.19230769230769232,0.038461538461538464,0.0,26.0,10.72,0.19230769230769232
m,7,26.0,12.153846153846153,0.23880597014925373,0.055970149253731345,0.7052238805970149,0.0,0.0,0.23076923076923078,0.0,0.0,26.0,1.6538461538461537,0.15384615384615385
m,8,26.0,13.0,0.0,0.0,0.9446366782006921,0.0,0.05536332179930796,0.2692307692307692,0.0,0.0,27.0,6.962962962962963,0.18518518518518517
m,9,23.0,-2.782608695652174,0.0,0.0,1.0,0.0,0.0,0.13043478260869565,0.0,0.0,23.0,-7.6521739130434785,0.08695652173913043
m,10,22.0,4.714285714285714,0.11475409836065574,0.0,0.639344262295082,0.0,0.2459016393442623,0.22727272727272727,0.045454545454545456,0.0,22.0,1.1428571428571428,0.18181818181818182
m,11,40.0,0.85,0.13274336283185842,0.0,0.5663716814159292,0.0,0.3008849557522124,0.175,0.0,0.0,40.0,-1.725,0.175
m,12,62.0,6.435483870967742,0.15246636771300448,0.025411061285500747,0.49028400597907323,0.0,0.33183856502242154,0.22580645161290322,0.0,0.0,62.0,3.5161290322580645,0.1935483870967742
d,1,28.0,10.214285714285714,0.10606060606060606,0.0,0.7402597402597403,0.0,0.15367965367965367,0.2857142857142857,0.0,0.0,58.0,8.189655172413794,0.1896551724137931
d,2,79.0,6.734177215189874,0.02741514360313316,0.009138381201044387,0.8237597911227154,0.0,0.13968668407310705,0.16455696202531644,0.0,0.0,49.0,0.08333333333333333,0.1836734693877551
d,3,28.0,-1.0,0.2857142857142857,0.0,0.5989010989010989,0.0,0.11538461538461539,0.17857142857142858,0.03571428571428571,0.0,57.0,-1.8214285714285714,0.17543859649122806
d,4,88.0,3.632183908045977,0.03333333333333333,0.02727272727272727,0.5878787878787879,0.0,0.3515151515151515,0.19318181818181818,0.011363636363636364,0.0,59.0,9.677966101694915,0.2711864406779661
d,5,30.0,9.7,0.06413301662707839,0.0,0.8717339667458432,0.0,0.06413301662707839,0.3333333333333333,0.0,0.0,60.0,4.383333333333334,0.18333333333333332
d,6,60.0,9.683333333333334,0.157035175879397,0.008793969849246231,0.6130653266331658,0.0,0.22110552763819097,0.25,0.0,0.016666666666666666,30.0,6.366666666666666,0.3333333333333333
d,7,58.0,1.0178571428571428,0.0670926517571885,0.0,0.8274760383386581,0.0,0.10543130990415335,0.1724137931034483,0.034482758620689655,0.0,58.0,-0.6785714285714286,0.15517241379310345
h,0001-0559,245.0,6.62962962962963,0.09154411764705882,0.00625,0.7834558823529412,0.0,0.11875,0.22040816326530613,0.00816326530612245,0.004081632653061225,0.0,0.0,0.0
h,1300-1359,81.0,4.6075949367088604,0.034482758620689655,0.02722323049001815,0.47368421052631576,0.0,0.4646098003629764,0.2345679012345679,0.024691358024691357,0.0,0.0,0.0,0.0
h,1800-1859,45.0,1.3555555555555556,0.14893617021276595,0.0,0.5835866261398176,0.0,0.2674772036474164,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
h,1100-1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,-0.3670886075949367,0.16049382716049382
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.8222222222222222,0.17777777777777778
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,8.803921568627452,0.3076923076923077
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,2.9290780141843973,0.16312056737588654
