Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,24285.0,12.005719295316023,0.2599068060816803,0.02927776237074601,0.2876303206321827,0.0019016679212392536,0.42128344299415177,0.21478278772905085,0.013918056413423923,0.002800082355363393,24280,3.9735337090377794,0.20337726523887972
m,1,2436.0,14.333476579286636,0.2907457866585932,0.0433612540787836,0.1330776734954755,0.0004373128805463047,0.5323779728866014,0.2647783251231527,0.04556650246305419,0.0012315270935960591,2430,10.446027633851468,0.26584362139917694
m,2,2374.0,18.40094137783483,0.263640873015873,0.011498917748917748,0.2986787518037518,0.0,0.4261814574314574,0.2687447346251053,0.015585509688289806,0.005475989890480202,2375,8.991880341880341,0.2517894736842105
m,3,2669.0,13.37880496054115,0.2837001075612663,0.030349719468589203,0.23111136951655573,0.014738800546527516,0.44010000290706125,0.2618958411390034,0.0033720494567253652,0.0026227051330086175,2668,6.250751879699248,0.23500749625187406
m,4,2293.0,9.606485539000877,0.28364466739040917,0.004155280200651368,0.23576535769101187,0.0,0.4764346947179276,0.17618839947666812,0.004797208896641954,0.002180549498473615,2292,0.2067455102934735,0.1631762652705061
m,5,1902.0,11.150684931506849,0.311804008908686,0.070614437311673,0.22249879907419537,0.0,0.3950827547054456,0.21240799158780233,0.002103049421661409,0.0015772870662460567,1898,3.039008961518187,0.20126448893572182
m,6,1656.0,13.393183201460742,0.2495782208588957,0.048006134969325154,0.3342024539877301,0.0,0.3682131901840491,0.23007246376811594,0.00785024154589372,0.007246376811594203,1655,6.504860267314703,0.21691842900302113
m,7,1653.0,17.331085223789085,0.1839670205824782,0.026069161871997152,0.47541372560650097,0.0,0.31455009193902367,0.23169993950393225,0.015124016938898971,0.0054446460980036296,1653,8.076687116564417,0.22928009679370842
m,8,1661.0,13.91092129347163,0.28792375100373563,0.01700240896554132,0.35792340187829486,0.0,0.3371504381524282,0.20409391932570742,0.013847080072245636,0.0030102347983142685,1661,3.490255785627284,0.19145093317278747
m,9,1528.0,7.137614678899083,0.1752667373806701,0.1345853871591689,0.2594371997254633,0.0,0.4307106757346977,0.16295811518324607,0.0013089005235602095,0.0006544502617801048,1528,-1.1577909270216962,0.17146596858638743
m,10,1670.0,3.749061326658323,0.34649081488459726,0.015261422515308525,0.31559114460668863,0.009797456429580782,0.31285916156382476,0.12634730538922156,0.04311377245508982,0.0005988023952095808,1672,-4.000625390869294,0.11483253588516747
m,11,2031.0,7.105522682445759,0.25754016724607726,0.003288546462463591,0.3966926618434652,0.0,0.342478624447994,0.15657311669128507,0.0014771048744460858,0.0029542097488921715,2032,-4.826108374384236,0.12057086614173228
m,12,2412.0,11.818791946308725,0.22403040921779416,0.0008611985508107145,0.20446041456316447,0.0,0.5706479776682307,0.2259535655058043,0.011608623548922056,0.0012437810945273632,2416,6.457549142618151,0.23013245033112584
d,1,3536.0,13.002002861230329,0.2774006768255707,0.01382993290428591,0.3023806263570744,0.0,0.406388763913069,0.22369909502262444,0.01159502262443439,0.003110859728506787,3538,5.254222731176639,0.21028829847371397
d,2,3463.0,12.392430858806405,0.22786036825501557,0.039382255304233074,0.3462545619497309,0.0,0.3865028144910204,0.22148426220040426,0.00837424198671672,0.0028876696505919725,3471,3.0688953488372093,0.19562085854220684
d,3,3490.0,8.903486027081533,0.2210738182015993,0.04931186422237937,0.32812924985040526,0.002828700429744873,0.3986563672958712,0.19512893982808022,0.0057306590257879654,0.003151862464183381,3471,0.897852582704585,0.17516565831172573
d,4,3526.0,12.484577688094552,0.2616902267873487,0.01204108613851317,0.32732635004576427,0.00046781246821926166,0.3984745245601546,0.2342597844583097,0.016449234259784458,0.0025524673851389677,3523,5.645496535796767,0.22452455293783707
d,5,3630.0,14.874157303370787,0.19978160262076855,0.03981418889639991,0.26046487442150695,0.0066385870036226235,0.493300747057702,0.24297520661157024,0.01955922865013774,0.0030303030303030303,3626,8.29986013986014,0.2402095973524545
d,6,3202.0,10.287404092071611,0.34968931340830894,0.03376469984080522,0.17852924562214348,0.0,0.43801674112874234,0.18176139912554654,0.024047470331043097,0.001561524047470331,3211,1.8630136986301369,0.18000622858922455
d,7,3438.0,11.84658421672556,0.30283176980171084,0.021178416733778814,0.2610408549724659,0.0024813355679864178,0.4124676229240581,0.19982547993019198,0.012216404886561954,0.0031995346131471784,3440,2.3855208946439084,0.1938953488372093
h,0001-0559,705.0,-0.9116809116809117,0.6565371024734983,0.22049469964664312,0.12226148409893993,0.0,0.0007067137809187279,0.03687943262411347,0.00425531914893617,0.0,45,-17.511111111111113,0.0
h,0600-0659,2254.0,-1.0248419150858175,0.5731235169226926,0.1010365929811415,0.14537279880104909,0.0028724865742475333,0.17759460472086924,0.05456965394853593,0.01774622892635315,0.0022182786157941437,1081,-7.749529190207157,0.08325624421831637
h,0700-0759,1496.0,-1.7151597552685247,0.6195121951219512,0.0704390243902439,0.28136585365853656,0.0,0.028682926829268294,0.03943850267379679,0.016711229946524065,0.0006684491978609625,1597,-5.38265306122449,0.11333750782717596
h,0800-0859,1074.0,-0.48826291079812206,0.6542005420054201,0.06937669376693767,0.2764227642276423,0.0,0.0,0.0446927374301676,0.00931098696461825,0.000931098696461825,2803,-1.0394641564083997,0.14056368176953266
h,0900-0959,1161.0,3.3614982578397212,0.5485414415804908,0.007717240314863405,0.2012656274116376,0.0,0.24247569069300817,0.10163652024117141,0.01119724375538329,0.0008613264427217916,1735,-0.23892773892773891,0.14697406340057637
h,1000-1059,1069.0,5.648519579751672,0.2039522744220731,0.0036042754163559533,0.2817549092716878,0.0,0.5106885408898831,0.14780168381665107,0.0205799812909261,0.002806361085126286,1971,0.9161522633744856,0.182648401826484
h,1100-1159,2284.0,7.332153914197258,0.315412533268812,0.010936365835954512,0.2608274860875877,0.003726106944108396,0.4090975078635374,0.1668126094570928,0.010070052539404553,0.0017513134851138354,1282,2.116022099447514,0.17238689547581904
h,1200-1259,2427.0,13.78523489932886,0.25553445392443097,0.023073216361007964,0.32393208424275066,0.0010487825618639983,0.39641146290994644,0.24763081994231562,0.018129377832715288,0.00288421920065925,1411,2.1686919228020014,0.1991495393338058
h,1300-1359,1821.0,14.81063122923588,0.2625769027948673,0.061240991386886975,0.3054666901037089,0.0,0.3707154157145368,0.2355848434925865,0.008786381109280615,0.0027457440966501922,979,1.8846549948506695,0.18590398365679264
h,1400-1459,1540.0,20.898215465961666,0.22435003939155201,0.042876189321859284,0.39885461487182594,0.0,0.3339191564147627,0.3207792207792208,0.01883116883116883,0.004545454545454545,1385,6.2505494505494505,0.24548736462093862
