Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,83.0,8.538461538461538,0.05783385909568875,0.01892744479495268,0.14090431125131442,0.0,0.7823343848580442,0.18072289156626506,0.060240963855421686,0.0,83.0,-5.922077922077922,0.10843373493975904
m,10,2.0,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-25.0,0.0
m,11,40.0,5.575,0.09970674486803519,0.0,0.17888563049853373,0.0,0.7214076246334311,0.15,0.0,0.0,40.0,-10.25,0.075
m,12,41.0,12.444444444444445,0.03442622950819672,0.029508196721311476,0.11967213114754098,0.0,0.8163934426229508,0.21951219512195122,0.12195121951219512,0.0,41.0,0.11428571428571428,0.14634146341463414
d,1,9.0,-2.25,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,9.0,-17.125,0.0
d,2,17.0,10.9375,0.06091370558375635,0.0,0.07614213197969544,0.0,0.8629441624365483,0.23529411764705882,0.058823529411764705,0.0,17.0,5.375,0.11764705882352941
d,3,9.0,9.555555555555555,0.26153846153846155,0.0,0.0,0.0,0.7384615384615385,0.2222222222222222,0.0,0.0,9.0,-26.5,0.0
d,4,16.0,12.857142857142858,0.0045662100456621,0.0,0.0410958904109589,0.0,0.954337899543379,0.125,0.125,0.0,16.0,2.7142857142857144,0.125
d,5,9.0,10.11111111111111,0.05333333333333334,0.0,0.0,0.0,0.9466666666666667,0.2222222222222222,0.0,0.0,9.0,3.7777777777777777,0.2222222222222222
d,6,9.0,-1.1111111111111112,0.0,0.28125,0.515625,0.0,0.203125,0.1111111111111111,0.0,0.0,9.0,-12.0,0.1111111111111111
d,7,14.0,12.461538461538462,0.0,0.0,0.4031413612565445,0.0,0.5968586387434555,0.21428571428571427,0.07142857142857142,0.0,14.0,-12.076923076923077,0.14285714285714285
h,0900-0959,18.0,2.0,0.3177570093457944,0.0,0.0,0.0,0.6822429906542056,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
h,1000-1059,18.0,6.647058823529412,0.03375527426160337,0.0759493670886076,0.13924050632911392,0.0,0.7510548523206751,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.0
h,1300-1359,20.0,18.944444444444443,0.037037037037037035,0.0,0.09567901234567901,0.0,0.8672839506172839,0.3,0.1,0.0,0.0,0.0,0.0
h,1900-1959,13.0,2.769230769230769,0.0,0.0,0.953125,0.0,0.046875,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
h,2000-2059,14.0,11.666666666666666,0.0045662100456621,0.0,0.0410958904109589,0.0,0.954337899543379,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0
h,0600-0659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,-12.441176470588236,0.08333333333333333
h,0800-0859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,-3.176470588235294,0.15789473684210525
h,1600-1659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-7.96,0.07407407407407407
