Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,1101.0,11.45648148148148,0.38653789874158617,0.020251682762657302,0.03833772314896108,0.0,0.5548726953467954,0.14532243415077203,0.01907356948228883,0.0027247956403269754,1101.0,3.2453358208955225,0.13533151680290645
m,1,54.0,19.82,0.23276633840644584,0.03222918531781558,0.06266786034019696,0.0,0.6723366159355416,0.16666666666666666,0.07407407407407407,0.0,54.0,0.9,0.18518518518518517
m,2,71.0,14.289855072463768,0.02799650043744532,0.0,0.05774278215223097,0.0,0.9142607174103237,0.23943661971830985,0.028169014084507043,0.014084507042253521,70.0,5.121212121212121,0.21428571428571427
m,3,81.0,7.72,0.0,0.0,0.02445302445302445,0.0,0.9755469755469756,0.13580246913580246,0.07407407407407407,0.0,81.0,4.472972972972973,0.16049382716049382
m,4,85.0,18.321428571428573,0.39599383667180277,0.0,0.04673857216230098,0.0,0.5572675911658963,0.18823529411764706,0.011764705882352941,0.011764705882352941,86.0,6.609756097560975,0.16279069767441862
m,5,88.0,11.5,0.3096514745308311,0.0,0.0,0.0,0.6903485254691689,0.10227272727272728,0.0,0.0,87.0,9.540229885057471,0.10344827586206896
m,6,108.0,5.037037037037037,0.3799772468714448,0.0,0.038680318543799774,0.0,0.5813424345847554,0.12037037037037036,0.0,0.0,108.0,-4.75,0.046296296296296294
m,7,169.0,4.384615384615385,0.6770899808551372,0.0,0.03382259093809828,0.0,0.28908742820676453,0.08875739644970414,0.0,0.0,169.0,-1.2544378698224852,0.09467455621301775
m,8,125.0,16.488,0.4364937388193202,0.10232558139534884,0.015026833631484795,0.0,0.4461538461538462,0.096,0.0,0.0,125.0,5.67741935483871,0.104
m,9,86.0,10.720930232558139,0.6727656579873329,0.0,0.009148486980999296,0.0,0.31808585503166786,0.08139534883720931,0.0,0.0,86.0,-6.337209302325581,0.046511627906976744
m,10,78.0,11.564102564102564,0.6368542791056284,0.0,0.026214340786430222,0.0,0.3369313801079414,0.11538461538461539,0.0,0.0,78.0,-0.3116883116883117,0.11538461538461539
m,11,77.0,3.3636363636363638,0.18955223880597014,0.03582089552238806,0.05373134328358209,0.0,0.7208955223880597,0.19480519480519481,0.0,0.0,77.0,2.727272727272727,0.18181818181818182
m,12,79.0,25.87323943661972,0.2803030303030303,0.0,0.0994949494949495,0.0,0.6202020202020202,0.34177215189873417,0.10126582278481013,0.012658227848101266,80.0,24.625,0.3375
d,1,169.0,10.581818181818182,0.12209046991655688,0.13614404918752745,0.001756697408871322,0.0,0.7400087834870444,0.15976331360946747,0.023668639053254437,0.0,169.0,4.0,0.14201183431952663
d,2,169.0,1.0476190476190477,0.08071278825995808,0.0,0.05241090146750524,0.0,0.8668763102725366,0.09467455621301775,0.005917159763313609,0.0,169.0,-1.9518072289156627,0.08875739644970414
d,3,169.0,2.8597560975609757,0.14770318021201415,0.025441696113074206,0.08480565371024736,0.0,0.7420494699646644,0.11242603550295859,0.029585798816568046,0.011834319526627219,169.0,-1.6335403726708075,0.10059171597633136
d,4,168.0,25.23780487804878,0.6316334991708126,0.0,0.027155887230514097,0.0,0.3412106135986733,0.21428571428571427,0.023809523809523808,0.0,167.0,6.355828220858895,0.18562874251497005
d,5,171.0,12.880952380952381,0.150278940027894,0.0,0.02894002789400279,0.0,0.8207810320781032,0.14619883040935672,0.017543859649122806,0.005847953216374269,171.0,9.059880239520957,0.14619883040935672
d,6,109.0,11.788990825688073,0.5656630365150545,0.0,0.035233824471492634,0.0,0.3991031390134529,0.1559633027522936,0.0,0.0,146.0,0.993103448275862,0.136986301369863
d,7,146.0,16.859154929577464,0.5269930947897049,0.0,0.06654111738857502,0.0,0.40646578782172005,0.136986301369863,0.0273972602739726,0.0,110.0,6.764150943396227,0.15454545454545454
h,0600-0659,362.0,11.6,0.3127745241581259,0.056734992679355785,0.028367496339677892,0.0,0.6021229868228404,0.10220994475138122,0.03314917127071823,0.0,0.0,0.0,0.0
h,1000-1059,58.0,2.586206896551724,0.0,0.0,0.0,0.0,1.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0
h,1100-1159,2.0,26.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,57.0,0.07017543859649122,0.12280701754385964
h,1200-1259,68.0,12.176470588235293,0.3007985803016859,0.0,0.07275953859804792,0.0,0.6264418811002662,0.11764705882352941,0.0,0.0,222.0,1.3644859813084111,0.13513513513513514
h,1300-1359,279.0,9.159420289855072,0.18677176148046606,0.0,0.0181631254283756,0.0,0.7950651130911583,0.17204301075268819,0.010752688172043012,0.0035842293906810036,31.0,11.633333333333333,0.2903225806451613
h,1500-1559,31.0,32.833333333333336,0.0,0.0371900826446281,0.015495867768595042,0.0,0.9473140495867769,0.3225806451612903,0.03225806451612903,0.0,16.0,26.3125,0.125
h,1700-1759,15.0,94.2,0.9683413626978665,0.0,0.0,0.0,0.031658637302133516,0.2,0.0,0.0,3.0,-15.0,0.0
h,1900-1959,3.0,-16.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,3.3,0.18181818181818182
