Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,991.0,8.998958333333333,0.14704595185995623,0.002698760029175784,0.4298322392414296,0.0,0.4204230488694384,0.1917255297679112,0.03128153380423814,0.0020181634712411706,991.0,3.5658995815899583,0.18768920282542886
m,1,61.0,11.724137931034482,0.15807174887892378,0.0,0.32623318385650224,0.0,0.515695067264574,0.22950819672131148,0.04918032786885246,0.0,61.0,10.035087719298245,0.22950819672131148
m,2,58.0,8.464285714285714,0.46077210460772106,0.0,0.0722291407222914,0.0,0.4669987546699875,0.13793103448275862,0.034482758620689655,0.0,58.0,0.018518518518518517,0.13793103448275862
m,3,62.0,19.491525423728813,0.023255813953488372,0.0,0.29869186046511625,0.0,0.6780523255813954,0.27419354838709675,0.04838709677419355,0.0,62.0,30.596491228070175,0.3709677419354839
m,4,86.0,10.104651162790697,0.32621951219512196,0.028201219512195123,0.29115853658536583,0.0,0.3544207317073171,0.13953488372093023,0.0,0.0,86.0,0.12790697674418605,0.16279069767441862
m,5,92.0,20.076923076923077,0.1630584983878397,0.0,0.3721787194841087,0.0,0.4647627821280516,0.29347826086956524,0.010869565217391304,0.010869565217391304,92.0,11.868131868131869,0.25
m,6,90.0,1.0444444444444445,0.0,0.0,0.47023809523809523,0.0,0.5297619047619048,0.1111111111111111,0.0,0.0,90.0,-0.34444444444444444,0.13333333333333333
m,7,92.0,4.032967032967033,0.0,0.0,0.33916849015317285,0.0,0.6608315098468271,0.18478260869565216,0.010869565217391304,0.010869565217391304,92.0,1.4615384615384615,0.18478260869565216
m,8,93.0,23.892473118279568,0.252412196063296,0.0,0.550366653801621,0.0,0.19722115013508298,0.26881720430107525,0.0,0.0,93.0,6.260869565217392,0.20430107526881722
m,9,85.0,2.1176470588235294,0.0,0.0,0.7496296296296296,0.0,0.25037037037037035,0.2,0.0,0.0,85.0,-6.152941176470589,0.09411764705882353
m,10,92.0,3.988095238095238,0.0,0.0,0.692079207920792,0.0,0.3079207920792079,0.20652173913043478,0.08695652173913043,0.0,92.0,1.3908045977011494,0.2608695652173913
m,11,90.0,0.8295454545454546,0.0,0.0,0.6807692307692308,0.0,0.3192307692307692,0.14444444444444443,0.022222222222222223,0.0,90.0,-4.238636363636363,0.1111111111111111
m,12,90.0,4.658227848101266,0.04780361757105943,0.0,0.4289405684754522,0.0,0.5232558139534884,0.12222222222222222,0.12222222222222222,0.0,90.0,1.2564102564102564,0.15555555555555556
