Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,1042.0,3.5731108930323847,0.3067874069058903,0.06922816519972919,0.10917400135409613,0.0024542992552471225,0.5123561272850372,0.10556621880998081,0.023032629558541268,0.0028790786948176585,1043.0,-2.183874139626352,0.10642377756471716
m,1,88.0,4.0,0.03822441430332922,0.14796547472256474,0.2589395807644883,0.0,0.5548705302096177,0.10227272727272728,0.022727272727272728,0.0,88.0,-1.2093023255813953,0.13636363636363635
m,2,83.0,8.2625,0.3712121212121212,0.0,0.10700757575757576,0.0,0.521780303030303,0.1686746987951807,0.03614457831325301,0.012048192771084338,83.0,3.95,0.18072289156626506
m,3,89.0,-0.5714285714285714,0.02247191011235955,0.1104868913857678,0.1647940074906367,0.016853932584269662,0.6853932584269663,0.0898876404494382,0.056179775280898875,0.0,89.0,-3.4941176470588236,0.0898876404494382
m,4,85.0,-0.024390243902439025,0.0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.07058823529411765,0.03529411764705882,0.011764705882352941,86.0,-7.0,0.05813953488372093
m,5,89.0,7.314606741573034,0.5910727141828653,0.0,0.017278617710583154,0.0,0.39164866810655147,0.06741573033707865,0.0,0.0,88.0,-4.318181818181818,0.06818181818181818
m,6,86.0,1.1162790697674418,0.82798459563543,0.0,0.06290115532734275,0.0,0.10911424903722722,0.06976744186046512,0.0,0.0,86.0,-6.476744186046512,0.06976744186046512
m,7,88.0,-0.19318181818181818,0.31065468549422337,0.0,0.196405648267009,0.0,0.49293966623876767,0.06818181818181818,0.0,0.0,88.0,-5.425287356321839,0.06818181818181818
m,8,89.0,4.314606741573034,0.06325581395348837,0.14604651162790697,0.09116279069767441,0.013023255813953489,0.6865116279069767,0.14606741573033707,0.0,0.0,89.0,0.16853932584269662,0.1348314606741573
m,9,86.0,-3.1511627906976742,0.2986798679867987,0.2706270627062706,0.15346534653465346,0.0,0.27722772277227725,0.09302325581395349,0.0,0.0,86.0,-6.976744186046512,0.09302325581395349
m,10,88.0,8.71264367816092,0.39315726290516206,0.013805522208883553,0.07082833133253301,0.003601440576230492,0.5186074429771909,0.045454545454545456,0.022727272727272728,0.0,88.0,-0.19767441860465115,0.03409090909090909
m,11,84.0,3.1904761904761907,0.10460577673692428,0.1600312256049961,0.11865729898516784,0.0,0.6167056986729118,0.13095238095238096,0.0,0.0,84.0,-1.7349397590361446,0.11904761904761904
m,12,87.0,10.474358974358974,0.34312210200927357,0.0695517774343122,0.11823802163833076,0.0,0.46908809891808345,0.21839080459770116,0.10344827586206896,0.011494252873563218,88.0,7.506329113924051,0.22727272727272727
d,1,156.0,4.0,0.18766473379019505,0.0,0.05324196099103848,0.0,0.7590933052187665,0.11538461538461539,0.038461538461538464,0.0,156.0,0.16,0.11538461538461539
d,2,156.0,3.045751633986928,0.3764490543014033,0.21354484441732763,0.14826113483831604,0.0,0.26174496644295303,0.11538461538461539,0.019230769230769232,0.00641025641025641,156.0,-0.7302631578947368,0.12179487179487179
d,3,156.0,6.080536912751678,0.4310787671232877,0.04409246575342466,0.1391267123287671,0.0,0.3857020547945205,0.10256410256410256,0.04487179487179487,0.0,156.0,-1.6887417218543046,0.12179487179487179
d,4,154.0,3.835526315789474,0.08604522890237176,0.075565361279647,0.08604522890237176,0.0,0.7523441809156095,0.1038961038961039,0.012987012987012988,0.006493506493506494,155.0,-1.8666666666666667,0.09032258064516129
d,5,159.0,0.9426751592356688,0.5759937646141855,0.0,0.14964925954793454,0.017926734216679657,0.2564302416212003,0.1069182389937107,0.012578616352201259,0.006289308176100629,158.0,-2.5095541401273884,0.10759493670886076
d,6,106.0,10.330188679245284,0.3445859872611465,0.01464968152866242,0.050955414012738856,0.0,0.5898089171974522,0.08490566037735849,0.0,0.0,159.0,-5.464968152866242,0.07547169811320754
d,7,155.0,-1.0328947368421053,0.16353677621283255,0.16040688575899845,0.15101721439749607,0.004694835680751174,0.5203442879499217,0.1032258064516129,0.025806451612903226,0.0,103.0,-3.47,0.11650485436893204
h,0700-0759,366.0,6.674157303370786,0.15064397424103035,0.15202391904323828,0.1389144434222631,0.004599816007359705,0.5538178472861086,0.11475409836065574,0.030054644808743168,0.0,0.0,0.0,0.0
h,1500-1559,305.0,6.683333333333334,0.21959273527793066,0.04072647220693451,0.0910842047330765,0.0024766097963676388,0.6461199779856907,0.09180327868852459,0.01639344262295082,0.006557377049180328,19.0,-9.947368421052632,0.0
h,1600-1659,38.0,-2.3513513513513513,0.0,0.0,0.41841004184100417,0.0,0.5815899581589958,0.10526315789473684,0.02631578947368421,0.0,0.0,0.0,0.0
h,1700-1759,21.0,-6.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
