Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,7384.0,7.0662040249826505,0.3037725705144176,0.04881918674027354,0.2895582276655171,0.00013112862406734765,0.3577188864557244,0.13854279523293608,0.025325027085590465,0.0020314192849404116,7381.0,4.207963374028857,0.17396016799891614
m,1,585.0,3.1101083032490973,0.4857296715131933,0.03204092622509424,0.1973613354873452,0.0,0.28486806677436727,0.1111111111111111,0.05299145299145299,0.0,585.0,0.5387387387387388,0.1623931623931624
m,2,593.0,13.3886925795053,0.1721406695532791,0.1663322420530151,0.29285035378603863,0.0,0.36867673460766714,0.16863406408094436,0.047217537942664416,0.00505902192242833,594.0,5.285464098073555,0.1750841750841751
m,3,611.0,3.4572368421052633,0.42650768172437514,0.04379729419857831,0.23480853015363448,0.002293052052281587,0.29259344187113046,0.11456628477905073,0.008183306055646482,0.0,612.0,2.8890728476821192,0.15522875816993464
m,4,509.0,3.7043650793650795,0.4676470588235294,0.01871657754010695,0.2545454545454545,0.0,0.2590909090909091,0.0962671905697446,0.011787819253438114,0.0,508.0,2.8106508875739644,0.16141732283464566
m,5,606.0,2.294701986754967,0.3102341995508502,0.006416426050689766,0.30285530959255696,0.0,0.3804940648059031,0.09900990099009901,0.006600660066006601,0.0049504950495049506,605.0,1.7325581395348837,0.14545454545454545
m,6,634.0,7.782051282051282,0.39282589676290464,0.030183727034120734,0.23972003499562555,0.0,0.33727034120734906,0.1498422712933754,0.015772870662460567,0.0,636.0,5.899361022364217,0.1949685534591195
m,7,670.0,13.391442155309033,0.3277370777370777,0.030016280016280015,0.3196988196988197,0.0,0.32254782254782255,0.16567164179104477,0.058208955223880594,0.005970149253731343,669.0,11.467716535433071,0.23766816143497757
m,8,661.0,12.642633228840126,0.31761539228391983,0.04356494865915662,0.22480311035789055,0.0,0.414016548699033,0.16036308623298035,0.03479576399394856,0.0045385779122541605,661.0,9.995319812792511,0.21331316187594554
m,9,655.0,3.203076923076923,0.38221528861154447,0.05089703588143526,0.3085023400936037,0.0,0.2583853354134165,0.11908396946564885,0.00916030534351145,0.0030534351145038168,655.0,-2.1274961597542243,0.14045801526717558
m,10,662.0,3.229483282674772,0.26678075679787033,0.011789313557710592,0.39988590986879635,0.0,0.32154401977562275,0.12084592145015106,0.006042296072507553,0.0,661.0,-1.1406727828746177,0.11497730711043873
m,11,623.0,8.080065359477125,0.2240283729865524,0.050687158268065614,0.3045662775232747,0.0,0.4207181912221073,0.13964686998394862,0.019261637239165328,0.0,624.0,2.8981937602627257,0.14423076923076922
m,12,575.0,10.309352517985612,0.14720240330454376,0.017899611966453875,0.3591187883339592,0.0,0.4757791963950432,0.21217391304347827,0.03304347826086956,0.0,571.0,10.461121157323689,0.24168126094570927
d,1,1106.0,8.8468720821662,0.3112411137440758,0.03398992890995261,0.2808797393364929,0.0,0.37388921800947866,0.14014466546112117,0.0325497287522604,0.0,1104.0,2.856610800744879,0.16485507246376813
d,2,1089.0,4.492944496707432,0.20898876404494382,0.12359550561797752,0.3984269662921348,0.0,0.2689887640449438,0.12304866850321396,0.025711662075298437,0.0018365472910927456,1085.0,2.470809792843691,0.1622119815668203
d,3,1096.0,5.327102803738318,0.28149183147033535,0.020206362854686157,0.3249140154772141,0.0,0.3733877901977644,0.13594890510948904,0.025547445255474453,0.0036496350364963502,1100.0,3.051899907321594,0.17454545454545456
d,4,1104.0,9.469500924214417,0.28830730265934995,0.028704094554664415,0.29590544533558466,0.0,0.387083157450401,0.15489130434782608,0.021739130434782608,0.0036231884057971015,1107.0,7.308118081180812,0.1933152664859982
d,5,1118.0,9.831037649219468,0.3199971422447667,0.01285989854968922,0.2944202329070515,0.0007144388083160677,0.37200828749017645,0.16189624329159213,0.0259391771019678,0.0026833631484794273,1119.0,5.59103385178408,0.20464700625558535
d,6,901.0,5.701475595913735,0.3736922684358255,0.1559071191630518,0.1703240622607808,0.0,0.3000765501403419,0.11542730299667037,0.022197558268590455,0.0,878.0,3.1503496503496504,0.16059225512528474
d,7,970.0,5.253951527924131,0.35018814675446847,0.019520225776105363,0.24200376293508938,0.0,0.3882878645343368,0.13298969072164948,0.02268041237113402,0.002061855670103093,988.0,4.812108559498956,0.15182186234817813
h,0001-0559,817.0,2.3083645443196006,0.6780379863544164,0.08906509312188825,0.19011617186059376,0.0,0.0427807486631016,0.051407588739290085,0.019583843329253364,0.0,0.0,0.0,0.0
h,0600-0659,1014.0,3.62713567839196,0.514424337791765,0.14214529242066615,0.2004982953055337,0.0,0.14293207448203515,0.07001972386587771,0.01972386587771203,0.0009861932938856016,26.0,-2.076923076923077,0.11538461538461539
h,0700-0759,246.0,7.900826446280992,0.6872574385510997,0.00258732212160414,0.16817593790426907,0.0,0.14197930142302717,0.08536585365853659,0.02032520325203252,0.0040650406504065045,511.0,-1.8103792415169662,0.12133072407045009
h,0800-0859,440.0,0.2748267898383372,0.5609123898392949,0.21721099015033696,0.20321410057024364,0.0,0.01866251944012442,0.05,0.015909090909090907,0.0022727272727272726,292.0,-1.5053003533568905,0.08904109589041095
h,0900-0959,221.0,-0.2706422018348624,0.26917613636363635,0.020596590909090908,0.3018465909090909,0.0,0.4083806818181818,0.1085972850678733,0.013574660633484163,0.0,623.0,-4.326892109500805,0.08828250401284109
h,1000-1059,474.0,4.084598698481562,0.21775618374558303,0.02230565371024735,0.25530035335689044,0.0,0.5046378091872792,0.12025316455696203,0.029535864978902954,0.002109704641350211,633.0,-3.72508038585209,0.0947867298578199
h,1100-1159,496.0,2.791497975708502,0.26030449313033793,0.007426661715558856,0.27627181581878946,0.0,0.4559970293353138,0.13306451612903225,0.006048387096774193,0.0,147.0,-1.356164383561644,0.10884353741496598
h,1200-1259,730.0,3.5055555555555555,0.34897420272191754,0.016859638431850496,0.3221612837700589,0.0,0.3120048750761731,0.11643835616438356,0.0136986301369863,0.00410958904109589,347.0,5.858381502890174,0.1844380403458213
h,1300-1359,347.0,6.578947368421052,0.07168,0.07136,0.54368,0.0,0.31328,0.14697406340057637,0.01440922190201729,0.011527377521613832,676.0,5.963414634146342,0.17011834319526628
h,1400-1459,348.0,21.75147928994083,0.24847703842549204,0.00902061855670103,0.40147610121836924,0.0,0.3410262417994377,0.27586206896551724,0.028735632183908046,0.0,583.0,-1.9635416666666667,0.1234991423670669
h,1500-1559,194.0,18.60112359550562,0.16395348837209303,0.0,0.5843023255813954,0.0029069767441860465,0.24883720930232558,0.2422680412371134,0.08762886597938144,0.0,434.0,5.756440281030445,0.17972350230414746
h,1600-1659,321.0,9.371335504885993,0.291156462585034,0.05414965986394558,0.20408163265306123,0.0,0.4506122448979592,0.16510903426791276,0.04361370716510903,0.0,399.0,11.033766233766233,0.24812030075187969
h,1700-1759,1163.0,11.525719267654752,0.22864273373008254,0.039162987137646384,0.22883470915722787,0.0,0.5033595699750432,0.19260533104041272,0.01633705932932072,0.0017196904557179708,437.0,15.051597051597051,0.2562929061784897
h,1800-1859,354.0,17.445454545454545,0.08056719303899453,0.045762165646148885,0.36964228166290686,0.0,0.5040283596519497,0.3135593220338983,0.06779661016949153,0.005649717514124294,292.0,11.035087719298245,0.23972602739726026
h,1900-1959,166.0,19.312925170068027,0.14215012372834754,0.027770140225460545,0.23673357162496564,0.0,0.5933461644212263,0.25903614457831325,0.1144578313253012,0.0,172.0,14.871345029239766,0.29069767441860467
h,2000-2059,50.0,1.2448979591836735,0.015267175572519083,0.0,0.20865139949109415,0.0,0.7760814249363868,0.16,0.02,0.0,213.0,9.261904761904763,0.22535211267605634
h,2100-2159,2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,546.0,2.25607476635514,0.184981684981685
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,10.494949494949495,0.24027237354085604
h,2300-2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.75,0.2857142857142857
